,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
307,4,9:50.0,,Defensive rebound by S. Milton,83,92
308,4,9:48.0,,Shooting foul by R. Barrett (drawn by S. Milton),83,92
309,4,9:48.0,,S. Milton makes free throw 1 of 2,83,93
310,4,9:48.0,,G. Robinson enters the game for F. Korkmaz,83,93
311,4,9:48.0,,S. Milton makes free throw 2 of 2,83,94
312,4,9:29.0,Shooting foul by S. Milton (drawn by R. Barrett),,83,94
313,4,9:29.0,R. Barrett makes free throw 1 of 2,,84,94
314,4,9:29.0,R. Barrett makes free throw 2 of 2,,85,94
315,4,9:13.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by A. Burks),85,97
316,4,8:59.0,R. Barrett misses 2-pt jump shot from 5 ft,,85,97
317,4,8:56.0,Offensive rebound by R. Barrett,,85,97
318,4,8:55.0,R. Barrett misses 2-pt layup from 3 ft (block by A. Horford),,85,97
319,4,8:55.0,,Defensive rebound by A. Horford,85,97
320,4,8:34.0,,A. Horford makes 3-pt jump shot from 26 ft,85,100
321,4,8:32.0,New York full timeout,,85,100
322,4,8:32.0,E. Payton enters the game for R. Barrett,,85,100
323,4,8:32.0,J. Randle enters the game for B. Portis,,85,100
324,4,8:32.0,,J. Richardson enters the game for S. Milton,85,100
325,4,8:08.0,A. Trier makes 2-pt jump shot from 18 ft,,87,100
326,4,7:54.0,,A. Burks makes 3-pt jump shot from 28 ft,87,103
327,4,7:35.0,A. Trier makes 2-pt layup from 2 ft (assist by E. Payton),,89,103
328,4,7:20.0,,A. Burks misses 3-pt jump shot from 25 ft,89,103
329,4,7:17.0,Defensive rebound by A. Trier,,89,103
330,4,7:11.0,A. Trier misses 2-pt layup from 4 ft (block by J. Richardson),,89,103
331,4,7:09.0,,Defensive rebound by J. Richardson,89,103
332,4,6:51.0,,Shooting foul by J. Randle (drawn by A. Burks),89,103
333,4,6:51.0,,A. Burks makes free throw 1 of 2,89,104
334,4,6:51.0,M. Harkless enters the game for R. Bullock,,89,104
335,4,6:51.0,,T. Harris enters the game for A. Horford,89,104
336,4,6:51.0,,K. O'Quinn enters the game for M. Scott,89,104
337,4,6:51.0,,A. Burks makes free throw 2 of 2,89,105
338,4,6:36.0,E. Payton makes 2-pt layup from 2 ft (assist by A. Trier),,91,105
339,4,6:23.0,,G. Robinson misses 2-pt jump shot from 21 ft,91,105
340,4,6:23.0,Defensive rebound by M. Robinson,,91,105
341,4,6:09.0,Shooting foul by T. Harris (drawn by J. Randle),,91,105
342,4,6:09.0,J. Randle makes free throw 1 of 2,,92,105
343,4,6:09.0,R. Barrett enters the game for A. Trier,,92,105
344,4,6:09.0,J. Randle makes free throw 2 of 2,,93,105
