,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
301,3,4:04.0,,Personal foul by M. Guduric (drawn by M. Carter-Williams),64,71
302,3,4:04.0,,M. Bamba enters the game for N. Vučević,64,71
303,3,3:49.0,,E. Fournier makes 2-pt jump shot from 22 ft,64,73
304,3,3:40.0,T. Jones makes 2-pt jump shot from 13 ft,,66,73
305,3,3:20.0,,D. Augustin makes 2-pt layup from 2 ft (assist by E. Fournier),66,75
306,3,3:08.0,T. Jones misses 3-pt jump shot from 25 ft,,66,75
307,3,3:05.0,,Defensive rebound by M. Carter-Williams,66,75
308,3,2:58.0,,D. Augustin makes 2-pt jump shot from 14 ft,66,77
309,3,2:56.0,Memphis full timeout,,66,77
310,3,2:56.0,S. Hill enters the game for J. Jackson,,66,77
311,3,2:56.0,,A. Aminu enters the game for E. Fournier,66,77
312,3,2:56.0,,A. Gordon enters the game for J. Isaac,66,77
313,3,2:39.0,S. Hill misses 3-pt jump shot from 26 ft,,66,77
314,3,2:38.0,,Defensive rebound by M. Carter-Williams,66,77
315,3,2:25.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by A. Aminu),66,79
316,3,2:09.0,M. Guduric makes 3-pt jump shot from 25 ft (assist by T. Jones),,69,79
317,3,2:09.0,J. Morant enters the game for T. Jones,,69,79
318,3,1:39.0,,M. Carter-Williams misses 3-pt jump shot from 23 ft,69,79
319,3,1:37.0,Defensive rebound by B. Clarke,,69,79
320,3,1:37.0,Personal foul by M. Bamba (drawn by B. Clarke),,69,79
321,3,1:37.0,B. Clarke makes free throw 1 of 2,,70,79
322,3,1:37.0,B. Clarke makes free throw 2 of 2,,71,79
323,3,1:25.0,,Offensive foul by A. Gordon (drawn by K. Anderson),71,79
324,3,1:25.0,,Turnover by A. Gordon (offensive foul),71,79
325,3,1:15.0,S. Hill makes 3-pt jump shot from 26 ft (assist by J. Morant),,74,79
326,3,0:47.0,,Turnover by D. Augustin (lost ball; steal by K. Anderson),74,79
327,3,0:45.0,B. Clarke makes 2-pt layup from 1 ft (assist by K. Anderson),,76,79
328,3,0:34.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),76,82
329,3,0:17.0,Offensive foul by J. Morant (drawn by D. Augustin),,76,82
330,3,0:17.0,Turnover by J. Morant (offensive foul),,76,82
331,3,0:03.0,,Shooting foul by S. Hill (drawn by D. Augustin),76,82
332,3,0:03.0,,D. Augustin makes free throw 1 of 2,76,83
333,3,0:03.0,,D. Augustin makes free throw 2 of 2,76,84
334,3,0:00.0,Shooting foul by D. Augustin (drawn by J. Morant),,76,84
335,3,0:00.0,J. Morant misses free throw 1 of 3,,76,84
336,3,0:00.0,Offensive rebound by Team,,76,84
337,3,0:00.0,J. Morant makes free throw 2 of 3,,77,84
338,3,0:00.0,J. Morant makes free throw 3 of 3,,78,84
339,4,11:44.0,J. Valančiūnas misses 2-pt jump shot from 8 ft (block by M. Bamba),,78,84
340,4,11:40.0,,Defensive rebound by A. Aminu,78,84
341,4,11:38.0,,A. Aminu misses 2-pt layup from 2 ft,78,84
342,4,11:34.0,,Offensive rebound by M. Bamba,78,84
343,4,11:34.0,,M. Bamba misses 2-pt layup at rim,78,84
344,4,11:33.0,Defensive rebound by J. Valančiūnas,,78,84
345,4,11:25.0,J. Morant misses 2-pt layup from 1 ft,,78,84
346,4,11:22.0,,Defensive rebound by A. Aminu,78,84
347,4,11:12.0,,M. Carter-Williams makes 3-pt jump shot from 27 ft (assist by M. Bamba),78,87
348,4,10:43.0,Turnover by K. Anderson (bad pass; steal by A. Aminu),,78,87
349,4,10:23.0,,A. Gordon makes 2-pt dunk from 3 ft (assist by M. Carter-Williams),78,89
350,4,10:23.0,Memphis full timeout,,78,89
351,4,10:23.0,D. Brooks enters the game for M. Guduric,,78,89
352,4,10:10.0,Turnover by S. Hill (bad pass),,78,89
353,4,10:01.0,Violation by Team (kicked ball),,78,89
354,4,10:01.0,J. Crowder enters the game for K. Anderson,,78,89
355,4,10:01.0,J. Jackson enters the game for S. Hill,,78,89
356,4,9:46.0,,M. Carter-Williams misses 3-pt jump shot from 27 ft,78,89
357,4,9:43.0,,Offensive rebound by M. Bamba,78,89
358,4,9:34.0,,D. Augustin makes 2-pt layup from 3 ft,78,91
359,4,9:24.0,J. Valančiūnas misses 3-pt jump shot from 27 ft,,78,91
360,4,9:21.0,,Defensive rebound by M. Carter-Williams,78,91
361,4,9:21.0,,Personal foul by J. Crowder (drawn by M. Carter-Williams),78,91
362,4,9:11.0,,D. Augustin misses 2-pt jump shot from 13 ft,78,91
363,4,9:07.0,,Offensive rebound by D. Augustin,78,91
364,4,9:00.0,,D. Augustin makes 3-pt jump shot from 27 ft,78,94
365,4,8:51.0,Memphis full timeout,,78,94
366,4,8:51.0,,N. Vučević enters the game for M. Bamba,78,94
367,4,8:42.0,D. Brooks misses 2-pt layup from 3 ft,,78,94
368,4,8:42.0,Offensive rebound by Team,,78,94
369,4,8:42.0,,Loose ball foul by A. Aminu (drawn by D. Brooks),78,94
370,4,8:40.0,Personal foul by M. Carter-Williams (drawn by D. Brooks),,78,94
371,4,8:35.0,Turnover by J. Valančiūnas (bad pass; steal by M. Carter-Williams),,78,94
372,4,8:29.0,,A. Aminu misses 3-pt jump shot from 26 ft,78,94
373,4,8:25.0,Defensive rebound by J. Morant,,78,94
