,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
326,3,1:43.0,,D. Jones makes free throw 2 of 2,87,80
327,3,1:31.0,N. Jokić makes 2-pt jump shot from 19 ft (assist by W. Barton),,89,80
328,3,1:10.0,,T. Young makes 2-pt jump shot from 7 ft,89,82
329,3,0:56.0,Personal foul by D. Jones (drawn by N. Jokić),,89,82
330,3,0:56.0,N. Jokić makes free throw 1 of 2,,90,82
331,3,0:56.0,G. Harris enters the game for M. Porter,,90,82
332,3,0:56.0,N. Jokić misses free throw 2 of 2,,90,82
333,3,0:54.0,,Defensive rebound by A. Crabbe,90,82
334,3,0:45.0,,C. Reddish makes 2-pt dunk from 1 ft (assist by T. Young),90,84
335,3,0:31.0,Technical foul by L. Pierce,,90,84
336,3,0:31.0,W. Barton makes technical free throw,,91,84
337,3,0:31.0,M. Plumlee enters the game for N. Jokić,,91,84
338,3,0:24.0,J. Grant misses 2-pt jump shot from 14 ft,,91,84
339,3,0:22.0,,Defensive rebound by Team,91,84
340,3,0:06.0,,Personal foul by G. Harris (drawn by T. Young),91,84
341,3,0:06.0,,T. Young makes free throw 1 of 2,91,85
342,3,0:06.0,,D. Bembry enters the game for A. Crabbe,91,85
343,3,0:06.0,,T. Young makes free throw 2 of 2,91,86
344,3,0:00.0,W. Barton misses 3-pt jump shot from 26 ft,,91,86
345,3,0:00.0,Offensive rebound by Team,,91,86
346,4,11:43.0,,Personal foul by M. Morris (drawn by C. Reddish),91,86
347,4,11:43.0,,Personal foul by M. Plumlee (drawn by J. Collins),91,86
348,4,11:38.0,,J. Collins makes 2-pt dunk at rim (assist by D. Hunter),91,88
349,4,11:38.0,Denver full timeout,,91,88
350,4,11:27.0,M. Morris makes 2-pt jump shot from 13 ft,,93,88
351,4,11:05.0,,J. Collins misses 3-pt jump shot from 26 ft,93,88
352,4,11:02.0,Defensive rebound by M. Porter,,93,88
353,4,10:50.0,G. Harris misses 2-pt jump shot from 11 ft,,93,88
354,4,10:46.0,Offensive rebound by M. Porter,,93,88
355,4,10:46.0,M. Porter makes 2-pt dunk from 1 ft,,95,88
356,4,10:35.0,,D. Hunter makes 3-pt jump shot from 27 ft (assist by C. Reddish),95,91
357,4,10:08.0,M. Plumlee misses 2-pt jump shot from 13 ft,,95,91
358,4,10:03.0,,Defensive rebound by C. Reddish,95,91
359,4,9:55.0,,T. Young makes 2-pt layup from 1 ft,95,93
360,4,9:38.0,M. Morris makes 2-pt jump shot from 11 ft,,97,93
361,4,9:38.0,Shooting foul by T. Young (drawn by M. Morris),,97,93
362,4,9:38.0,W. Barton enters the game for M. Porter,,97,93
363,4,9:38.0,M. Morris makes free throw 1 of 1,,98,93
364,4,9:22.0,,Shooting foul by W. Barton (drawn by J. Collins),98,93
365,4,9:22.0,,J. Collins makes free throw 1 of 2,98,94
366,4,9:22.0,,J. Collins makes free throw 2 of 2,98,95
367,4,9:06.0,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Grant),,101,95
368,4,8:42.0,,D. Bembry makes 2-pt layup from 2 ft,101,97
369,4,8:32.0,J. Grant misses 3-pt jump shot from 26 ft,,101,97
370,4,8:32.0,,Defensive rebound by D. Bembry,101,97
371,4,8:19.0,,J. Collins makes 2-pt layup from 6 ft,101,99
372,4,8:19.0,,Shooting foul by J. Grant (drawn by J. Collins),101,99
373,4,8:19.0,N. Jokić enters the game for G. Harris,,101,99
374,4,8:19.0,J. Murray enters the game for M. Plumlee,,101,99
375,4,8:19.0,,J. Collins makes free throw 1 of 1,101,100
376,4,8:10.0,Personal foul by D. Bembry (drawn by W. Barton),,101,100
377,4,8:10.0,,V. Carter enters the game for C. Reddish,101,100
378,4,8:10.0,,K. Huerter enters the game for T. Young,101,100
379,4,8:00.0,Turnover by J. Murray (bad pass; steal by D. Hunter),,101,100
380,4,7:57.0,,J. Collins misses 2-pt layup from 7 ft (block by J. Murray),101,100
381,4,7:57.0,,Offensive rebound by Team,101,100
382,4,7:49.0,,J. Collins misses 3-pt jump shot from 26 ft,101,100
383,4,7:46.0,Defensive rebound by M. Morris,,101,100
384,4,7:24.0,M. Morris makes 2-pt layup from 1 ft (assist by W. Barton),,103,100
385,4,7:02.0,,J. Collins misses 2-pt jump shot from 10 ft,103,100
