,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
327,3,1:47.0,M. Brogdon misses 2-pt layup from 2 ft (block by T. Davis),,51,79
328,3,1:44.0,Offensive rebound by T. Warren,,51,79
329,3,1:32.0,T. Warren misses 3-pt jump shot from 29 ft,,51,79
330,3,1:29.0,,Defensive rebound by C. Boucher,51,79
331,3,1:12.0,,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),51,81
332,3,0:47.0,T. Warren makes 2-pt jump shot from 9 ft (assist by J. Holiday),,53,81
333,3,0:31.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,53,83
334,3,0:08.0,M. Turner misses 3-pt jump shot from 27 ft,,53,83
335,3,0:05.0,,Defensive rebound by C. Boucher,53,83
336,3,0:05.0,,Personal foul by T. Warren (drawn by C. Boucher),53,83
337,3,0:05.0,,C. Boucher makes free throw 1 of 2,53,84
338,3,0:05.0,,C. Boucher makes free throw 2 of 2,53,85
339,3,0:00.0,M. Brogdon makes 2-pt layup from 2 ft,,55,85
340,3,0:00.0,Shooting foul by K. Lowry (drawn by M. Brogdon),,55,85
341,3,0:00.0,M. Brogdon misses free throw 1 of 1,,55,85
342,3,0:00.0,,Defensive rebound by C. Boucher,55,85
343,4,11:43.0,,K. Lowry misses 3-pt jump shot from 27 ft,55,85
344,4,11:40.0,,Offensive rebound by R. Hollis-Jefferson,55,85
345,4,11:39.0,,Turnover by R. Hollis-Jefferson (bad pass),55,85
346,4,11:27.0,Turnover by D. McDermott (lost ball; steal by K. Lowry),,55,85
347,4,11:24.0,,C. Boucher makes 2-pt dunk from 1 ft (assist by K. Lowry),55,87
348,4,11:13.0,Personal foul by M. Thomas (drawn by J. Holiday),,55,87
349,4,11:04.0,D. Sabonis makes 2-pt hook shot from 4 ft (assist by D. McDermott),,57,87
350,4,10:51.0,,Shooting foul by J. Sampson (drawn by C. Boucher),57,87
351,4,10:51.0,,C. Boucher makes free throw 1 of 2,57,88
352,4,10:51.0,,C. Boucher makes free throw 2 of 2,57,89
353,4,10:39.0,D. Sabonis misses 2-pt layup from 2 ft,,57,89
354,4,10:37.0,,Defensive rebound by C. Boucher,57,89
355,4,10:31.0,,K. Lowry misses 3-pt jump shot from 24 ft,57,89
356,4,10:27.0,,Offensive rebound by K. Lowry,57,89
