,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
200,2,6:01.0,C. Lee misses 2-pt jump shot from 6 ft,,41,32
201,2,5:59.0,,Defensive rebound by D. Russell,41,32
202,2,5:46.0,,Personal foul by C. Lee (drawn by D. Russell),41,32
203,2,5:46.0,,D. Russell makes free throw 1 of 2,41,33
204,2,5:46.0,D. Finney-Smith enters the game for C. Lee,,41,33
205,2,5:46.0,,D. Russell makes free throw 2 of 2,41,34
206,2,5:28.0,D. Wright misses 2-pt jump shot from 10 ft,,41,34
207,2,5:26.0,,Defensive rebound by J. Layman,41,34
208,2,5:21.0,,Turnover by D. Russell (out of bounds lost ball),41,34
209,2,4:57.0,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by S. Curry),,43,34
210,2,4:40.0,,N. Reid misses 3-pt jump shot from 25 ft,43,34
211,2,4:38.0,Defensive rebound by K. Porziņģis,,43,34
212,2,4:30.0,K. Porziņģis misses 2-pt layup from 2 ft,,43,34
213,2,4:29.0,,Defensive rebound by D. Russell,43,34
214,2,4:24.0,,Turnover by D. Russell (bad pass; steal by D. Wright),43,34
215,2,4:19.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by D. Wright),,45,34
216,2,3:58.0,,Turnover by K. Martin (lost ball; steal by D. Finney-Smith),45,34
217,2,3:55.0,D. Wright misses 2-pt layup from 3 ft,,45,34
218,2,3:52.0,,Defensive rebound by J. Okogie,45,34
219,2,3:48.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by N. Reid),45,37
220,2,3:32.0,Personal foul by J. Layman (drawn by D. Wright),,45,37
221,2,3:32.0,T. Hardaway enters the game for J. Jackson,,45,37
222,2,3:32.0,,M. Beasley enters the game for J. Layman,45,37
223,2,3:32.0,,J. Hernangómez enters the game for K. Martin,45,37
224,2,3:32.0,,J. Johnson enters the game for N. Reid,45,37
225,2,3:29.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,45,37
226,2,3:27.0,,Defensive rebound by J. Okogie,45,37
227,2,3:17.0,,J. Hernangómez misses 2-pt layup from 3 ft,45,37
228,2,3:15.0,Defensive rebound by Team,,45,37
229,2,3:06.0,S. Curry makes 2-pt jump shot from 14 ft,,47,37
230,2,2:49.0,,M. Beasley makes 2-pt jump shot from 16 ft (assist by D. Russell),47,39
231,2,2:34.0,S. Curry makes 3-pt jump shot from 30 ft (assist by K. Porziņģis),,50,39
