,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
345,4,9:13.0,J. Parker makes free throw 1 of 1,,87,112
346,4,9:04.0,,Shooting foul by D. Jones (drawn by C. Wood),87,112
347,4,9:04.0,,C. Wood makes free throw 1 of 2,87,113
348,4,9:04.0,,C. Wood makes free throw 2 of 2,87,114
349,4,8:49.0,D. Bembry makes 2-pt dunk from 3 ft (assist by J. Parker),,89,114
350,4,8:38.0,,Turnover by B. Brown (bad pass; steal by J. Parker),89,114
351,4,8:30.0,Turnover by D. Bembry (bad pass; steal by B. Brown),,89,114
352,4,8:25.0,,C. Wood makes 2-pt dunk from 2 ft (assist by L. Kennard),89,116
353,4,8:11.0,J. Parker misses 3-pt jump shot from 28 ft,,89,116
354,4,8:07.0,Offensive rebound by D. Jones,,89,116
355,4,8:06.0,T. Wallace misses 3-pt jump shot from 28 ft,,89,116
356,4,8:06.0,Offensive rebound by D. Jones,,89,116
357,4,8:00.0,D. Hunter misses 3-pt jump shot from 25 ft,,89,116
358,4,8:00.0,Offensive rebound by Team,,89,116
359,4,7:52.0,D. Hunter misses 2-pt layup from 6 ft (block by C. Wood),,89,116
360,4,7:52.0,Offensive rebound by Team,,89,116
361,4,7:48.0,D. Bembry makes 3-pt jump shot from 27 ft (assist by D. Hunter),,92,116
362,4,7:20.0,,B. Griffin misses 2-pt layup from 3 ft,92,116
363,4,7:18.0,,Offensive rebound by C. Wood,92,116
364,4,7:12.0,,C. Wood makes 2-pt layup from 1 ft,92,118
365,4,6:50.0,D. Hunter makes 2-pt layup from 3 ft (assist by T. Wallace),,94,118
366,4,6:30.0,,B. Griffin makes 2-pt layup from 2 ft,94,120
367,4,6:12.0,T. Wallace misses 2-pt layup from 6 ft (block by C. Wood),,94,120
368,4,6:10.0,Offensive rebound by J. Parker,,94,120
369,4,6:09.0,Shooting foul by C. Wood (drawn by J. Parker),,94,120
370,4,6:09.0,J. Parker makes free throw 1 of 2,,95,120
371,4,6:09.0,J. Parker makes free throw 2 of 2,,96,120
372,4,6:09.0,,Detroit full timeout,96,120
373,4,6:09.0,A. Crabbe enters the game for D. Bembry,,96,120
374,4,6:09.0,B. Fernando enters the game for D. Jones,,96,120
375,4,6:09.0,C. Parsons enters the game for J. Parker,,96,120
