,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
203,2,0:45.0,,Personal foul by Q. Cook (drawn by K. Leonard),56,65
204,2,0:36.0,,Shooting foul by K. Durant (drawn by K. Leonard),56,65
205,2,0:36.0,,K. Leonard makes free throw 1 of 2,56,66
206,2,0:36.0,K. Looney enters the game for J. Bell,,56,66
207,2,0:36.0,,J. Valančiūnas enters the game for D. Green,56,66
208,2,0:36.0,,F. VanVleet enters the game for S. Ibaka,56,66
209,2,0:36.0,,K. Leonard makes free throw 2 of 2,56,67
210,2,0:31.0,K. Durant misses 3-pt jump shot from 27 ft,,56,67
211,2,0:28.0,Offensive rebound by A. Iguodala,,56,67
212,2,0:20.0,Personal foul by P. Siakam (drawn by K. Durant),,56,67
213,2,0:20.0,K. Durant makes free throw 1 of 2,,57,67
214,2,0:20.0,J. Evans enters the game for Q. Cook,,57,67
215,2,0:20.0,,D. Green enters the game for J. Valančiūnas,57,67
216,2,0:20.0,K. Durant makes free throw 2 of 2,,58,67
217,2,0:04.0,,K. Leonard misses 3-pt jump shot from 28 ft,58,67
218,2,0:00.0,Defensive rebound by K. Thompson,,58,67
219,3,11:45.0,A. Iguodala misses 3-pt jump shot from 24 ft,,58,67
220,3,11:41.0,,Defensive rebound by K. Lowry,58,67
221,3,11:30.0,,S. Ibaka misses 2-pt layup from 3 ft (block by A. Iguodala),58,67
222,3,11:30.0,,Offensive rebound by Team,58,67
223,3,11:28.0,,D. Green misses 2-pt jump shot from 15 ft,58,67
224,3,11:25.0,Defensive rebound by A. Iguodala,,58,67
225,3,11:19.0,Q. Cook makes 2-pt jump shot from 11 ft,,60,67
226,3,10:51.0,,S. Ibaka makes 2-pt dunk from 2 ft,60,69
227,3,10:28.0,Q. Cook makes 2-pt jump shot from 13 ft (assist by K. Durant),,62,69
228,3,10:17.0,,Personal foul by D. Jones (drawn by K. Lowry),62,69
229,3,10:02.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Lowry),62,72
230,3,9:40.0,Personal foul by D. Green (drawn by A. Iguodala),,62,72
231,3,9:26.0,Turnover by Team (shot clock),,62,72
232,3,9:14.0,,K. Leonard misses 2-pt layup from 1 ft (block by K. Thompson),62,72
233,3,9:11.0,,Offensive rebound by K. Leonard,62,72
234,3,9:10.0,,K. Leonard makes 2-pt layup from 2 ft,62,74
235,3,9:03.0,Q. Cook misses 3-pt jump shot from 25 ft,,62,74
236,3,9:01.0,,Defensive rebound by K. Lowry,62,74
237,3,8:57.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by K. Lowry),62,77
238,3,8:55.0,Golden State full timeout,,62,77
239,3,8:55.0,J. Bell enters the game for D. Jones,,62,77
240,3,8:39.0,K. Durant misses 2-pt jump shot from 15 ft,,62,77
241,3,8:37.0,,Defensive rebound by S. Ibaka,62,77
242,3,8:21.0,,Turnover by S. Ibaka (3 sec),62,77
243,3,8:14.0,Personal foul by P. Siakam (drawn by A. Iguodala),,62,77
244,3,8:03.0,K. Durant misses 2-pt jump shot from 10 ft,,62,77
245,3,8:01.0,,Defensive rebound by K. Leonard,62,77
246,3,7:57.0,,Shooting foul by J. Bell (drawn by S. Ibaka),62,77
247,3,7:57.0,,S. Ibaka makes free throw 1 of 2,62,78
248,3,7:57.0,,S. Ibaka makes free throw 2 of 2,62,79
249,3,7:43.0,Shooting foul by S. Ibaka (drawn by K. Durant),,62,79
250,3,7:43.0,K. Durant makes free throw 1 of 2,,63,79
251,3,7:43.0,K. Durant makes free throw 2 of 2,,64,79
252,3,7:18.0,,K. Lowry misses 3-pt jump shot from 29 ft,64,79
253,3,7:15.0,,Offensive rebound by D. Green,64,79
254,3,7:13.0,,K. Lowry misses 3-pt jump shot from 29 ft,64,79
255,3,7:11.0,Defensive rebound by Team,,64,79
256,3,6:58.0,Q. Cook misses 2-pt jump shot from 15 ft,,64,79
257,3,6:55.0,,Defensive rebound by D. Green,64,79
258,3,6:55.0,J. Jerebko enters the game for Q. Cook,,64,79
259,3,6:43.0,,K. Leonard misses 2-pt jump shot from 10 ft,64,79
260,3,6:41.0,Defensive rebound by K. Durant,,64,79
261,3,6:34.0,K. Durant makes 3-pt jump shot from 27 ft,,67,79
262,3,6:15.0,,Shooting foul by K. Durant (drawn by K. Leonard),67,79
263,3,6:15.0,,K. Leonard makes free throw 1 of 2,67,80
264,3,6:15.0,,K. Leonard makes free throw 2 of 2,67,81
265,3,6:07.0,K. Thompson makes 2-pt layup from 1 ft (assist by A. Iguodala),,69,81
266,3,5:55.0,,P. Siakam makes 2-pt layup from 1 ft,69,83
267,3,5:32.0,J. Bell misses 2-pt jump shot from 5 ft,,69,83
268,3,5:28.0,,Defensive rebound by D. Green,69,83
269,3,5:24.0,,K. Leonard misses 3-pt jump shot from 25 ft,69,83
270,3,5:19.0,Defensive rebound by J. Jerebko,,69,83
271,3,5:17.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by J. Jerebko),,72,83
272,3,4:52.0,,K. Leonard makes 2-pt jump shot from 9 ft,72,85
273,3,4:37.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,75,85
274,3,4:25.0,,D. Green misses 3-pt jump shot from 28 ft,75,85
275,3,4:23.0,Defensive rebound by J. Jerebko,,75,85
276,3,4:17.0,K. Durant makes 2-pt dunk from 2 ft (assist by A. Iguodala),,77,85
277,3,4:17.0,,Toronto full timeout,77,85
278,3,3:59.0,,Personal foul by K. Thompson (drawn by S. Ibaka),77,85
279,3,3:52.0,,K. Leonard misses 2-pt jump shot from 10 ft (block by J. Jerebko),77,85
280,3,3:49.0,,Offensive rebound by D. Green,77,85
281,3,3:47.0,,D. Green makes 3-pt jump shot from 25 ft,77,88
282,3,3:28.0,K. Thompson misses 2-pt jump shot from 10 ft,,77,88
283,3,3:26.0,,Defensive rebound by K. Lowry,77,88
284,3,3:17.0,,S. Ibaka makes 2-pt dunk at rim (assist by K. Lowry),77,90
285,3,2:51.0,Turnover by J. Jerebko (out of bounds lost ball),,77,90
286,3,2:51.0,D. Lee enters the game for A. Iguodala,,77,90
287,3,2:51.0,S. Livingston enters the game for K. Thompson,,77,90
288,3,2:51.0,,O. Anunoby enters the game for K. Leonard,77,90
289,3,2:39.0,,O. Anunoby misses 3-pt jump shot from 23 ft,77,90
290,3,2:37.0,,Offensive rebound by Team,77,90
291,3,2:37.0,K. Looney enters the game for J. Bell,,77,90
292,3,2:37.0,,J. Valančiūnas enters the game for D. Green,77,90
293,3,2:37.0,,F. VanVleet enters the game for S. Ibaka,77,90
294,3,2:31.0,,K. Lowry misses 2-pt jump shot from 19 ft,77,90
295,3,2:27.0,Defensive rebound by K. Looney,,77,90
296,3,2:18.0,K. Looney misses 3-pt jump shot from 27 ft,,77,90
297,3,2:14.0,Offensive rebound by K. Durant,,77,90
298,3,2:11.0,K. Durant makes 2-pt layup from 1 ft,,79,90
299,3,2:02.0,,K. Lowry misses 2-pt layup from 2 ft,79,90
300,3,2:00.0,Defensive rebound by K. Durant,,79,90
301,3,1:58.0,Personal foul by F. VanVleet (drawn by S. Livingston),,79,90
302,3,1:58.0,,D. Wright enters the game for K. Lowry,79,90
303,3,1:51.0,Turnover by D. Lee (traveling),,79,90
304,3,1:30.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by P. Siakam),79,92
305,3,1:20.0,K. Durant makes 2-pt jump shot from 18 ft,,81,92
306,3,1:05.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft (assist by F. VanVleet),81,94
307,3,0:52.0,K. Durant makes 2-pt jump shot from 21 ft,,83,94
308,3,0:43.0,,P. Siakam misses 2-pt layup from 4 ft,83,94
309,3,0:42.0,,Offensive rebound by Team,83,94
310,3,0:42.0,Loose ball foul by K. Looney (drawn by J. Valančiūnas),,83,94
311,3,0:42.0,,J. Valančiūnas makes free throw 1 of 2,83,95
312,3,0:42.0,,J. Valančiūnas makes free throw 2 of 2,83,96
313,3,0:30.0,K. Durant makes 2-pt jump shot from 23 ft,,85,96
314,3,0:09.0,,D. Wright misses 2-pt jump shot from 4 ft,85,96
315,3,0:07.0,Defensive rebound by D. Lee,,85,96
316,3,0:03.0,K. Durant makes 3-pt jump shot from 31 ft,,88,96
317,3,0:00.0,,F. VanVleet misses 3-pt jump shot from 44 ft,88,96
318,3,0:00.0,,Offensive rebound by Team,88,96
319,4,11:44.0,,Shooting foul by K. Looney (drawn by D. Wright),88,96
320,4,11:44.0,,D. Wright makes free throw 1 of 2,88,97
321,4,11:44.0,,D. Wright makes free throw 2 of 2,88,98
322,4,11:28.0,K. Thompson misses 3-pt jump shot from 23 ft,,88,98
323,4,11:26.0,,Defensive rebound by F. VanVleet,88,98
324,4,11:17.0,,Turnover by F. VanVleet (bad pass; steal by D. Lee),88,98
325,4,11:12.0,J. Jerebko makes 2-pt dunk from 1 ft (assist by S. Livingston),,90,98
326,4,10:52.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by K. Leonard),90,101
327,4,10:32.0,D. Lee makes 2-pt jump shot from 7 ft (assist by J. Jerebko),,92,101
328,4,10:12.0,,Shooting foul by K. Thompson (drawn by K. Leonard),92,101
329,4,10:12.0,,K. Leonard makes free throw 1 of 2,92,102
330,4,10:12.0,,K. Leonard makes free throw 2 of 2,92,103
331,4,10:00.0,K. Thompson misses 3-pt jump shot from 28 ft,,92,103
332,4,9:57.0,Offensive rebound by K. Looney,,92,103
333,4,9:53.0,K. Thompson misses 2-pt jump shot from 6 ft,,92,103
334,4,9:49.0,Offensive rebound by K. Looney,,92,103
335,4,9:46.0,D. Lee makes 2-pt layup from 2 ft (assist by K. Looney),,94,103
336,4,9:29.0,,O. Anunoby misses 3-pt jump shot from 25 ft,94,103
337,4,9:25.0,,Offensive rebound by O. Anunoby,94,103
338,4,9:22.0,,Turnover by O. Anunoby (lost ball; steal by S. Livingston),94,103
339,4,9:14.0,J. Jerebko makes 3-pt jump shot from 27 ft (assist by S. Livingston),,97,103
340,4,9:04.0,,Toronto full timeout,97,103
341,4,8:51.0,,O. Anunoby misses 3-pt jump shot from 25 ft,97,103
342,4,8:48.0,Defensive rebound by S. Livingston,,97,103
343,4,8:38.0,K. Looney makes 2-pt dunk from 9 ft (assist by K. Thompson),,99,103
344,4,8:13.0,,O. Anunoby misses 3-pt jump shot from 23 ft,99,103
345,4,8:11.0,Defensive rebound by K. Looney,,99,103
346,4,8:01.0,K. Thompson makes 2-pt jump shot from 8 ft (assist by S. Livingston),,101,103
347,4,7:42.0,,D. Wright makes 3-pt jump shot from 26 ft,101,106
348,4,7:31.0,J. Jerebko makes 2-pt dunk from 1 ft (assist by S. Livingston),,103,106
349,4,7:31.0,Shooting foul by F. VanVleet (drawn by J. Jerebko),,103,106
350,4,7:31.0,,D. Green enters the game for O. Anunoby,103,106
351,4,7:31.0,,K. Lowry enters the game for K. Leonard,103,106
352,4,7:31.0,,P. Siakam enters the game for F. VanVleet,103,106
353,4,7:31.0,J. Jerebko makes free throw 1 of 1,,104,106
354,4,7:12.0,,J. Valančiūnas misses 2-pt layup from 1 ft,104,106
355,4,7:10.0,Defensive rebound by J. Jerebko,,104,106
356,4,7:02.0,S. Livingston misses 2-pt jump shot from 10 ft,,104,106
357,4,7:00.0,,Defensive rebound by J. Valančiūnas,104,106
358,4,6:52.0,,K. Lowry makes 2-pt jump shot from 12 ft,104,108
359,4,6:50.0,Golden State full timeout,,104,108
360,4,6:50.0,J. Bell enters the game for J. Jerebko,,104,108
361,4,6:50.0,K. Durant enters the game for S. Livingston,,104,108
362,4,6:50.0,A. Iguodala enters the game for K. Looney,,104,108
363,4,6:50.0,,S. Ibaka enters the game for J. Valančiūnas,104,108
364,4,6:35.0,J. Bell misses 2-pt layup from 3 ft (block by D. Green),,104,108
365,4,6:35.0,Offensive rebound by Team,,104,108
366,4,6:27.0,K. Thompson misses 2-pt jump shot from 18 ft,,104,108
367,4,6:26.0,,Defensive rebound by P. Siakam,104,108
368,4,6:15.0,,Shooting foul by A. Iguodala (drawn by S. Ibaka),104,108
369,4,6:15.0,,Offensive rebound by Team,104,108
