,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
263,3,5:25.0,D. Mitchell misses 2-pt jump shot from 18 ft,,58,72
264,3,5:21.0,Offensive rebound by R. Gobert,,58,72
265,3,5:11.0,R. Rubio misses 3-pt jump shot from 26 ft,,58,72
266,3,5:08.0,,Defensive rebound by R. Gay,58,72
267,3,5:01.0,,L. Aldridge misses 2-pt hook shot from 6 ft,58,72
268,3,4:56.0,,Offensive rebound by R. Gay,58,72
269,3,4:56.0,,R. Gay makes 2-pt layup from 1 ft,58,74
270,3,4:42.0,R. Rubio makes 2-pt jump shot from 11 ft (assist by R. Gobert),,60,74
271,3,4:28.0,,P. Mills misses 2-pt layup from 1 ft,60,74
272,3,4:28.0,Defensive rebound by Team,,60,74
273,3,4:28.0,,Loose ball foul by L. Aldridge (drawn by D. Mitchell),60,74
274,3,4:28.0,,M. Belinelli enters the game for L. Aldridge,60,74
275,3,4:28.0,,J. Poeltl enters the game for B. Forbes,60,74
276,3,4:28.0,D. Mitchell makes free throw 1 of 2,,61,74
277,3,4:28.0,D. Favors enters the game for R. Gobert,,61,74
278,3,4:28.0,D. Mitchell misses free throw 2 of 2,,61,74
279,3,4:25.0,Offensive rebound by J. Crowder,,61,74
280,3,4:24.0,J. Crowder misses 2-pt layup from 1 ft,,61,74
281,3,4:22.0,,Defensive rebound by R. Gay,61,74
282,3,4:07.0,,M. Belinelli makes 2-pt jump shot from 8 ft (assist by D. DeRozan),61,76
283,3,3:47.0,R. Rubio makes 2-pt jump shot from 13 ft,,63,76
284,3,3:47.0,Shooting foul by M. Belinelli (drawn by R. Rubio),,63,76
285,3,3:47.0,J. Ingles enters the game for J. Crowder,,63,76
286,3,3:47.0,T. Sefolosha enters the game for D. Mitchell,,63,76
287,3,3:47.0,,C. Metu enters the game for R. Gay,63,76
288,3,3:47.0,R. Rubio makes free throw 1 of 1,,64,76
289,3,3:37.0,,D. DeRozan makes 2-pt jump shot from 13 ft,64,78
290,3,3:21.0,R. Rubio misses 2-pt layup at rim,,64,78
291,3,3:21.0,Offensive rebound by D. Favors,,64,78
292,3,3:18.0,D. Favors makes 2-pt layup at rim,,66,78
293,3,3:07.0,,D. DeRozan misses 2-pt jump shot from 10 ft,66,78
294,3,3:07.0,Defensive rebound by J. Ingles,,66,78
295,3,2:51.0,R. Rubio makes 2-pt layup from 1 ft,,68,78
296,3,2:27.0,,M. Belinelli misses 2-pt jump shot from 19 ft,68,78
297,3,2:25.0,,Offensive rebound by J. Poeltl,68,78
298,3,2:14.0,,D. DeRozan makes 2-pt jump shot from 9 ft,68,80
299,3,2:12.0,Utah full timeout,,68,80
300,3,2:12.0,R. Neto enters the game for R. Rubio,,68,80
301,3,2:12.0,,B. Forbes enters the game for C. Metu,68,80
302,3,2:01.0,Shooting foul by P. Mills (drawn by R. Neto),,68,80
303,3,2:01.0,R. Neto makes free throw 1 of 2,,69,80
304,3,2:01.0,K. Korver enters the game for R. O'Neale,,69,80
305,3,2:01.0,R. Neto makes free throw 2 of 2,,70,80
306,3,1:46.0,,D. DeRozan misses 2-pt layup from 1 ft,70,80
307,3,1:44.0,Defensive rebound by D. Favors,,70,80
308,3,1:26.0,K. Korver misses 3-pt jump shot from 26 ft,,70,80
309,3,1:23.0,,Defensive rebound by P. Mills,70,80
310,3,1:10.0,,D. DeRozan makes 2-pt jump shot from 6 ft,70,82
311,3,0:56.0,R. Neto makes 2-pt layup from 1 ft (assist by D. Favors),,72,82
312,3,0:37.0,,D. DeRozan misses 2-pt jump shot from 20 ft,72,82
313,3,0:33.0,,Offensive rebound by J. Poeltl,72,82
314,3,0:18.0,,D. DeRozan misses 2-pt layup from 6 ft,72,82
315,3,0:16.0,Defensive rebound by D. Favors,,72,82
316,3,0:00.0,J. Ingles misses 3-pt jump shot from 26 ft,,72,82
317,3,0:00.0,Offensive rebound by Team,,72,82
318,4,11:47.0,Personal foul by R. Gay (drawn by K. Korver),,72,82
319,4,11:41.0,D. Mitchell makes 2-pt jump shot from 16 ft,,74,82
320,4,11:24.0,,Turnover by P. Mills (lost ball; steal by R. Neto),74,82
321,4,11:20.0,D. Mitchell makes 2-pt layup from 6 ft (assist by R. Neto),,76,82
322,4,11:00.0,,R. Gay makes 2-pt jump shot from 17 ft,76,84
323,4,10:42.0,Turnover by R. Gobert (bad pass; steal by R. Gay),,76,84
324,4,10:35.0,,Turnover by R. Gay (bad pass; steal by T. Sefolosha),76,84
325,4,10:30.0,R. Gobert makes 2-pt dunk from 3 ft (assist by T. Sefolosha),,78,84
326,4,10:26.0,,Shooting foul by R. Neto (drawn by B. Forbes),78,84
327,4,10:26.0,,L. Aldridge enters the game for P. Mills,78,84
328,4,10:26.0,,D. White enters the game for J. Poeltl,78,84
329,4,10:26.0,,B. Forbes makes free throw 1 of 2,78,85
330,4,10:26.0,,B. Forbes makes free throw 2 of 2,78,86
331,4,10:15.0,D. Mitchell makes 3-pt jump shot from 25 ft,,81,86
332,4,9:49.0,,R. Gay makes 2-pt jump shot from 16 ft,81,88
333,4,9:33.0,D. Mitchell makes 2-pt jump shot from 16 ft,,83,88
334,4,9:11.0,,R. Gay makes 2-pt jump shot from 11 ft (assist by M. Belinelli),83,90
335,4,8:56.0,Turnover by D. Mitchell (bad pass),,83,90
336,4,8:56.0,Loose ball foul by K. Korver (drawn by B. Forbes),,83,90
337,4,8:56.0,J. Crowder enters the game for R. Neto,,83,90
338,4,8:56.0,R. Rubio enters the game for T. Sefolosha,,83,90
339,4,8:39.0,,D. White makes 2-pt dunk from 1 ft (assist by R. Gay),83,92
340,4,8:23.0,K. Korver misses 2-pt layup from 1 ft,,83,92
341,4,8:21.0,,Defensive rebound by L. Aldridge,83,92
342,4,8:13.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by M. Belinelli),83,94
343,4,8:13.0,Utah full timeout,,83,94
344,4,8:03.0,D. Mitchell misses 2-pt jump shot from 18 ft,,83,94
345,4,8:00.0,,Defensive rebound by R. Gay,83,94
346,4,7:48.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),83,97
347,4,7:30.0,R. Rubio makes 2-pt jump shot from 19 ft (assist by D. Mitchell),,85,97
348,4,7:07.0,,M. Belinelli misses 3-pt jump shot from 23 ft,85,97
349,4,7:05.0,Defensive rebound by Team,,85,97
350,4,7:05.0,J. Ingles enters the game for K. Korver,,85,97
351,4,7:05.0,R. O'Neale enters the game for D. Mitchell,,85,97
352,4,6:54.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by R. Gobert),,87,97
353,4,6:34.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),87,99
354,4,6:34.0,D. Favors enters the game for R. Gobert,,87,99
355,4,6:34.0,,D. DeRozan enters the game for M. Belinelli,87,99
356,4,6:29.0,Turnover by J. Crowder (offensive foul),,87,99
357,4,6:29.0,Offensive foul by J. Crowder (drawn by D. White),,87,99
358,4,6:15.0,,Turnover by R. Gay (bad pass; steal by D. Favors),87,99
359,4,6:11.0,J. Crowder makes 2-pt layup from 1 ft,,89,99
360,4,5:48.0,,L. Aldridge misses 2-pt layup from 5 ft,89,99
361,4,5:48.0,Defensive rebound by Team,,89,99
362,4,5:48.0,,Loose ball foul by L. Aldridge (drawn by J. Crowder),89,99
363,4,5:48.0,,J. Poeltl enters the game for L. Aldridge,89,99
364,4,5:36.0,Turnover by D. Favors (bad pass),,89,99
365,4,5:22.0,,D. DeRozan misses 2-pt jump shot from 17 ft,89,99
366,4,5:19.0,Defensive rebound by J. Ingles,,89,99
367,4,5:13.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),,91,99
368,4,5:12.0,,San Antonio full timeout,91,99
369,4,5:12.0,D. Mitchell enters the game for J. Ingles,,91,99
370,4,5:12.0,,P. Mills enters the game for B. Forbes,91,99
371,4,4:59.0,,D. White misses 2-pt layup at rim,91,99
