,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
322,4,11:59.0,,Personal foul by D. McDermott (drawn by E. Fournier),86,70
323,4,11:59.0,,Turnover by J. Grant (offensive foul),86,70
324,4,11:59.0,,Offensive foul by J. Grant (drawn by A. Holiday),86,70
325,4,11:49.0,A. Holiday makes 2-pt jump shot from 15 ft,,88,70
326,4,11:35.0,,Shooting foul by A. Holiday (drawn by J. Grant),88,70
327,4,11:35.0,,J. Grant makes free throw 1 of 2,88,71
328,4,11:35.0,,J. Grant makes free throw 2 of 2,88,72
329,4,11:18.0,Personal foul by E. Fournier (drawn by T. Leaf),,88,72
330,4,11:13.0,D. McDermott makes 2-pt layup from 1 ft (assist by K. O'Quinn),,90,72
331,4,10:58.0,,T. Ross makes 2-pt jump shot from 13 ft (assist by M. Bamba),90,74
332,4,10:41.0,Turnover by C. Joseph (bad pass),,90,74
333,4,10:29.0,,J. Isaac misses 3-pt jump shot from 25 ft,90,74
334,4,10:27.0,Defensive rebound by K. O'Quinn,,90,74
335,4,10:13.0,T. Leaf misses 2-pt layup from 2 ft (block by J. Isaac),,90,74
336,4,10:05.0,Offensive rebound by T. Leaf,,90,74
337,4,10:05.0,T. Leaf makes 2-pt layup at rim,,92,74
338,4,9:58.0,,M. Bamba misses 2-pt jump shot from 22 ft,92,74
339,4,9:56.0,Defensive rebound by T. Leaf,,92,74
340,4,9:56.0,Turnover by T. Leaf (bad pass),,92,74
341,4,9:50.0,,Turnover by J. Isaac (bad pass; steal by A. Holiday),92,74
342,4,9:46.0,C. Joseph misses 2-pt layup from 4 ft (block by J. Isaac),,92,74
343,4,9:40.0,Offensive rebound by T. Leaf,,92,74
344,4,9:39.0,T. Leaf makes 2-pt layup from 2 ft,,94,74
345,4,9:28.0,,Turnover by E. Fournier (lost ball; steal by C. Joseph),94,74
346,4,9:10.0,T. Leaf misses 3-pt jump shot from 25 ft,,94,74
347,4,9:09.0,,Defensive rebound by Team,94,74
348,4,9:09.0,,A. Gordon enters the game for J. Isaac,94,74
349,4,8:54.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by A. Gordon),94,76
350,4,8:42.0,Shooting foul by E. Fournier (drawn by D. McDermott),,94,76
351,4,8:42.0,D. McDermott makes free throw 1 of 2,,95,76
352,4,8:42.0,T. Young enters the game for T. Leaf,,95,76
353,4,8:42.0,D. McDermott makes free throw 2 of 2,,96,76
354,4,8:27.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by A. Gordon),96,79
355,4,8:13.0,D. McDermott misses 2-pt layup from 1 ft (block by M. Bamba),,96,79
356,4,8:09.0,,Defensive rebound by T. Ross,96,79
357,4,8:00.0,,E. Fournier misses 3-pt jump shot from 25 ft,96,79
358,4,7:57.0,Defensive rebound by A. Holiday,,96,79
359,4,7:53.0,Indiana full timeout,,96,79
360,4,7:53.0,B. Bogdanović enters the game for D. McDermott,,96,79
361,4,7:53.0,M. Turner enters the game for K. O'Quinn,,96,79
362,4,7:39.0,C. Joseph makes 2-pt hook shot from 5 ft (assist by B. Bogdanović),,98,79
363,4,7:22.0,,M. Bamba misses 3-pt jump shot from 25 ft,98,79
364,4,7:22.0,Defensive rebound by Team,,98,79
365,4,7:22.0,,Loose ball foul by T. Ross (drawn by C. Joseph),98,79
366,4,7:06.0,A. Holiday misses 3-pt jump shot from 27 ft,,98,79
