,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
256,3,7:04.0,New York full timeout,,59,80
257,3,7:04.0,D. Dotson enters the game for T. Hardaway,,59,80
258,3,7:04.0,M. Hezonja enters the game for K. Knox,,59,80
259,3,7:04.0,E. Freedom enters the game for N. Vonleh,,59,80
260,3,6:51.0,E. Mudiay misses 2-pt jump shot from 8 ft,,59,80
261,3,6:49.0,,Defensive rebound by S. Curry,59,80
262,3,6:42.0,,Turnover by (8 sec),59,80
263,3,6:19.0,E. Freedom misses 2-pt jump shot from 20 ft,,59,80
264,3,6:17.0,,Defensive rebound by Team,59,80
265,3,6:11.0,,K. Thompson misses 3-pt jump shot from 27 ft,59,80
266,3,6:09.0,Defensive rebound by L. Kornet,,59,80
267,3,5:53.0,M. Hezonja misses 2-pt jump shot from 18 ft (block by K. Durant),,59,80
268,3,5:52.0,,Defensive rebound by D. Green,59,80
269,3,5:46.0,,S. Curry misses 3-pt jump shot from 28 ft,59,80
270,3,5:44.0,,Offensive rebound by K. Looney,59,80
271,3,5:41.0,,K. Thompson misses 3-pt jump shot from 23 ft,59,80
272,3,5:40.0,,Offensive rebound by Team,59,80
273,3,5:40.0,A. Trier enters the game for L. Kornet,,59,80
274,3,5:40.0,,A. Iguodala enters the game for D. Green,59,80
275,3,5:38.0,,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),59,82
276,3,5:21.0,E. Mudiay misses 2-pt jump shot from 13 ft,,59,82
277,3,5:19.0,Offensive rebound by E. Freedom,,59,82
278,3,5:16.0,Turnover by E. Freedom (lost ball; steal by K. Looney),,59,82
279,3,5:11.0,,K. Durant makes 2-pt layup from 1 ft,59,84
280,3,5:11.0,T. Burke enters the game for E. Mudiay,,59,84
281,3,4:47.0,A. Trier misses 2-pt jump shot from 12 ft,,59,84
282,3,4:45.0,,Defensive rebound by Team,59,84
283,3,4:40.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Curry),59,86
284,3,4:21.0,Shooting foul by S. Curry (drawn by M. Hezonja),,59,86
285,3,4:21.0,M. Hezonja makes free throw 1 of 2,,60,86
286,3,4:21.0,,Q. Cook enters the game for S. Curry,60,86
287,3,4:21.0,M. Hezonja makes free throw 2 of 2,,61,86
288,3,4:10.0,,K. Thompson misses 3-pt jump shot from 29 ft,61,86
289,3,4:08.0,Defensive rebound by E. Freedom,,61,86
290,3,3:52.0,Turnover by A. Trier (lost ball; steal by A. Iguodala),,61,86
291,3,3:44.0,,Q. Cook misses 3-pt jump shot from 23 ft,61,86
292,3,3:42.0,Defensive rebound by E. Freedom,,61,86
293,3,3:20.0,D. Dotson misses 2-pt jump shot from 7 ft (block by K. Looney),,61,86
294,3,3:19.0,,Defensive rebound by K. Durant,61,86
295,3,3:13.0,,K. Durant makes 2-pt layup from 2 ft,61,88
296,3,2:58.0,D. Dotson misses 3-pt jump shot from 27 ft,,61,88
297,3,2:56.0,Offensive rebound by E. Freedom,,61,88
298,3,2:54.0,E. Freedom misses 2-pt layup from 2 ft (block by K. Durant),,61,88
299,3,2:52.0,Offensive rebound by M. Hezonja,,61,88
300,3,2:49.0,D. Dotson misses 3-pt jump shot from 28 ft,,61,88
301,3,2:47.0,,Defensive rebound by Q. Cook,61,88
302,3,2:32.0,,K. Looney misses 2-pt jump shot from 13 ft,61,88
303,3,2:30.0,Defensive rebound by A. Trier,,61,88
304,3,2:24.0,A. Trier makes 2-pt layup from 2 ft,,63,88
305,3,2:15.0,,Golden State full timeout,63,88
306,3,2:15.0,,D. Green enters the game for K. Looney,63,88
307,3,2:15.0,,J. Jerebko enters the game for K. Thompson,63,88
308,3,2:08.0,,Offensive foul by K. Durant (drawn by A. Trier),63,88
309,3,2:08.0,,Turnover by K. Durant (offensive foul),63,88
310,3,2:02.0,T. Burke misses 2-pt layup from 7 ft (block by Q. Cook),,63,88
311,3,2:00.0,Offensive rebound by Team,,63,88
312,3,1:51.0,T. Burke misses 3-pt jump shot from 29 ft,,63,88
313,3,1:49.0,,Defensive rebound by Q. Cook,63,88
314,3,1:41.0,,Shooting foul by E. Freedom (drawn by A. Iguodala),63,88
315,3,1:41.0,,A. Iguodala misses free throw 1 of 2,63,88
316,3,1:41.0,,Offensive rebound by Team,63,88
317,3,1:41.0,,A. Iguodala makes free throw 2 of 2,63,89
318,3,1:20.0,A. Trier misses 3-pt jump shot from 26 ft,,63,89
319,3,1:18.0,,Defensive rebound by K. Durant,63,89
320,3,1:10.0,,D. Green misses 3-pt jump shot from 27 ft,63,89
321,3,1:08.0,Defensive rebound by M. Hezonja,,63,89
322,3,1:03.0,M. Hezonja makes 2-pt dunk from 1 ft,,65,89
323,3,0:50.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by A. Iguodala),65,92
324,3,0:34.0,M. Hezonja makes 2-pt layup from 3 ft (assist by E. Freedom),,67,92
325,3,0:27.0,,Q. Cook makes 2-pt layup from 2 ft (assist by K. Durant),67,94
326,3,0:07.0,Shooting foul by J. Jerebko (drawn by T. Burke),,67,94
327,3,0:07.0,T. Burke misses free throw 1 of 2,,67,94
328,3,0:07.0,Offensive rebound by Team,,67,94
329,3,0:07.0,N. Vonleh enters the game for E. Freedom,,67,94
330,3,0:07.0,T. Burke makes free throw 2 of 2,,68,94
331,3,0:03.0,,Turnover by K. Durant (lost ball; steal by N. Vonleh),68,94
332,3,0:00.0,A. Trier misses 3-pt jump shot from 29 ft,,68,94
333,3,0:00.0,Offensive rebound by Team,,68,94
334,4,11:40.0,,Turnover by A. Iguodala (bad pass; steal by E. Freedom),68,94
335,4,11:29.0,M. Hezonja makes 2-pt jump shot from 18 ft,,70,94
336,4,11:05.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),70,96
337,4,10:51.0,Offensive foul by E. Freedom (drawn by D. Green),,70,96
338,4,10:51.0,Turnover by E. Freedom (offensive foul),,70,96
339,4,10:42.0,,J. Jerebko misses 3-pt jump shot from 27 ft,70,96
340,4,10:40.0,Defensive rebound by E. Freedom,,70,96
341,4,10:19.0,A. Trier misses 2-pt layup from 4 ft (block by A. Iguodala),,70,96
342,4,10:18.0,Offensive rebound by Team,,70,96
343,4,10:16.0,E. Freedom misses 2-pt jump shot from 19 ft,,70,96
344,4,10:15.0,,Defensive rebound by A. Iguodala,70,96
345,4,10:10.0,,J. Jerebko misses 2-pt layup from 2 ft,70,96
346,4,10:09.0,Defensive rebound by E. Freedom,,70,96
347,4,10:02.0,D. Dotson misses 3-pt jump shot from 28 ft,,70,96
348,4,10:00.0,,Defensive rebound by S. Curry,70,96
349,4,9:55.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),70,98
350,4,9:38.0,,Violation by Team (kicked ball),70,98
351,4,9:28.0,E. Freedom misses 2-pt jump shot from 9 ft (block by A. Iguodala),,70,98
352,4,9:27.0,,Defensive rebound by S. Curry,70,98
353,4,9:22.0,,S. Curry misses 3-pt jump shot from 28 ft,70,98
354,4,9:20.0,Defensive rebound by M. Hezonja,,70,98
355,4,9:12.0,A. Trier misses 2-pt jump shot from 19 ft,,70,98
356,4,9:11.0,,Defensive rebound by S. Curry,70,98
357,4,9:03.0,,K. Thompson misses 3-pt jump shot from 27 ft,70,98
358,4,9:01.0,Defensive rebound by E. Freedom,,70,98
