,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
238,3,9:59.0,,D. Dotson misses 3-pt jump shot from 25 ft,46,41
239,3,9:56.0,Defensive rebound by M. Conley,,46,41
240,3,9:46.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Gasol),,48,41
241,3,9:46.0,Shooting foul by K. Knox (drawn by J. Jackson),,48,41
242,3,9:46.0,Memphis full timeout,,48,41
243,3,9:46.0,J. Jackson makes free throw 1 of 1,,49,41
244,3,9:45.0,,Personal foul by B. Caboclo (drawn by D. Smith),49,41
245,3,9:45.0,I. Rabb enters the game for J. Jackson,,49,41
246,3,9:22.0,,K. Knox misses 2-pt jump shot from 9 ft,49,41
247,3,9:20.0,Defensive rebound by M. Gasol,,49,41
248,3,9:19.0,Turnover by I. Rabb (bad pass),,49,41
249,3,8:58.0,,N. Vonleh makes 3-pt jump shot from 23 ft (assist by D. Smith),49,44
250,3,8:52.0,Personal foul by K. Knox (drawn by I. Rabb),,49,44
251,3,8:40.0,B. Caboclo misses 2-pt jump shot from 7 ft,,49,44
252,3,8:38.0,,Defensive rebound by N. Vonleh,49,44
253,3,8:24.0,,K. Knox misses 2-pt jump shot from 13 ft,49,44
254,3,8:18.0,Defensive rebound by M. Conley,,49,44
255,3,8:15.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by M. Conley),,52,44
256,3,7:57.0,,K. Knox misses 3-pt jump shot from 25 ft,52,44
257,3,7:56.0,Defensive rebound by M. Conley,,52,44
258,3,7:50.0,M. Conley makes 2-pt jump shot from 8 ft,,54,44
259,3,7:48.0,,New York full timeout,54,44
260,3,7:48.0,J. Washburn enters the game for B. Caboclo,,54,44
261,3,7:48.0,,A. Trier enters the game for D. Smith,54,44
262,3,7:35.0,,Turnover by A. Trier (bad pass; steal by J. Washburn),54,44
263,3,7:29.0,J. Holiday misses 2-pt layup from 4 ft,,54,44
264,3,7:27.0,,Defensive rebound by D. Jordan,54,44
265,3,7:14.0,,Turnover by A. Trier (bad pass),54,44
266,3,7:00.0,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Holiday),,57,44
267,3,6:46.0,,A. Trier makes 3-pt jump shot from 26 ft (assist by D. Dotson),57,47
268,3,6:28.0,J. Washburn misses 2-pt jump shot from 17 ft,,57,47
269,3,6:25.0,,Defensive rebound by A. Trier,57,47
270,3,6:13.0,,Personal foul by J. Holiday (drawn by K. Knox),57,47
271,3,6:00.0,,Turnover by N. Vonleh (lost ball; steal by M. Conley),57,47
272,3,5:43.0,Shooting foul by D. Dotson (drawn by I. Rabb),,57,47
273,3,5:43.0,,K. Allen enters the game for K. Knox,57,47
274,3,5:43.0,I. Rabb makes free throw 1 of 2,,58,47
275,3,5:43.0,I. Rabb misses free throw 2 of 2,,58,47
276,3,5:41.0,,Defensive rebound by D. Jordan,58,47
277,3,5:25.0,,Offensive foul by A. Trier (drawn by M. Conley),58,47
278,3,5:25.0,,Turnover by A. Trier (offensive foul),58,47
279,3,5:12.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by M. Gasol),,61,47
280,3,4:57.0,,Shooting foul by I. Rabb (drawn by D. Jordan),61,47
281,3,4:57.0,,D. Jordan makes free throw 1 of 2,61,48
282,3,4:57.0,S. Mack enters the game for J. Holiday,,61,48
283,3,4:57.0,,W. Matthews enters the game for D. Dotson,61,48
284,3,4:57.0,,D. Jordan makes free throw 2 of 2,61,49
285,3,4:44.0,Shooting foul by K. Allen (drawn by J. Washburn),,61,49
286,3,4:44.0,J. Washburn makes free throw 1 of 2,,62,49
287,3,4:44.0,J. Washburn misses free throw 2 of 2,,62,49
288,3,4:42.0,,Defensive rebound by D. Jordan,62,49
289,3,4:23.0,,Personal foul by J. Washburn (drawn by N. Vonleh),62,49
290,3,4:23.0,,N. Vonleh makes free throw 1 of 2,62,50
291,3,4:23.0,,N. Vonleh makes free throw 2 of 2,62,51
292,3,4:15.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),,65,51
293,3,4:03.0,,N. Vonleh makes 2-pt jump shot from 10 ft (assist by K. Allen),65,53
294,3,3:50.0,M. Conley misses 3-pt jump shot from 25 ft,,65,53
295,3,3:44.0,,Defensive rebound by A. Trier,65,53
296,3,3:38.0,,D. Jordan makes 2-pt layup at rim (assist by A. Trier),65,55
297,3,3:20.0,M. Conley misses 2-pt jump shot from 11 ft,,65,55
298,3,3:17.0,,Defensive rebound by A. Trier,65,55
299,3,3:15.0,,A. Trier misses 2-pt layup from 2 ft (block by S. Mack),65,55
300,3,3:15.0,,Offensive rebound by Team,65,55
301,3,3:15.0,J. Jackson enters the game for I. Rabb,,65,55
302,3,3:15.0,,M. Hezonja enters the game for D. Jordan,65,55
