,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
353,4,6:20.0,,E. Moore makes 2-pt layup at rim,92,89
354,4,6:17.0,Atlanta full timeout,,92,89
355,4,6:17.0,M. Belinelli enters the game for M. Delaney,,92,89
356,4,6:17.0,L. Babbitt enters the game for I. Taylor,,92,89
357,4,6:17.0,D. Schröder enters the game for K. Bazemore,,92,89
358,4,6:02.0,D. Schröder misses 2-pt layup from 1 ft,,92,89
359,4,5:54.0,,Defensive rebound by J. Holiday,92,89
360,4,5:45.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Holiday),92,92
361,4,5:27.0,L. Babbitt misses 2-pt jump shot from 12 ft,,92,92
362,4,5:23.0,,Defensive rebound by A. Davis,92,92
363,4,5:10.0,,A. Davis misses 3-pt jump shot from 25 ft,92,92
364,4,5:05.0,Defensive rebound by L. Babbitt,,92,92
365,4,4:45.0,D. Schröder misses 2-pt layup from 1 ft (block by A. Davis),,92,92
366,4,4:39.0,,Defensive rebound by A. Davis,92,92
367,4,4:37.0,,E. Moore makes 2-pt jump shot from 21 ft (assist by J. Holiday),92,94
368,4,4:09.0,J. Collins misses 2-pt layup from 4 ft,,92,94
