,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
294,3,2:18.0,,Defensive rebound by E. Freedom,74,73
295,3,2:13.0,,D. McDermott makes 2-pt layup from 1 ft (assist by M. Beasley),74,75
296,3,1:57.0,B. Ingram misses 2-pt layup from 1 ft,,74,75
297,3,1:55.0,,Defensive rebound by D. McDermott,74,75
298,3,1:44.0,,K. O'Quinn enters the game for E. Freedom,74,75
299,3,1:44.0,,R. Baker enters the game for C. Lee,74,75
300,3,1:44.0,J. Clarkson enters the game for L. Ball,,74,75
301,3,1:35.0,,M. Beasley misses 2-pt jump shot from 8 ft (block by J. Randle),74,75
302,3,1:34.0,,Offensive rebound by M. Beasley,74,75
303,3,1:33.0,,Shooting foul by K. Kuzma (drawn by M. Beasley),74,75
304,3,1:33.0,,M. Beasley misses free throw 1 of 2,74,75
305,3,1:33.0,,Offensive rebound by Team,74,75
306,3,1:33.0,,M. Beasley makes free throw 2 of 2,74,76
307,3,1:17.0,Personal foul by R. Baker (drawn by B. Ingram),,74,76
308,3,1:05.0,J. Randle makes 2-pt jump shot from 15 ft (assist by B. Ingram),,76,76
309,3,0:52.0,,Offensive foul by K. O'Quinn (drawn by K. Caldwell-Pope),76,76
310,3,0:52.0,,Turnover by K. O'Quinn (offensive foul),76,76
311,3,0:40.0,B. Ingram makes 2-pt jump shot from 2 ft,,78,76
312,3,0:40.0,Shooting foul by K. O'Quinn (drawn by B. Ingram),,78,76
313,3,0:40.0,B. Ingram makes free throw 1 of 1,,79,76
314,3,0:28.0,Violation by J. Randle (kicked ball),,79,76
315,3,0:19.0,,Turnover by M. Beasley (bad pass),79,76
316,3,0:01.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,79,76
317,3,0:01.0,Offensive rebound by Team,,79,76
318,4,11:38.0,Turnover by J. Randle (traveling),,79,76
319,4,11:26.0,,D. McDermott makes 2-pt layup from 1 ft (assist by F. Ntilikina),79,78
320,4,11:03.0,J. Clarkson misses 2-pt jump shot from 20 ft,,79,78
321,4,11:01.0,Offensive rebound by K. Kuzma,,79,78
322,4,11:01.0,K. Kuzma makes 2-pt layup at rim,,81,78
323,4,10:44.0,,M. Beasley makes 2-pt jump shot from 11 ft,81,80
324,4,10:30.0,J. Clarkson misses 2-pt layup from 5 ft (block by R. Baker),,81,80
325,4,10:26.0,Defensive rebound by J. Clarkson,,81,80
326,4,10:21.0,J. Randle misses 2-pt jump shot from 19 ft,,81,80
327,4,10:20.0,,Defensive rebound by M. Beasley,81,80
328,4,10:05.0,,F. Ntilikina misses 2-pt jump shot from 23 ft,81,80
329,4,10:03.0,Defensive rebound by J. Hart,,81,80
330,4,9:55.0,J. Clarkson makes 2-pt jump shot from 16 ft,,83,80
331,4,9:34.0,,M. Beasley makes 2-pt layup from 7 ft,83,82
332,4,9:23.0,Turnover by J. Clarkson (bad pass; steal by R. Baker),,83,82
333,4,9:18.0,,M. Beasley misses 2-pt layup from 2 ft,83,82
334,4,9:17.0,,Offensive rebound by K. O'Quinn,83,82
335,4,9:15.0,,K. O'Quinn makes 2-pt layup from 1 ft,83,84
336,4,9:15.0,LA Lakers full timeout,,83,84
337,4,8:59.0,K. Kuzma makes 3-pt jump shot from 26 ft,,86,84
338,4,8:29.0,,K. O'Quinn makes 2-pt layup at rim (assist by F. Ntilikina),86,86
339,4,8:12.0,K. Kuzma misses 2-pt jump shot from 20 ft,,86,86
340,4,8:10.0,,Defensive rebound by F. Ntilikina,86,86
341,4,7:54.0,,M. Beasley misses 2-pt jump shot from 11 ft,86,86
342,4,7:52.0,Defensive rebound by J. Clarkson,,86,86
343,4,7:45.0,Offensive foul by J. Randle (drawn by M. Beasley),,86,86
344,4,7:45.0,Turnover by J. Randle (offensive foul),,86,86
345,4,7:45.0,,K. Porziņģis enters the game for K. O'Quinn,86,86
346,4,7:45.0,B. Ingram enters the game for J. Hart,,86,86
347,4,7:45.0,L. Ball enters the game for C. Brewer,,86,86
348,4,7:25.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,86,86
349,4,7:24.0,Defensive rebound by Team,,86,86
350,4,7:03.0,Turnover by B. Ingram (bad pass),,86,86
351,4,7:03.0,,C. Lee enters the game for R. Baker,86,86
352,4,6:41.0,,D. McDermott misses 2-pt jump shot from 8 ft,86,86
353,4,6:40.0,,Offensive rebound by Team,86,86
354,4,6:31.0,,M. Beasley makes 2-pt jump shot from 7 ft (assist by F. Ntilikina),86,88
355,4,6:18.0,L. Ball misses 2-pt layup from 1 ft (block by K. Porziņģis),,86,88
356,4,6:17.0,Offensive rebound by J. Randle,,86,88
357,4,6:16.0,J. Randle misses 2-pt layup from 1 ft,,86,88
358,4,6:15.0,,Defensive rebound by F. Ntilikina,86,88
359,4,5:57.0,,K. Porziņģis misses 2-pt jump shot from 10 ft,86,88
360,4,5:56.0,Defensive rebound by K. Kuzma,,86,88
361,4,5:56.0,Personal foul by M. Beasley (drawn by K. Kuzma),,86,88
362,4,5:36.0,K. Kuzma makes 2-pt jump shot from 3 ft,,88,88
363,4,5:22.0,,F. Ntilikina makes 2-pt jump shot from 13 ft,88,90
364,4,5:08.0,L. Ball misses 2-pt layup at rim (block by K. Porziņģis),,88,90
365,4,5:07.0,Offensive rebound by J. Randle,,88,90
366,4,5:05.0,J. Randle makes 2-pt dunk from 1 ft,,90,90
367,4,4:51.0,,F. Ntilikina makes 2-pt jump shot from 17 ft,90,92
