,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
221,3,11:06.0,,K. Middleton makes 2-pt jump shot from 13 ft (assist by J. Henson),55,49
222,3,10:48.0,J. Allen misses 2-pt hook shot from 7 ft,,55,49
223,3,10:45.0,,Defensive rebound by G. Antetokounmpo,55,49
224,3,10:43.0,,Shooting foul by J. Allen (drawn by G. Antetokounmpo),55,49
225,3,10:43.0,,G. Antetokounmpo makes free throw 1 of 2,55,50
226,3,10:43.0,,G. Antetokounmpo makes free throw 2 of 2,55,51
227,3,10:33.0,Turnover by A. Crabbe (bad pass; steal by E. Bledsoe),,55,51
228,3,10:28.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,55,51
229,3,10:25.0,Defensive rebound by J. Harris,,55,51
230,3,10:19.0,D. Russell makes 2-pt layup at rim (assist by J. Harris),,57,51
231,3,10:12.0,,K. Middleton misses 2-pt layup from 3 ft,57,51
232,3,10:09.0,Defensive rebound by J. Allen,,57,51
233,3,9:56.0,D. Russell makes 2-pt jump shot from 10 ft,,59,51
234,3,9:49.0,,Personal foul by D. Russell (drawn by E. Bledsoe),59,51
235,3,9:36.0,,Shooting foul by R. Hollis-Jefferson (drawn by J. Henson),59,51
236,3,9:36.0,,J. Henson misses free throw 1 of 2,59,51
237,3,9:36.0,,Offensive rebound by Team,59,51
238,3,9:36.0,,J. Henson misses free throw 2 of 2,59,51
239,3,9:33.0,Defensive rebound by R. Hollis-Jefferson,,59,51
240,3,9:21.0,A. Crabbe makes 2-pt jump shot from 18 ft (assist by R. Hollis-Jefferson),,61,51
241,3,9:20.0,,Milwaukee full timeout,61,51
242,3,9:20.0,,S. Brown enters the game for T. Snell,61,51
243,3,9:05.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by R. Hollis-Jefferson),61,51
244,3,9:05.0,,Offensive rebound by Team,61,51
245,3,9:00.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),61,53
246,3,8:40.0,J. Harris makes 2-pt layup from 1 ft,,63,53
247,3,8:29.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by E. Bledsoe),63,55
248,3,8:23.0,Turnover by D. Russell (bad pass; steal by G. Antetokounmpo),,63,55
249,3,8:13.0,,E. Bledsoe misses 2-pt layup from 2 ft,63,55
250,3,8:08.0,,Offensive rebound by J. Henson,63,55
251,3,8:08.0,,J. Henson misses 2-pt layup at rim,63,55
252,3,8:08.0,Defensive rebound by A. Crabbe,,63,55
253,3,7:55.0,Personal foul by K. Middleton (drawn by J. Harris),,63,55
254,3,7:44.0,A. Crabbe makes 3-pt jump shot from 27 ft,,66,55
255,3,7:44.0,Shooting foul by S. Brown (drawn by A. Crabbe),,66,55
256,3,7:44.0,A. Crabbe misses free throw 1 of 1,,66,55
257,3,7:44.0,,Defensive rebound by G. Antetokounmpo,66,55
258,3,7:31.0,,Shooting foul by D. Russell (drawn by G. Antetokounmpo),66,55
259,3,7:31.0,,G. Antetokounmpo makes free throw 1 of 2,66,56
260,3,7:31.0,,G. Antetokounmpo makes free throw 2 of 2,66,57
261,3,7:11.0,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft,,68,57
262,3,7:01.0,S. Dinwiddie enters the game for J. Harris,,68,57
263,3,6:53.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),68,60
264,3,6:33.0,Personal foul by J. Henson (drawn by J. Allen),,68,60
265,3,6:26.0,J. Allen misses 2-pt layup from 2 ft,,68,60
266,3,6:21.0,,Defensive rebound by G. Antetokounmpo,68,60
267,3,6:20.0,,Personal foul by R. Hollis-Jefferson (drawn by E. Bledsoe),68,60
268,3,6:20.0,,E. Bledsoe makes free throw 1 of 2,68,61
269,3,6:20.0,,J. Parker enters the game for G. Antetokounmpo,68,61
270,3,6:20.0,Q. Acy enters the game for R. Hollis-Jefferson,,68,61
271,3,6:20.0,,E. Bledsoe makes free throw 2 of 2,68,62
272,3,6:07.0,A. Crabbe misses 2-pt layup from 4 ft (block by J. Henson),,68,62
273,3,6:03.0,,Defensive rebound by S. Brown,68,62
274,3,5:49.0,,J. Parker misses 2-pt jump shot from 15 ft,68,62
275,3,5:45.0,Defensive rebound by S. Dinwiddie,,68,62
276,3,5:42.0,A. Crabbe misses 3-pt jump shot from 25 ft,,68,62
277,3,5:40.0,,Defensive rebound by J. Henson,68,62
278,3,5:24.0,,J. Parker misses 3-pt jump shot from 26 ft,68,62
279,3,5:22.0,Defensive rebound by S. Dinwiddie,,68,62
280,3,5:20.0,Brooklyn full timeout,,68,62
281,3,5:20.0,C. LeVert enters the game for A. Crabbe,,68,62
282,3,5:14.0,Turnover by D. Russell (bad pass; steal by E. Bledsoe),,68,62
283,3,5:09.0,,E. Bledsoe makes 2-pt dunk from 1 ft,68,64
284,3,4:42.0,S. Dinwiddie misses 3-pt jump shot from 29 ft,,68,64
285,3,4:39.0,,Defensive rebound by J. Parker,68,64
286,3,4:30.0,,J. Parker makes 2-pt dunk from 1 ft (assist by E. Bledsoe),68,66
287,3,4:09.0,C. LeVert misses 2-pt layup from 2 ft,,68,66
288,3,4:07.0,,Defensive rebound by K. Middleton,68,66
289,3,4:00.0,,J. Henson makes 2-pt hook shot from 3 ft (assist by K. Middleton),68,68
290,3,3:35.0,Personal foul by J. Parker (drawn by Q. Acy),,68,68
291,3,3:35.0,,T. Zeller enters the game for J. Henson,68,68
292,3,3:35.0,J. Harris enters the game for D. Russell,,68,68
293,3,3:30.0,C. LeVert makes 3-pt jump shot from 25 ft (assist by J. Allen),,71,68
294,3,3:13.0,,Shooting foul by C. LeVert (drawn by K. Middleton),71,68
295,3,3:13.0,,K. Middleton makes free throw 1 of 2,71,69
296,3,3:13.0,T. Mozgov enters the game for J. Allen,,71,69
297,3,3:13.0,,K. Middleton makes free throw 2 of 2,71,70
298,3,2:56.0,Turnover by S. Dinwiddie (bad pass; steal by E. Bledsoe),,71,70
299,3,2:48.0,,T. Zeller makes 2-pt layup from 2 ft (assist by J. Parker),71,72
300,3,2:36.0,C. LeVert misses 2-pt jump shot from 15 ft,,71,72
301,3,2:34.0,,Defensive rebound by S. Brown,71,72
302,3,2:23.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by J. Parker),71,75
303,3,2:22.0,Brooklyn full timeout,,71,75
304,3,2:12.0,Personal foul by S. Brown (drawn by T. Mozgov),,71,75
305,3,2:12.0,T. Mozgov makes free throw 1 of 2,,72,75
306,3,2:12.0,T. Mozgov makes free throw 2 of 2,,73,75
307,3,1:55.0,,K. Middleton misses 2-pt jump shot from 19 ft,73,75
308,3,1:53.0,Defensive rebound by J. Harris,,73,75
309,3,1:43.0,T. Mozgov makes 2-pt layup from 1 ft (assist by J. Harris),,75,75
310,3,1:21.0,,K. Middleton makes 2-pt jump shot from 6 ft,75,77
311,3,1:03.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,78,77
312,3,0:50.0,,S. Brown misses 3-pt jump shot from 25 ft,78,77
313,3,0:47.0,Defensive rebound by Q. Acy,,78,77
314,3,0:42.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by Q. Acy),,81,77
