,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
331,4,9:48.0,,B. Hield makes 2-pt jump shot from 19 ft,73,92
332,4,9:31.0,K. O'Quinn misses 2-pt layup from 2 ft (block by S. Labissière),,73,92
333,4,9:27.0,Offensive rebound by M. Beasley,,73,92
334,4,9:25.0,M. Beasley misses 2-pt layup at rim,,73,92
335,4,9:24.0,Offensive rebound by K. O'Quinn,,73,92
336,4,9:22.0,Turnover by K. O'Quinn (lost ball; steal by F. Mason),,73,92
337,4,9:19.0,,G. Temple misses 3-pt jump shot from 25 ft,73,92
338,4,9:15.0,Defensive rebound by T. Williams,,73,92
339,4,9:02.0,Turnover by M. Beasley (lost ball; steal by G. Temple),,73,92
340,4,8:56.0,,Turnover by B. Hield (bad pass; steal by T. Burke),73,92
341,4,8:52.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by T. Burke),,75,92
342,4,8:33.0,,B. Hield misses 2-pt layup from 1 ft (block by K. O'Quinn),75,92
343,4,8:33.0,,Offensive rebound by S. Labissière,75,92
344,4,8:27.0,,G. Temple misses 3-pt jump shot from 27 ft,75,92
345,4,8:26.0,Defensive rebound by Team,,75,92
346,4,8:26.0,T. Hardaway enters the game for T. Williams,,75,92
347,4,8:12.0,K. O'Quinn makes 2-pt jump shot from 18 ft,,77,92
348,4,7:57.0,,F. Mason misses 2-pt jump shot from 19 ft (block by T. Burke),77,92
349,4,7:54.0,Defensive rebound by K. O'Quinn,,77,92
350,4,7:44.0,C. Lee makes 3-pt jump shot from 26 ft (assist by K. O'Quinn),,80,92
351,4,7:23.0,,Personal foul by K. O'Quinn (drawn by F. Mason),80,92
352,4,7:23.0,,Sacramento full timeout,80,92
353,4,7:12.0,,Turnover by V. Carter (bad pass; steal by K. O'Quinn),80,92
354,4,6:58.0,T. Burke makes 2-pt jump shot from 16 ft (assist by M. Beasley),,82,92
