,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
280,3,2:40.0,Offensive rebound by Team,,73,79
281,3,2:37.0,Turnover by A. Wiggins (bad pass; steal by T. Williams),,73,79
282,3,2:36.0,,Personal foul by K. Towns (drawn by T. Hardaway),73,79
283,3,2:36.0,,T. Hardaway misses free throw 1 of 2,73,79
284,3,2:36.0,,Offensive rebound by Team,73,79
285,3,2:36.0,,K. O'Quinn enters the game for E. Freedom,73,79
286,3,2:36.0,N. Bjelica enters the game for T. Gibson,,73,79
287,3,2:36.0,,T. Hardaway makes free throw 2 of 2,73,80
288,3,2:18.0,Shooting foul by T. Williams (drawn by N. Bjelica),,73,80
289,3,2:18.0,,F. Ntilikina enters the game for T. Burke,73,80
290,3,2:18.0,G. Dieng enters the game for K. Towns,,73,80
291,3,2:18.0,N. Bjelica makes free throw 1 of 2,,74,80
292,3,2:18.0,N. Bjelica makes free throw 2 of 2,,75,80
293,3,2:03.0,,L. Kornet misses 3-pt jump shot from 25 ft,75,80
294,3,2:00.0,Defensive rebound by A. Wiggins,,75,80
295,3,1:54.0,Shooting foul by K. O'Quinn (drawn by A. Wiggins),,75,80
296,3,1:54.0,A. Wiggins makes free throw 1 of 2,,76,80
297,3,1:54.0,A. Wiggins makes free throw 2 of 2,,77,80
298,3,1:36.0,,T. Hardaway makes 2-pt jump shot from 21 ft,77,82
299,3,1:19.0,N. Bjelica makes 3-pt jump shot from 22 ft (assist by T. Jones),,80,82
300,3,0:58.0,,K. O'Quinn misses 2-pt layup from 2 ft (block by G. Dieng),80,82
301,3,0:57.0,Defensive rebound by T. Jones,,80,82
302,3,0:57.0,Personal foul by L. Kornet (drawn by T. Jones),,80,82
303,3,0:57.0,T. Jones makes free throw 1 of 2,,81,82
304,3,0:57.0,T. Jones makes free throw 2 of 2,,82,82
305,3,0:38.0,,L. Kornet misses 3-pt jump shot from 24 ft,82,82
306,3,0:36.0,Defensive rebound by T. Jones,,82,82
307,3,0:31.0,A. Wiggins makes 2-pt jump shot from 10 ft,,84,82
308,3,0:13.0,,T. Williams misses 3-pt jump shot from 25 ft,84,82
309,3,0:13.0,,Offensive rebound by K. O'Quinn,84,82
310,3,0:06.0,,T. Hardaway misses 3-pt jump shot from 26 ft,84,82
311,3,0:00.0,Defensive rebound by N. Bjelica,,84,82
312,3,0:00.0,J. Crawford misses 3-pt jump shot from 26 ft,,84,82
313,3,0:00.0,,Defensive rebound by T. Hardaway,84,82
314,4,11:41.0,A. Wiggins misses 2-pt jump shot from 15 ft,,84,82
315,4,11:37.0,,Defensive rebound by C. Lee,84,82
316,4,11:21.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,84,82
317,4,11:19.0,,Offensive rebound by F. Ntilikina,84,82
318,4,11:16.0,,C. Lee misses 3-pt jump shot from 25 ft,84,82
319,4,11:11.0,Defensive rebound by T. Jones,,84,82
320,4,11:08.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by T. Jones),,87,82
321,4,10:49.0,,M. Beasley misses 2-pt jump shot from 15 ft,87,82
322,4,10:46.0,Defensive rebound by T. Jones,,87,82
323,4,10:43.0,T. Gibson enters the game for A. Wiggins,,87,82
324,4,10:33.0,J. Crawford misses 2-pt jump shot from 17 ft,,87,82
325,4,10:28.0,,Defensive rebound by T. Williams,87,82
326,4,10:21.0,,F. Ntilikina makes 2-pt jump shot from 20 ft (assist by K. O'Quinn),87,84
327,4,9:52.0,G. Dieng makes 2-pt dunk at rim (assist by T. Gibson),,89,84
328,4,9:40.0,,F. Ntilikina misses 3-pt jump shot from 26 ft,89,84
329,4,9:36.0,Defensive rebound by T. Gibson,,89,84
330,4,9:23.0,G. Dieng makes 2-pt jump shot from 15 ft (assist by J. Crawford),,91,84
331,4,9:19.0,,New York full timeout,91,84
332,4,9:19.0,,T. Burke enters the game for F. Ntilikina,91,84
333,4,8:58.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by M. Beasley),91,86
334,4,8:58.0,,Shooting foul by G. Dieng (drawn by K. O'Quinn),91,86
335,4,8:58.0,K. Towns enters the game for G. Dieng,,91,86
336,4,8:58.0,,K. O'Quinn makes free throw 1 of 1,91,87
337,4,8:44.0,Shooting foul by C. Lee (drawn by T. Jones),,91,87
338,4,8:44.0,T. Jones makes free throw 1 of 3,,92,87
339,4,8:44.0,T. Jones makes free throw 2 of 3,,93,87
340,4,8:44.0,T. Jones makes free throw 3 of 3,,94,87
341,4,8:30.0,,Offensive foul by T. Burke (drawn by J. Crawford),94,87
342,4,8:30.0,,Turnover by T. Burke (offensive foul),94,87
343,4,8:12.0,J. Crawford misses 2-pt jump shot from 19 ft,,94,87
344,4,8:09.0,,Defensive rebound by K. O'Quinn,94,87
345,4,8:06.0,,M. Beasley makes 2-pt layup at rim (assist by K. O'Quinn),94,89
346,4,7:46.0,Personal foul by T. Williams (drawn by N. Bjelica),,94,89
347,4,7:33.0,J. Crawford misses 2-pt jump shot from 17 ft,,94,89
348,4,7:29.0,Offensive rebound by T. Gibson,,94,89
349,4,7:28.0,T. Gibson makes 2-pt layup from 2 ft,,96,89
350,4,7:20.0,,T. Hardaway enters the game for T. Williams,96,89
351,4,7:20.0,J. Teague enters the game for T. Jones,,96,89
352,4,7:20.0,A. Wiggins enters the game for J. Crawford,,96,89
353,4,7:19.0,,M. Beasley misses 2-pt layup from 3 ft (block by N. Bjelica),96,89
354,4,7:19.0,,Offensive rebound by Team,96,89
355,4,7:12.0,,Personal foul by T. Gibson (drawn by M. Beasley),96,89
356,4,6:59.0,,M. Beasley misses 2-pt jump shot from 9 ft,96,89
357,4,6:56.0,Defensive rebound by A. Wiggins,,96,89
358,4,6:44.0,J. Teague makes 2-pt jump shot from 16 ft,,98,89
359,4,6:29.0,,Turnover by T. Burke (out of bounds lost ball),98,89
360,4,6:13.0,J. Teague misses 3-pt jump shot from 25 ft,,98,89
361,4,6:10.0,,Defensive rebound by M. Beasley,98,89
362,4,6:04.0,,Turnover by M. Beasley (bad pass; steal by N. Bjelica),98,89
363,4,5:55.0,A. Wiggins misses 2-pt layup from 1 ft,,98,89
364,4,5:54.0,Offensive rebound by K. Towns,,98,89
365,4,5:54.0,K. Towns makes 2-pt layup from 1 ft,,100,89
366,4,5:54.0,Shooting foul by K. O'Quinn (drawn by K. Towns),,100,89
367,4,5:54.0,,E. Freedom enters the game for C. Lee,100,89
368,4,5:54.0,,F. Ntilikina enters the game for K. O'Quinn,100,89
369,4,5:54.0,K. Towns makes free throw 1 of 1,,101,89
370,4,5:36.0,,T. Burke makes 2-pt layup from 1 ft (assist by F. Ntilikina),101,91
371,4,5:12.0,A. Wiggins misses 3-pt jump shot from 27 ft,,101,91
372,4,5:10.0,,Defensive rebound by M. Beasley,101,91
