,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
291,3,2:07.0,,Defensive rebound by D. McDermott,64,66
292,3,2:04.0,,C. Lee misses 3-pt jump shot from 25 ft,64,66
293,3,2:02.0,,Offensive rebound by D. McDermott,64,66
294,3,2:01.0,,D. McDermott makes 2-pt layup from 1 ft,64,68
295,3,1:43.0,M. Muscala makes 3-pt jump shot from 24 ft (assist by M. Delaney),,67,68
296,3,1:32.0,,Personal foul by M. Delaney (drawn by T. Burke),67,68
297,3,1:32.0,,L. Thomas enters the game for C. Lee,67,68
298,3,1:23.0,,T. Burke makes 2-pt jump shot from 18 ft (assist by E. Freedom),67,70
299,3,1:01.0,M. Muscala makes 2-pt jump shot from 7 ft (assist by M. Delaney),,69,70
300,3,0:42.0,,Turnover by E. Freedom (lost ball; steal by J. Collins),69,70
301,3,0:37.0,Turnover by J. Collins (out of bounds lost ball),,69,70
302,3,0:33.0,,Shooting foul by M. Delaney (drawn by T. Burke),69,70
303,3,0:33.0,,T. Burke misses free throw 1 of 2,69,70
304,3,0:33.0,,Offensive rebound by Team,69,70
305,3,0:33.0,,T. Burke makes free throw 2 of 2,69,71
306,3,0:24.0,Turnover by J. Collins (bad pass),,69,71
307,3,0:03.0,,T. Burke misses 2-pt jump shot from 18 ft,69,71
308,3,0:02.0,Defensive rebound by Team,,69,71
309,3,0:02.0,Turnover by M. Muscala (bad pass; steal by M. Beasley),,69,71
310,3,0:01.0,,M. Beasley misses 3-pt jump shot from 40 ft,69,71
311,3,0:00.0,,Offensive rebound by Team,69,71
312,4,11:43.0,,M. Beasley misses 3-pt jump shot from 25 ft,69,71
313,4,11:40.0,Defensive rebound by T. Dorsey,,69,71
314,4,11:33.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by T. Dorsey),,72,71
315,4,11:16.0,,D. McDermott misses 2-pt jump shot from 16 ft,72,71
316,4,11:14.0,Defensive rebound by M. Belinelli,,72,71
317,4,11:12.0,Turnover by M. Belinelli (lost ball; steal by M. Beasley),,72,71
318,4,10:59.0,,T. Hardaway enters the game for L. Thomas,72,71
319,4,10:53.0,,Shooting foul by M. Muscala (drawn by K. O'Quinn),72,71
320,4,10:53.0,,K. O'Quinn makes free throw 1 of 2,72,72
321,4,10:53.0,,K. O'Quinn makes free throw 2 of 2,72,73
322,4,10:41.0,T. Dorsey misses 3-pt jump shot from 23 ft,,72,73
323,4,10:39.0,,Defensive rebound by T. Burke,72,73
324,4,10:31.0,,D. McDermott makes 2-pt jump shot from 12 ft,72,75
325,4,10:04.0,M. Belinelli misses 3-pt jump shot from 24 ft,,72,75
326,4,10:02.0,,Defensive rebound by D. McDermott,72,75
327,4,9:51.0,,M. Beasley misses 2-pt jump shot from 11 ft,72,75
328,4,9:49.0,,Offensive rebound by K. O'Quinn,72,75
