,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
232,3,8:25.0,Loose ball foul by A. Baynes (drawn by K. Towns),,66,57
233,3,8:07.0,,A. Wiggins misses 2-pt layup from 6 ft,66,57
234,3,8:07.0,,Offensive rebound by K. Towns,66,57
235,3,8:07.0,,Shooting foul by A. Baynes (drawn by K. Towns),66,57
236,3,8:07.0,,K. Towns misses free throw 1 of 2,66,57
237,3,8:07.0,,Offensive rebound by Team,66,57
238,3,8:07.0,M. Smart enters the game for A. Baynes,,66,57
239,3,8:07.0,M. Morris enters the game for J. Tatum,,66,57
240,3,8:07.0,,K. Towns misses free throw 2 of 2,66,57
241,3,8:05.0,Defensive rebound by A. Horford,,66,57
242,3,7:57.0,K. Irving misses 2-pt jump shot from 15 ft,,66,57
243,3,7:54.0,,Defensive rebound by N. Bjelica,66,57
244,3,7:33.0,,K. Towns makes 2-pt dunk from 1 ft,66,59
245,3,7:26.0,J. Brown misses 2-pt jump shot from 17 ft,,66,59
246,3,7:24.0,,Defensive rebound by K. Towns,66,59
247,3,7:15.0,,Turnover by T. Gibson (step out of bounds),66,59
248,3,7:05.0,A. Horford misses 3-pt jump shot from 25 ft,,66,59
249,3,7:02.0,,Defensive rebound by N. Bjelica,66,59
250,3,6:54.0,,K. Towns misses 2-pt hook shot from 6 ft,66,59
251,3,6:52.0,Defensive rebound by K. Irving,,66,59
252,3,6:48.0,Shooting foul by N. Bjelica (drawn by J. Brown),,66,59
253,3,6:48.0,,Minnesota full timeout,66,59
254,3,6:48.0,J. Brown makes free throw 1 of 2,,67,59
255,3,6:48.0,J. Brown makes free throw 2 of 2,,68,59
256,3,6:27.0,,K. Towns misses 2-pt hook shot from 9 ft,68,59
257,3,6:25.0,Defensive rebound by A. Horford,,68,59
258,3,6:21.0,K. Irving makes 2-pt jump shot from 15 ft,,70,59
259,3,6:12.0,,J. Teague misses 2-pt jump shot from 6 ft,70,59
260,3,6:12.0,Defensive rebound by A. Horford,,70,59
261,3,6:03.0,J. Brown misses 2-pt jump shot from 6 ft,,70,59
262,3,6:01.0,Offensive rebound by J. Brown,,70,59
263,3,6:00.0,J. Brown misses 2-pt jump shot from 12 ft,,70,59
264,3,5:57.0,,Defensive rebound by K. Towns,70,59
265,3,5:49.0,,A. Wiggins makes 2-pt jump shot from 6 ft,70,61
266,3,5:38.0,K. Irving misses 3-pt jump shot from 29 ft,,70,61
267,3,5:35.0,,Defensive rebound by A. Wiggins,70,61
