,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,SAN ANTONIO_ACTION,GOLDEN STATE_SCORE,SAN ANTONIO_SCORE
210,3,10:40.0,,D. Murray misses 2-pt jump shot from 9 ft (block by D. Green),54,48
211,3,10:36.0,Defensive rebound by J. McGee,,54,48
212,3,10:29.0,A. Iguodala misses 3-pt jump shot from 26 ft,,54,48
213,3,10:23.0,,Defensive rebound by R. Gay,54,48
214,3,10:09.0,,Shooting foul by K. Durant (drawn by L. Aldridge),54,48
215,3,10:09.0,,L. Aldridge makes free throw 1 of 2,54,49
216,3,10:09.0,,L. Aldridge makes free throw 2 of 2,54,50
217,3,9:51.0,Shooting foul by D. Murray (drawn by A. Iguodala),,54,50
218,3,9:51.0,A. Iguodala misses free throw 1 of 2,,54,50
219,3,9:51.0,Offensive rebound by Team,,54,50
220,3,9:51.0,A. Iguodala makes free throw 2 of 2,,55,50
221,3,9:28.0,,D. Murray misses 2-pt jump shot from 14 ft,55,50
222,3,9:25.0,,Offensive rebound by D. Murray,55,50
223,3,9:22.0,,R. Gay misses 3-pt jump shot from 26 ft,55,50
224,3,9:17.0,Defensive rebound by K. Thompson,,55,50
225,3,9:03.0,A. Iguodala misses 3-pt jump shot from 23 ft,,55,50
226,3,9:01.0,,Defensive rebound by L. Aldridge,55,50
227,3,8:54.0,,P. Mills makes 3-pt jump shot from 24 ft,55,53
228,3,8:53.0,Golden State full timeout,,55,53
229,3,8:40.0,Personal foul by P. Mills (drawn by D. Green),,55,53
230,3,8:33.0,A. Iguodala makes 3-pt jump shot from 25 ft (assist by K. Durant),,58,53
231,3,8:11.0,,D. Green makes 3-pt jump shot from 25 ft (assist by P. Mills),58,56
232,3,7:53.0,D. Green makes 3-pt jump shot from 24 ft,,61,56
233,3,7:42.0,,Personal foul by K. Thompson (drawn by P. Mills),61,56
234,3,7:32.0,,R. Gay misses 3-pt jump shot from 22 ft,61,56
235,3,7:28.0,Defensive rebound by D. Green,,61,56
236,3,7:18.0,K. Durant makes 2-pt jump shot from 16 ft,,63,56
237,3,6:56.0,,R. Gay misses 3-pt jump shot from 22 ft,63,56
238,3,6:53.0,Defensive rebound by J. McGee,,63,56
239,3,6:40.0,D. Green misses 3-pt jump shot from 23 ft,,63,56
240,3,6:38.0,,Defensive rebound by D. Green,63,56
241,3,6:35.0,,D. Green misses 3-pt jump shot from 28 ft,63,56
242,3,6:29.0,,Offensive rebound by D. Green,63,56
243,3,6:28.0,,D. Green makes 2-pt jump shot from 6 ft,63,58
244,3,6:14.0,J. McGee makes 2-pt layup at rim (assist by K. Durant),,65,58
245,3,5:55.0,,D. Murray makes 3-pt jump shot from 23 ft (assist by L. Aldridge),65,61
246,3,5:41.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by J. McGee),,67,61
247,3,5:27.0,,L. Aldridge misses 2-pt layup from 1 ft (block by D. Green),67,61
248,3,5:27.0,,Offensive rebound by Team,67,61
249,3,5:26.0,,B. Forbes enters the game for D. Murray,67,61
250,3,5:26.0,K. Looney enters the game for J. McGee,,67,61
251,3,5:23.0,,R. Gay misses 3-pt jump shot from 25 ft,67,61
252,3,5:20.0,Defensive rebound by A. Iguodala,,67,61
253,3,5:11.0,K. Durant misses 2-pt jump shot from 15 ft (block by P. Mills),,67,61
254,3,5:07.0,,Defensive rebound by L. Aldridge,67,61
255,3,5:04.0,,P. Mills misses 3-pt jump shot from 22 ft,67,61
256,3,5:01.0,Defensive rebound by Team,,67,61
257,3,5:01.0,,Loose ball foul by R. Gay (drawn by D. Green),67,61
258,3,5:01.0,,M. Ginóbili enters the game for D. Green,67,61
