,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
272,3,5:16.0,,Shooting foul by L. James (drawn by J. Simmons),79,78
273,3,5:16.0,,J. Simmons misses free throw 1 of 2,79,78
274,3,5:16.0,,Offensive rebound by Team,79,78
275,3,5:16.0,J. Green enters the game for L. James,,79,78
276,3,5:16.0,,J. Simmons makes free throw 2 of 2,79,79
277,3,5:04.0,J. Crowder misses 3-pt jump shot from 24 ft,,79,79
278,3,5:01.0,,Defensive rebound by E. Payton,79,79
279,3,4:53.0,,B. Biyombo misses 2-pt layup from 1 ft,79,79
280,3,4:51.0,,Offensive rebound by B. Biyombo,79,79
281,3,4:50.0,,Turnover by B. Biyombo (lost ball; steal by K. Korver),79,79
282,3,4:43.0,J. Green misses 2-pt jump shot from 13 ft,,79,79
283,3,4:42.0,,S. Mack enters the game for M. Hezonja,79,79
284,3,4:42.0,Defensive rebound by Team,,79,79
285,3,4:33.0,I. Thomas misses 2-pt layup from 3 ft (block by B. Biyombo),,79,79
286,3,4:29.0,,Defensive rebound by E. Fournier,79,79
287,3,4:27.0,,E. Fournier misses 3-pt jump shot from 25 ft,79,79
288,3,4:20.0,Defensive rebound by J. Crowder,,79,79
289,3,4:08.0,J. Green makes 2-pt layup from 2 ft (assist by I. Thomas),,81,79
290,3,3:54.0,,E. Payton misses 2-pt jump shot from 7 ft,81,79
291,3,3:53.0,,Offensive rebound by B. Biyombo,81,79
292,3,3:53.0,,Shooting foul by C. Frye (drawn by B. Biyombo),81,79
293,3,3:53.0,,B. Biyombo makes free throw 1 of 2,81,80
294,3,3:53.0,D. Wade enters the game for I. Thomas,,81,80
295,3,3:53.0,,B. Biyombo makes free throw 2 of 2,81,81
296,3,3:35.0,Shooting foul by J. Simmons (drawn by J. Crowder),,81,81
297,3,3:35.0,J. Crowder misses free throw 1 of 2,,81,81
298,3,3:35.0,Offensive rebound by Team,,81,81
299,3,3:35.0,J. Crowder misses free throw 2 of 2,,81,81
300,3,3:32.0,,Defensive rebound by B. Biyombo,81,81
301,3,3:17.0,,E. Payton misses 2-pt layup from 3 ft,81,81
302,3,3:14.0,Defensive rebound by J. Green,,81,81
303,3,3:11.0,C. Frye misses 3-pt jump shot from 25 ft,,81,81
304,3,3:07.0,,Defensive rebound by B. Biyombo,81,81
305,3,3:01.0,,Orlando full timeout,81,81
306,3,3:01.0,,D. Augustin enters the game for E. Payton,81,81
307,3,2:56.0,,Personal foul by J. Crowder (drawn by J. Simmons),81,81
308,3,2:56.0,,J. Simmons makes free throw 1 of 2,81,82
309,3,2:56.0,,J. Simmons makes free throw 2 of 2,81,83
310,3,2:41.0,J. Green makes 2-pt dunk from 1 ft (assist by K. Korver),,83,83
311,3,2:25.0,,J. Simmons misses 2-pt jump shot from 19 ft,83,83
312,3,2:21.0,Defensive rebound by D. Wade,,83,83
313,3,2:16.0,Shooting foul by B. Biyombo (drawn by D. Wade),,83,83
314,3,2:16.0,D. Wade makes free throw 1 of 2,,84,83
315,3,2:16.0,,K. Birch enters the game for B. Biyombo,84,83
316,3,2:16.0,D. Rose enters the game for J. Crowder,,84,83
317,3,2:16.0,D. Wade misses free throw 2 of 2,,84,83
318,3,2:13.0,,Defensive rebound by S. Mack,84,83
319,3,2:00.0,,Turnover by E. Fournier (lost ball; steal by K. Korver),84,83
320,3,1:49.0,J. Green makes 2-pt jump shot from 22 ft (assist by D. Rose),,86,83
321,3,1:30.0,,J. Simmons makes 2-pt dunk from 1 ft (assist by E. Fournier),86,85
322,3,1:18.0,K. Korver misses 3-pt jump shot from 25 ft,,86,85
323,3,1:16.0,,Defensive rebound by S. Mack,86,85
324,3,1:09.0,,J. Simmons makes 2-pt layup from 2 ft (assist by S. Mack),86,87
325,3,0:57.0,D. Wade makes 3-pt jump shot from 24 ft (assist by D. Rose),,89,87
326,3,0:47.0,,K. Birch makes 2-pt dunk at rim (assist by S. Mack),89,89
327,3,0:34.0,D. Rose misses 2-pt jump shot from 18 ft,,89,89
328,3,0:31.0,,Defensive rebound by K. Birch,89,89
329,3,0:25.0,,S. Mack misses 2-pt jump shot from 5 ft,89,89
330,3,0:22.0,Defensive rebound by C. Frye,,89,89
331,3,0:10.0,Personal foul by S. Mack (drawn by D. Wade),,89,89
332,3,0:03.0,C. Frye misses 3-pt jump shot from 25 ft,,89,89
333,3,0:00.0,,Defensive rebound by J. Simmons,89,89
334,3,0:00.0,,J. Simmons makes 3-pt jump shot from 25 ft,89,92
335,4,11:47.0,,K. Birch misses 2-pt jump shot from 8 ft,89,92
336,4,11:43.0,,Offensive rebound by K. Birch,89,92
337,4,11:41.0,,S. Mack misses 2-pt jump shot from 9 ft,89,92
338,4,11:41.0,,Offensive rebound by W. Iwundu,89,92
339,4,11:25.0,,J. Simmons misses 3-pt jump shot from 25 ft,89,92
340,4,11:21.0,Defensive rebound by K. Korver,,89,92
341,4,10:59.0,D. Wade makes 3-pt jump shot from 25 ft,,92,92
342,4,10:31.0,,J. Simmons makes 2-pt dunk from 1 ft (assist by S. Mack),92,94
343,4,10:10.0,D. Rose misses 2-pt layup from 3 ft (block by K. Birch),,92,94
344,4,10:10.0,Offensive rebound by Team,,92,94
345,4,10:10.0,L. James enters the game for C. Frye,,92,94
346,4,10:07.0,K. Korver misses 3-pt jump shot from 25 ft,,92,94
347,4,10:05.0,,Defensive rebound by W. Iwundu,92,94
348,4,9:47.0,,K. Birch makes 2-pt dunk from 1 ft (assist by J. Simmons),92,96
349,4,9:38.0,Personal foul by J. Simmons (drawn by K. Korver),,92,96
350,4,9:38.0,,M. Hezonja enters the game for J. Simmons,92,96
351,4,9:23.0,D. Rose misses 2-pt jump shot from 12 ft,,92,96
352,4,9:22.0,Offensive rebound by Team,,92,96
353,4,9:20.0,L. James misses 3-pt jump shot from 24 ft,,92,96
354,4,9:17.0,,Defensive rebound by M. Hezonja,92,96
355,4,8:57.0,,S. Mack misses 2-pt layup from 1 ft,92,96
356,4,8:55.0,Defensive rebound by J. Green,,92,96
357,4,8:53.0,Personal foul by W. Iwundu (drawn by L. James),,92,96
358,4,8:53.0,J. Smith enters the game for D. Rose,,92,96
359,4,8:43.0,D. Wade misses 3-pt jump shot from 22 ft,,92,96
360,4,8:40.0,,Defensive rebound by M. Hezonja,92,96
361,4,8:37.0,,Turnover by D. Augustin (step out of bounds),92,96
362,4,8:21.0,J. Green misses 3-pt jump shot from 23 ft,,92,96
363,4,8:18.0,,Defensive rebound by M. Hezonja,92,96
364,4,8:11.0,,Shooting foul by D. Wade (drawn by D. Augustin),92,96
365,4,8:11.0,,D. Augustin makes free throw 1 of 2,92,97
366,4,8:11.0,,D. Augustin makes free throw 2 of 2,92,98
367,4,8:03.0,Personal foul by W. Iwundu (drawn by L. James),,92,98
368,4,7:59.0,K. Korver misses 3-pt jump shot from 24 ft,,92,98
369,4,7:57.0,,Defensive rebound by K. Birch,92,98
370,4,7:48.0,,D. Augustin misses 2-pt layup from 2 ft,92,98
371,4,7:40.0,,Offensive rebound by W. Iwundu,92,98
372,4,7:40.0,,W. Iwundu makes 2-pt dunk at rim,92,100
373,4,7:31.0,K. Korver misses 3-pt jump shot from 27 ft,,92,100
374,4,7:27.0,,Defensive rebound by D. Augustin,92,100
375,4,7:19.0,,D. Augustin misses 3-pt jump shot from 25 ft,92,100
376,4,7:15.0,Defensive rebound by D. Wade,,92,100
377,4,6:55.0,Turnover by L. James (bad pass; steal by W. Iwundu),,92,100
378,4,6:55.0,,Personal foul by D. Wade (drawn by W. Iwundu),92,100
379,4,6:55.0,,Orlando full timeout,92,100
380,4,6:55.0,,E. Fournier enters the game for M. Hezonja,92,100
381,4,6:55.0,,J. Simmons enters the game for W. Iwundu,92,100
