,QUARTER,TIME_REMAINING,INDIANA_ACTION,MEMPHIS_ACTION,INDIANA_SCORE,MEMPHIS_SCORE
337,4,8:43.0,,W. Selden makes free throw 2 of 2,105,90
338,4,8:23.0,T. Young misses 2-pt jump shot from 1 ft (block by B. Wright),,105,90
339,4,8:20.0,,Defensive rebound by T. Evans,105,90
340,4,8:11.0,Technical foul by L. Stephenson,,105,90
341,4,8:11.0,,Technical foul by B. McLemore,105,90
342,4,8:11.0,,M. Chalmers enters the game for W. Selden,105,90
343,4,8:05.0,,Shooting foul by T. Young (drawn by M. Gasol),105,90
344,4,8:05.0,,M. Gasol makes free throw 1 of 2,105,91
345,4,8:05.0,B. Bogdanović enters the game for L. Stephenson,,105,91
346,4,8:05.0,,M. Gasol makes free throw 2 of 2,105,92
347,4,7:54.0,V. Oladipo misses 2-pt jump shot from 17 ft,,105,92
348,4,7:52.0,,Defensive rebound by M. Gasol,105,92
349,4,7:45.0,,T. Evans makes 2-pt layup from 1 ft,105,94
350,4,7:27.0,,Offensive charge foul by T. Young (drawn by M. Chalmers),105,94
351,4,7:27.0,Turnover by T. Young (offensive foul),,105,94
352,4,7:27.0,M. Turner enters the game for T. Young,,105,94
353,4,7:12.0,,Turnover by M. Gasol (traveling),105,94
354,4,6:59.0,V. Oladipo misses 2-pt jump shot from 10 ft,,105,94
355,4,6:59.0,,Defensive rebound by M. Gasol,105,94
356,4,6:52.0,,B. Wright makes 2-pt dunk at rim (assist by M. Chalmers),105,96
357,4,6:52.0,Indiana full timeout,,105,96
358,4,6:52.0,,C. Parsons enters the game for T. Evans,105,96
359,4,6:44.0,C. Joseph misses 2-pt jump shot from 18 ft,,105,96
360,4,6:41.0,,Defensive rebound by B. McLemore,105,96
361,4,6:21.0,,Personal foul by D. Sabonis (drawn by M. Gasol),105,96
362,4,6:21.0,D. Collison enters the game for C. Joseph,,105,96
363,4,6:11.0,,M. Chalmers makes 2-pt layup from 1 ft (assist by C. Parsons),105,98
364,4,6:00.0,Offensive foul by D. Sabonis (drawn by M. Chalmers),,105,98
365,4,6:00.0,Turnover by D. Sabonis (offensive foul),,105,98
366,4,5:48.0,,M. Gasol misses 3-pt jump shot from 25 ft,105,98
367,4,5:45.0,Defensive rebound by V. Oladipo,,105,98
368,4,5:37.0,Turnover by D. Sabonis (traveling),,105,98
369,4,5:37.0,,T. Evans enters the game for B. McLemore,105,98
370,4,5:21.0,,T. Evans misses 3-pt jump shot from 25 ft,105,98
371,4,5:18.0,,Offensive rebound by B. Wright,105,98
372,4,5:16.0,,M. Chalmers misses 3-pt jump shot from 23 ft,105,98
373,4,5:16.0,Defensive rebound by D. Sabonis,,105,98
374,4,5:09.0,V. Oladipo misses 2-pt layup at rim (block by M. Gasol),,105,98
375,4,5:09.0,,Defensive rebound by Team,105,98
376,4,5:09.0,T. Young enters the game for D. Sabonis,,105,98
