,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHICAGO_ACTION,SAN ANTONIO_SCORE,CHICAGO_SCORE
267,3,5:14.0,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. Murray),,59,51
268,3,4:53.0,,D. Valentine misses 2-pt jump shot from 19 ft,59,51
269,3,4:53.0,Defensive rebound by D. Green,,59,51
270,3,4:40.0,L. Aldridge misses 2-pt jump shot from 16 ft,,59,51
271,3,4:37.0,,Defensive rebound by L. Markkanen,59,51
272,3,4:29.0,,L. Markkanen misses 3-pt jump shot from 25 ft,59,51
273,3,4:26.0,Defensive rebound by D. Murray,,59,51
274,3,4:17.0,Shooting foul by L. Markkanen (drawn by R. Gay),,59,51
275,3,4:17.0,R. Gay misses free throw 1 of 2,,59,51
276,3,4:17.0,Offensive rebound by Team,,59,51
277,3,4:17.0,,P. Zipser enters the game for J. Grant,59,51
278,3,4:17.0,,C. Felício enters the game for L. Markkanen,59,51
279,3,4:17.0,,K. Felder enters the game for R. Lopez,59,51
280,3,4:17.0,M. Ginóbili enters the game for K. Anderson,,59,51
281,3,4:17.0,P. Mills enters the game for D. Murray,,59,51
282,3,4:17.0,R. Gay misses free throw 2 of 2,,59,51
283,3,4:14.0,,Defensive rebound by D. Valentine,59,51
284,3,4:02.0,,P. Zipser misses 3-pt jump shot from 24 ft,59,51
285,3,3:57.0,,Offensive rebound by C. Felício,59,51
286,3,3:53.0,,J. Holiday misses 3-pt jump shot from 25 ft,59,51
287,3,3:50.0,Defensive rebound by M. Ginóbili,,59,51
288,3,3:40.0,R. Gay makes 2-pt layup from 2 ft,,61,51
289,3,3:22.0,,J. Holiday misses 2-pt layup from 2 ft,61,51
290,3,3:18.0,Defensive rebound by D. Green,,61,51
291,3,3:17.0,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),,63,51
292,3,3:17.0,,Chicago full timeout,63,51
293,3,2:59.0,,J. Holiday misses 2-pt layup from 1 ft,63,51
294,3,2:59.0,,Offensive rebound by Team,63,51
295,3,2:59.0,B. Forbes enters the game for D. Green,,63,51
296,3,2:53.0,,D. Valentine makes 2-pt jump shot from 3 ft (assist by K. Felder),63,53
297,3,2:29.0,M. Ginóbili misses 3-pt jump shot from 23 ft,,63,53
298,3,2:24.0,,Defensive rebound by C. Felício,63,53
299,3,2:20.0,,K. Felder makes 2-pt jump shot from 20 ft,63,55
300,3,2:18.0,San Antonio full timeout,,63,55
301,3,2:18.0,J. Lauvergne enters the game for L. Aldridge,,63,55
302,3,2:03.0,B. Forbes misses 3-pt jump shot from 25 ft,,63,55
303,3,2:03.0,Offensive rebound by Team,,63,55
304,3,2:03.0,,Loose ball foul by C. Felício (drawn by J. Lauvergne),63,55
305,3,1:56.0,B. Forbes misses 2-pt jump shot from 17 ft,,63,55
306,3,1:50.0,Offensive rebound by B. Forbes,,63,55
307,3,1:40.0,R. Gay makes 2-pt layup from 1 ft (assist by M. Ginóbili),,65,55
308,3,1:24.0,,K. Felder misses 2-pt jump shot from 20 ft,65,55
309,3,1:19.0,Defensive rebound by J. Lauvergne,,65,55
310,3,1:13.0,Personal foul by K. Felder (drawn by P. Mills),,65,55
311,3,1:05.0,P. Mills misses 2-pt layup from 2 ft,,65,55
312,3,1:00.0,Offensive rebound by R. Gay,,65,55
313,3,1:00.0,R. Gay misses 2-pt layup at rim,,65,55
314,3,0:59.0,,Defensive rebound by P. Zipser,65,55
315,3,0:59.0,,D. Valentine misses 3-pt jump shot from 25 ft,65,55
316,3,0:59.0,Defensive rebound by J. Lauvergne,,65,55
317,3,0:34.0,R. Gay misses 2-pt layup from 2 ft,,65,55
318,3,0:31.0,,Defensive rebound by C. Felício,65,55
319,3,0:23.0,,Personal foul by P. Mills (drawn by K. Felder),65,55
320,3,0:23.0,D. Murray enters the game for P. Mills,,65,55
321,3,0:09.0,,Turnover by K. Felder (lost ball; steal by R. Gay),65,55
322,3,0:03.0,R. Gay misses 2-pt layup from 2 ft,,65,55
323,3,0:01.0,,Defensive rebound by D. Valentine,65,55
324,4,11:41.0,,L. Markkanen misses 3-pt jump shot from 24 ft,65,55
325,4,11:40.0,Defensive rebound by Team,,65,55
326,4,11:32.0,D. Murray makes 2-pt layup from 1 ft,,67,55
327,4,11:10.0,,Personal foul by M. Ginóbili (drawn by D. Nwaba),67,55
328,4,11:03.0,,K. Felder misses 2-pt jump shot from 9 ft,67,55
329,4,11:00.0,Defensive rebound by D. Murray,,67,55
330,4,10:39.0,M. Ginóbili makes 2-pt layup from 10 ft (assist by R. Gay),,69,55
331,4,10:18.0,,L. Markkanen misses 3-pt jump shot from 24 ft,69,55
332,4,10:15.0,Defensive rebound by J. Lauvergne,,69,55
333,4,10:01.0,J. Lauvergne makes 2-pt jump shot from 7 ft (assist by D. Murray),,71,55
334,4,10:01.0,,Chicago full timeout,71,55
335,4,10:01.0,,J. Grant enters the game for K. Felder,71,55
336,4,10:01.0,K. Anderson enters the game for R. Gay,,71,55
337,4,9:40.0,,J. Grant misses 2-pt jump shot from 5 ft,71,55
