,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
149,2,7:42.0,Defensive rebound by R. Jefferson,,33,47
150,2,7:30.0,Offensive foul by R. Jefferson (drawn by L. Galloway),,33,47
151,2,7:30.0,Turnover by R. Jefferson (offensive foul),,33,47
152,2,7:30.0,K. Irving enters the game for R. Jefferson,,33,47
153,2,7:22.0,Offensive charge foul by T. Evans (drawn by L. James),,33,47
154,2,7:22.0,,Turnover by T. Evans (offensive foul),33,47
155,2,7:06.0,C. Frye misses 3-pt jump shot from 25 ft,,33,47
156,2,7:06.0,,Defensive rebound by T. Evans,33,47
157,2,6:48.0,,E. Moore misses 2-pt jump shot from 8 ft (block by C. Frye),33,47
158,2,6:47.0,,Offensive rebound by E. Moore,33,47
159,2,6:45.0,,Shooting foul by C. Frye (drawn by D. Motiejūnas),33,47
160,2,6:45.0,,D. Motiejūnas makes free throw 1 of 2,33,48
161,2,6:45.0,T. Thompson enters the game for C. Frye,,33,48
162,2,6:45.0,K. Love enters the game for D. Liggins,,33,48
163,2,6:45.0,,D. Motiejūnas makes free throw 2 of 2,33,49
164,2,6:37.0,Personal foul by D. Motiejūnas (drawn by L. James),,33,49
165,2,6:37.0,,T. Jones enters the game for S. Hill,33,49
166,2,6:37.0,,J. Holiday enters the game for E. Moore,33,49
167,2,6:25.0,K. Love misses 3-pt jump shot from 24 ft,,33,49
168,2,6:24.0,Offensive rebound by L. James,,33,49
169,2,6:22.0,L. James makes 2-pt dunk at rim,,35,49
170,2,5:57.0,,T. Evans misses 3-pt jump shot from 25 ft,35,49
171,2,5:56.0,,Offensive rebound by D. Motiejūnas,35,49
172,2,5:43.0,,T. Evans misses 2-pt jump shot from 16 ft,35,49
173,2,5:42.0,,Offensive rebound by T. Jones,35,49
174,2,5:28.0,,T. Evans misses 2-pt jump shot from 4 ft,35,49
175,2,5:28.0,Defensive rebound by K. Love,,35,49
176,2,5:13.0,K. Irving makes 3-pt jump shot from 26 ft (assist by L. James),,38,49
177,2,4:47.0,,D. Motiejūnas misses 2-pt hook shot from 7 ft,38,49
178,2,4:45.0,Defensive rebound by Team,,38,49
179,2,4:45.0,,New Orleans full timeout,38,49
180,2,4:45.0,,S. Hill enters the game for T. Evans,38,49
181,2,4:40.0,L. James makes 2-pt layup from 2 ft,,40,49
182,2,4:25.0,,J. Holiday makes 2-pt jump shot from 18 ft,40,51
183,2,4:12.0,L. James makes 2-pt dunk at rim (assist by K. Love),,42,51
184,2,3:54.0,,J. Holiday makes 3-pt jump shot from 25 ft,42,54
185,2,3:37.0,K. Korver misses 3-pt jump shot from 24 ft,,42,54
186,2,3:35.0,,Defensive rebound by L. Galloway,42,54
187,2,3:27.0,,J. Holiday makes 2-pt dunk at rim,42,56
188,2,3:26.0,Cleveland full timeout,,42,56
189,2,3:26.0,I. Shumpert enters the game for K. Korver,,42,56
190,2,3:26.0,,D. Cunningham enters the game for S. Hill,42,56
191,2,3:08.0,K. Irving misses 2-pt jump shot from 7 ft,,42,56
192,2,3:05.0,,Defensive rebound by D. Cunningham,42,56
193,2,2:50.0,,T. Jones makes 3-pt jump shot from 26 ft (assist by J. Holiday),42,59
194,2,2:25.0,I. Shumpert makes 2-pt jump shot from 21 ft (assist by L. James),,44,59
195,2,2:10.0,,D. Motiejūnas makes 2-pt hook shot from 6 ft (assist by L. Galloway),44,61
196,2,1:51.0,Turnover by K. Love (lost ball; steal by D. Motiejūnas),,44,61
197,2,1:45.0,,J. Holiday makes 3-pt jump shot from 27 ft,44,64
198,2,1:23.0,K. Irving makes 2-pt layup from 2 ft,,46,64
199,2,1:06.0,,T. Jones makes 2-pt layup from 1 ft,46,66
200,2,0:51.0,L. James makes 2-pt dunk at rim (assist by K. Love),,48,66
201,2,0:46.0,,L. Galloway misses 3-pt jump shot from 24 ft,48,66
202,2,0:45.0,,Offensive rebound by D. Cunningham,48,66
203,2,0:44.0,,D. Cunningham makes 2-pt layup from 1 ft,48,68
204,2,0:28.0,K. Love misses 3-pt jump shot from 22 ft,,48,68
205,2,0:27.0,,Defensive rebound by D. Cunningham,48,68
206,2,0:07.0,,J. Holiday makes 2-pt jump shot from 23 ft,48,70
207,2,0:01.0,,T. Evans enters the game for J. Holiday,48,70
208,2,0:01.0,R. Jefferson enters the game for T. Thompson,,48,70
209,2,0:01.0,,C. Diallo enters the game for D. Motiejūnas,48,70
210,2,0:01.0,Personal foul by L. Galloway (drawn by L. James),,48,70
211,2,0:01.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,50,70
212,3,11:47.0,K. Irving makes 2-pt jump shot from 21 ft,,52,70
213,3,11:18.0,,J. Holiday misses 3-pt jump shot from 25 ft,52,70
214,3,11:17.0,Defensive rebound by T. Thompson,,52,70
215,3,10:58.0,Turnover by K. Love (lost ball; steal by J. Holiday),,52,70
