,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
282,3,1:43.0,,J. Johnson makes free throw 1 of 2,72,77
283,3,1:43.0,,J. Johnson misses free throw 2 of 2,72,77
284,3,1:43.0,,G. Dragić enters the game for D. Waiters,72,77
285,3,1:42.0,Defensive rebound by R. Hollis-Jefferson,,72,77
286,3,1:28.0,S. Kilpatrick misses 2-pt layup from 2 ft,,72,77
287,3,1:27.0,,Defensive rebound by W. Reed,72,77
288,3,1:21.0,,G. Dragić misses 2-pt jump shot from 13 ft,72,77
289,3,1:20.0,Defensive rebound by R. Hollis-Jefferson,,72,77
290,3,1:11.0,Turnover by C. LeVert (lost ball; steal by G. Dragić),,72,77
291,3,1:05.0,,W. Reed makes 2-pt layup from 3 ft (assist by J. Johnson),72,79
292,3,0:48.0,I. Whitehead makes 2-pt jump shot from 7 ft,,74,79
293,3,0:26.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by G. Dragić),74,82
294,3,0:07.0,J. Hamilton makes 3-pt jump shot from 26 ft (assist by I. Whitehead),,77,82
295,3,0:01.0,,J. Johnson makes 2-pt jump shot from 20 ft,77,84
296,3,0:00.0,I. Whitehead misses 3-pt jump shot from 60 ft,,77,84
297,3,0:00.0,Offensive rebound by Team,,77,84
298,4,11:44.0,Shooting foul by W. Reed (drawn by S. Dinwiddie),,77,84
299,4,11:44.0,S. Dinwiddie makes free throw 1 of 2,,78,84
300,4,11:44.0,S. Dinwiddie makes free throw 2 of 2,,79,84
301,4,11:21.0,,Shooting foul by R. Foye (drawn by O. White),79,84
302,4,11:21.0,,O. White makes free throw 1 of 2,79,85
303,4,11:21.0,,O. White makes free throw 2 of 2,79,86
304,4,11:15.0,Shooting foul by O. White (drawn by R. Hollis-Jefferson),,79,86
305,4,11:15.0,R. Hollis-Jefferson makes free throw 1 of 2,,80,86
306,4,11:15.0,R. Hollis-Jefferson makes free throw 2 of 2,,81,86
307,4,11:04.0,,G. Dragić misses 2-pt layup from 1 ft,81,86
308,4,10:59.0,,Offensive rebound by Team,81,86
309,4,10:53.0,,Personal foul by S. Dinwiddie (drawn by W. Ellington),81,86
310,4,10:53.0,,H. Whiteside enters the game for W. Reed,81,86
311,4,10:41.0,,Personal foul by R. Foye (drawn by T. Johnson),81,86
312,4,10:41.0,,T. Johnson makes free throw 1 of 2,81,87
313,4,10:41.0,,T. Johnson misses free throw 2 of 2,81,87
314,4,10:40.0,Defensive rebound by R. Hollis-Jefferson,,81,87
315,4,10:27.0,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,,81,87
316,4,10:26.0,Offensive rebound by R. Foye,,81,87
317,4,10:25.0,Personal foul by G. Dragić (drawn by R. Foye),,81,87
318,4,10:16.0,Turnover by R. Hollis-Jefferson (lost ball; steal by T. Johnson),,81,87
319,4,9:53.0,,H. Whiteside misses 2-pt hook shot from 8 ft,81,87
320,4,9:52.0,Defensive rebound by B. Bogdanović,,81,87
321,4,9:38.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,81,87
322,4,9:37.0,,Defensive rebound by H. Whiteside,81,87
323,4,9:26.0,,G. Dragić makes 2-pt jump shot from 9 ft,81,89
324,4,9:18.0,Shooting foul by G. Dragić (drawn by S. Dinwiddie),,81,89
325,4,9:18.0,S. Dinwiddie makes free throw 1 of 2,,82,89
326,4,9:18.0,,J. Johnson enters the game for G. Dragić,82,89
327,4,9:18.0,S. Dinwiddie makes free throw 2 of 2,,83,89
328,4,9:04.0,,Personal foul by R. Hollis-Jefferson (drawn by J. Johnson),83,89
329,4,8:57.0,Official timeout,,83,89
330,4,8:54.0,,Offensive foul by T. Johnson (drawn by S. Dinwiddie),83,89
331,4,8:54.0,,Turnover by T. Johnson (offensive foul),83,89
332,4,8:45.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,83,89
333,4,8:44.0,Offensive rebound by Team,,83,89
334,4,8:44.0,,D. Waiters enters the game for W. Ellington,83,89
335,4,8:38.0,S. Dinwiddie misses 2-pt jump shot from 8 ft,,83,89
336,4,8:37.0,,Defensive rebound by H. Whiteside,83,89
337,4,8:14.0,,O. White misses 3-pt jump shot from 24 ft,83,89
338,4,8:13.0,Defensive rebound by R. Hollis-Jefferson,,83,89
339,4,8:04.0,R. Foye makes 2-pt jump shot from 17 ft,,85,89
340,4,7:46.0,,Shooting foul by R. Hollis-Jefferson (drawn by J. Johnson),85,89
341,4,7:46.0,,J. Johnson makes free throw 1 of 2,85,90
342,4,7:46.0,T. Booker enters the game for R. Hollis-Jefferson,,85,90
343,4,7:46.0,B. Lopez enters the game for J. Hamilton,,85,90
344,4,7:46.0,,J. Johnson makes free throw 2 of 2,85,91
345,4,7:27.0,R. Foye misses 3-pt jump shot from 24 ft,,85,91
346,4,7:26.0,,Defensive rebound by Team,85,91
347,4,7:17.0,,D. Waiters misses 2-pt layup from 2 ft (block by B. Lopez),85,91
348,4,7:16.0,Defensive rebound by T. Booker,,85,91
349,4,7:03.0,Shooting foul by H. Whiteside (drawn by B. Lopez),,85,91
350,4,7:03.0,B. Lopez misses free throw 1 of 2,,85,91
351,4,7:03.0,Offensive rebound by Team,,85,91
352,4,7:03.0,B. Lopez misses free throw 2 of 2,,85,91
353,4,7:02.0,,Defensive rebound by H. Whiteside,85,91
354,4,6:42.0,,T. Johnson makes 2-pt layup from 1 ft (assist by J. Johnson),85,93
355,4,6:28.0,Shooting foul by H. Whiteside (drawn by B. Lopez),,85,93
356,4,6:28.0,B. Lopez makes free throw 1 of 2,,86,93
357,4,6:28.0,B. Lopez makes free throw 2 of 2,,87,93
358,4,6:12.0,,T. Johnson misses 3-pt jump shot from 25 ft,87,93
359,4,6:11.0,Defensive rebound by T. Booker,,87,93
