,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
234,2,0:09.0,T. Satoranský enters the game for O. Porter,,53,58
235,2,0:09.0,,A. Morrow enters the game for A. Roberson,53,58
236,2,0:02.0,,R. Westbrook makes 2-pt dunk at rim,53,60
237,3,11:43.0,,S. Adams misses 2-pt hook shot from 5 ft,53,60
238,3,11:43.0,Defensive rebound by M. Gortat,,53,60
239,3,11:21.0,M. Morris makes 2-pt jump shot from 7 ft,,55,60
240,3,11:09.0,,V. Oladipo misses 2-pt jump shot from 19 ft,55,60
241,3,11:09.0,Defensive rebound by M. Gortat,,55,60
242,3,10:58.0,Personal foul by A. Roberson (drawn by B. Beal),,55,60
243,3,10:43.0,J. Wall misses 3-pt jump shot from 27 ft,,55,60
244,3,10:42.0,,Defensive rebound by A. Roberson,55,60
245,3,10:23.0,Violation by O. Porter (kicked ball),,55,60
246,3,10:14.0,,R. Westbrook makes 2-pt jump shot from 12 ft (assist by V. Oladipo),55,62
247,3,10:06.0,B. Beal misses 2-pt layup from 1 ft,,55,62
248,3,10:06.0,,Defensive rebound by S. Adams,55,62
249,3,9:57.0,,R. Westbrook misses 2-pt jump shot from 11 ft,55,62
250,3,9:56.0,,Offensive rebound by S. Adams,55,62
251,3,9:55.0,,S. Adams makes 2-pt layup from 2 ft,55,64
252,3,9:37.0,O. Porter makes 2-pt jump shot from 5 ft (assist by J. Wall),,57,64
253,3,9:19.0,,R. Westbrook misses 2-pt layup from 2 ft,57,64
254,3,9:18.0,,Offensive rebound by S. Adams,57,64
255,3,9:06.0,,A. Roberson misses 2-pt jump shot from 16 ft,57,64
256,3,9:06.0,,Offensive rebound by Team,57,64
257,3,9:06.0,,Turnover by Team (shot clock),57,64
258,3,8:47.0,Shooting foul by D. Sabonis (drawn by M. Morris),,57,64
259,3,8:47.0,M. Morris makes free throw 1 of 2,,58,64
260,3,8:47.0,M. Morris makes free throw 2 of 2,,59,64
261,3,8:34.0,,A. Roberson makes 3-pt jump shot from 23 ft (assist by V. Oladipo),59,67
262,3,8:22.0,Turnover by B. Beal (bad pass; steal by D. Sabonis),,59,67
263,3,8:02.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by R. Westbrook),59,69
264,3,7:41.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,62,69
265,3,7:15.0,,V. Oladipo makes 3-pt jump shot from 26 ft,62,72
266,3,6:58.0,M. Gortat misses 2-pt dunk at rim (block by D. Sabonis),,62,72
267,3,6:57.0,,Defensive rebound by R. Westbrook,62,72
268,3,6:50.0,,S. Adams makes 2-pt dunk at rim (assist by V. Oladipo),62,74
269,3,6:50.0,Washington full timeout,,62,74
270,3,6:35.0,M. Morris misses 2-pt jump shot from 16 ft,,62,74
271,3,6:34.0,,Defensive rebound by R. Westbrook,62,74
272,3,6:14.0,,A. Roberson misses 3-pt jump shot from 24 ft,62,74
273,3,6:14.0,Defensive rebound by O. Porter,,62,74
274,3,6:03.0,B. Beal misses 2-pt jump shot from 7 ft,,62,74
275,3,6:02.0,Offensive rebound by M. Morris,,62,74
276,3,5:54.0,Personal foul by A. Roberson (drawn by B. Beal),,62,74
277,3,5:54.0,K. Oubre enters the game for M. Morris,,62,74
278,3,5:48.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,64,74
279,3,5:48.0,Shooting foul by A. Roberson (drawn by B. Beal),,64,74
280,3,5:48.0,B. Beal makes free throw 1 of 1,,65,74
281,3,5:37.0,,Personal foul by O. Porter (drawn by D. Sabonis),65,74
282,3,5:37.0,,A. Morrow enters the game for A. Roberson,65,74
283,3,5:37.0,,J. Grant enters the game for V. Oladipo,65,74
284,3,5:29.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),65,76
285,3,5:14.0,M. Gortat makes 2-pt jump shot from 11 ft,,67,76
286,3,5:00.0,,A. Morrow misses 3-pt jump shot from 23 ft,67,76
287,3,5:00.0,Defensive rebound by O. Porter,,67,76
288,3,4:50.0,O. Porter misses 2-pt jump shot from 17 ft,,67,76
289,3,4:49.0,,Defensive rebound by Team,67,76
290,3,4:34.0,,R. Westbrook misses 2-pt jump shot from 13 ft,67,76
291,3,4:33.0,Defensive rebound by K. Oubre,,67,76
292,3,4:21.0,K. Oubre makes 2-pt layup from 2 ft (assist by O. Porter),,69,76
293,3,4:16.0,,Shooting block foul by J. Wall (drawn by R. Westbrook),69,76
294,3,4:16.0,,R. Westbrook makes free throw 1 of 2,69,77
295,3,4:16.0,,E. Freedom enters the game for D. Sabonis,69,77
296,3,4:16.0,,R. Westbrook makes free throw 2 of 2,69,78
297,3,4:04.0,J. Wall makes 2-pt dunk at rim,,71,78
298,3,3:42.0,,Shooting foul by M. Gortat (drawn by J. Grant),71,78
299,3,3:42.0,Technical foul by M. Morris,,71,78
300,3,3:42.0,,R. Westbrook makes technical free throw,71,79
301,3,3:42.0,,J. Grant misses free throw 1 of 2,71,79
302,3,3:42.0,,Offensive rebound by Team,71,79
303,3,3:42.0,,J. Grant misses free throw 2 of 2,71,79
304,3,3:41.0,Defensive rebound by M. Gortat,,71,79
305,3,3:21.0,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),,74,79
306,3,3:08.0,,R. Westbrook misses 2-pt layup from 1 ft,74,79
307,3,3:07.0,Defensive rebound by B. Beal,,74,79
308,3,2:57.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,76,79
309,3,2:57.0,,Oklahoma City full timeout,76,79
310,3,2:57.0,,V. Oladipo enters the game for S. Adams,76,79
311,3,2:45.0,,A. Morrow misses 3-pt jump shot from 23 ft,76,79
312,3,2:44.0,Defensive rebound by J. Wall,,76,79
313,3,2:40.0,O. Porter makes 2-pt dunk at rim (assist by B. Beal),,78,79
314,3,2:23.0,,E. Freedom misses 2-pt layup from 2 ft (block by M. Gortat),78,79
315,3,2:22.0,Defensive rebound by K. Oubre,,78,79
