,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
400,4,2:14.0,,D. Rudež enters the game for J. Meeks,106,89
401,4,2:14.0,,C. Watson enters the game for E. Fournier,106,89
402,4,2:14.0,,M. Hezonja enters the game for N. Vučević,106,89
403,4,2:14.0,D. Bembry enters the game for P. Millsap,,106,89
404,4,2:14.0,K. Humphries enters the game for D. Schröder,,106,89
405,4,2:01.0,K. Humphries misses 3-pt jump shot from 26 ft,,106,89
406,4,2:01.0,,Defensive rebound by Team,106,89
407,4,1:44.0,,D. Rudež misses 3-pt jump shot from 23 ft,106,89
408,4,1:43.0,Defensive rebound by T. Sefolosha,,106,89
409,4,1:22.0,T. Hardaway misses 3-pt jump shot from 26 ft,,106,89
410,4,1:21.0,,Defensive rebound by D. Rudež,106,89
411,4,1:15.0,,C. Watson misses 3-pt jump shot from 23 ft,106,89
412,4,1:14.0,Defensive rebound by T. Hardaway,,106,89
413,4,1:00.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,109,89
414,4,0:50.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by C. Watson),109,92
415,4,0:26.0,K. Humphries makes 2-pt jump shot from 20 ft,,111,92
416,4,0:08.0,,M. Hezonja misses 3-pt jump shot from 23 ft,111,92
417,4,0:07.0,Defensive rebound by D. Bembry,,111,92
