,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
321,4,8:29.0,,Personal foul by S. Johnson (drawn by K. Porziņģis),80,87
322,4,8:29.0,Official timeout,,80,87
323,4,8:22.0,,J. Holiday makes 2-pt jump shot from 22 ft (assist by K. Porziņģis),80,89
324,4,8:03.0,B. Udrih misses 3-pt jump shot from 24 ft,,80,89
325,4,8:03.0,,Defensive rebound by K. O'Quinn,80,89
326,4,7:42.0,,J. Holiday makes 2-pt layup from 1 ft (assist by B. Jennings),80,91
327,4,7:27.0,Def 3 sec tech foul by M. Ndour,,80,91
328,4,7:27.0,B. Udrih makes technical free throw,,81,91
329,4,7:27.0,I. Smith enters the game for B. Udrih,,81,91
330,4,7:27.0,K. Caldwell-Pope enters the game for S. Johnson,,81,91
331,4,7:27.0,,C. Lee enters the game for M. Ndour,81,91
332,4,7:17.0,Shooting foul by K. Porziņģis (drawn by A. Drummond),,81,91
333,4,7:17.0,A. Drummond makes free throw 1 of 2,,82,91
334,4,7:17.0,A. Drummond misses free throw 2 of 2,,82,91
335,4,7:17.0,,C. Anthony enters the game for K. O'Quinn,82,91
336,4,7:16.0,,Defensive rebound by J. Holiday,82,91
337,4,7:00.0,,J. Holiday misses 2-pt jump shot from 11 ft,82,91
338,4,7:00.0,,Offensive rebound by J. Holiday,82,91
339,4,6:56.0,,C. Anthony makes 3-pt jump shot from 26 ft (assist by B. Jennings),82,94
340,4,6:53.0,Detroit full timeout,,82,94
341,4,6:53.0,M. Morris enters the game for A. Drummond,,82,94
342,4,6:37.0,M. Morris makes 3-pt jump shot from 25 ft (assist by I. Smith),,85,94
343,4,6:22.0,,Turnover by C. Anthony (bad pass; steal by I. Smith),85,94
344,4,6:16.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by I. Smith),,87,94
345,4,5:49.0,,Turnover by C. Anthony (lost ball; steal by J. Leuer),87,94
346,4,5:45.0,Shooting foul by J. Holiday (drawn by T. Harris),,87,94
347,4,5:45.0,T. Harris makes free throw 1 of 2,,88,94
348,4,5:45.0,,D. Rose enters the game for J. Holiday,88,94
349,4,5:45.0,T. Harris makes free throw 2 of 2,,89,94
350,4,5:39.0,,B. Jennings misses 3-pt jump shot from 25 ft,89,94
351,4,5:39.0,Defensive rebound by T. Harris,,89,94
352,4,5:35.0,Turnover by I. Smith (lost ball; steal by B. Jennings),,89,94
353,4,5:16.0,,C. Anthony makes 2-pt jump shot from 19 ft,89,96
354,4,4:58.0,Turnover by J. Leuer (lost ball; steal by C. Lee),,89,96
355,4,4:45.0,,Flagrant foul type 1 by M. Morris (drawn by K. Porziņģis),89,96
356,4,4:45.0,,K. Porziņģis misses flagrant free throw 1 of 2,89,96
357,4,4:45.0,,Offensive rebound by Team,89,96
358,4,4:45.0,,K. Porziņģis makes flagrant free throw 2 of 2,89,97
359,4,4:33.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by B. Jennings),89,100
360,4,4:09.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft (block by D. Rose),,89,100
361,4,4:09.0,Offensive rebound by J. Leuer,,89,100
362,4,4:09.0,J. Leuer makes 2-pt layup from 1 ft,,91,100
363,4,4:09.0,Shooting foul by C. Lee (drawn by J. Leuer),,91,100
364,4,4:09.0,J. Leuer makes free throw 1 of 1,,92,100
365,4,3:51.0,,C. Lee misses 3-pt jump shot from 22 ft,92,100
366,4,3:50.0,Defensive rebound by K. Caldwell-Pope,,92,100
367,4,3:39.0,J. Leuer misses 2-pt layup from 1 ft (block by K. Porziņģis),,92,100
368,4,3:39.0,,Defensive rebound by D. Rose,92,100
369,4,3:15.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,92,100
370,4,3:15.0,Defensive rebound by J. Leuer,,92,100
