,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
233,3,9:47.0,,D. Nowitzki makes 3-pt jump shot from 22 ft (assist by W. Matthews),67,60
234,3,9:30.0,Personal foul by W. Matthews (drawn by M. Plumlee),,67,60
235,3,9:22.0,C. McCollum makes 3-pt jump shot from 24 ft,,70,60
236,3,9:04.0,,Personal foul by C. McCollum (drawn by W. Matthews),70,60
237,3,8:49.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by S. Curry),70,63
238,3,8:44.0,Personal take foul by D. Nowitzki (drawn by E. Turner),,70,63
239,3,8:44.0,,D. Harris enters the game for S. Curry,70,63
240,3,8:37.0,Turnover by E. Turner (palming),,70,63
241,3,8:29.0,,Y. Ferrell makes 2-pt jump shot from 9 ft,70,65
242,3,8:16.0,D. Lillard makes 3-pt jump shot from 26 ft,,73,65
243,3,7:58.0,,D. Harris misses 2-pt layup from 1 ft,73,65
244,3,7:57.0,Defensive rebound by E. Turner,,73,65
245,3,7:50.0,Offensive foul by M. Plumlee (drawn by D. Harris),,73,65
246,3,7:50.0,Turnover by M. Plumlee (offensive foul),,73,65
247,3,7:50.0,A. Aminu enters the game for M. Plumlee,,73,65
248,3,7:36.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Harris),73,68
249,3,7:35.0,Portland full timeout,,73,68
250,3,7:23.0,Personal foul by D. Harris (drawn by N. Vonleh),,73,68
251,3,7:14.0,E. Turner misses 3-pt jump shot from 25 ft,,73,68
252,3,7:13.0,,Defensive rebound by D. Harris,73,68
253,3,6:59.0,,W. Matthews makes 2-pt jump shot from 14 ft,73,70
254,3,6:41.0,C. McCollum misses 2-pt jump shot from 18 ft,,73,70
255,3,6:40.0,,Defensive rebound by D. Nowitzki,73,70
256,3,6:29.0,,W. Matthews misses 3-pt jump shot from 23 ft,73,70
257,3,6:28.0,Defensive rebound by A. Aminu,,73,70
258,3,6:19.0,D. Lillard misses 3-pt jump shot from 25 ft,,73,70
259,3,6:18.0,,Defensive rebound by D. Nowitzki,73,70
260,3,5:59.0,,D. Nowitzki makes 2-pt jump shot from 11 ft,73,72
261,3,5:35.0,C. McCollum makes 2-pt layup from 1 ft,,75,72
262,3,5:14.0,,Turnover by W. Matthews (lost ball; steal by D. Lillard),75,72
263,3,5:08.0,A. Aminu makes 2-pt layup from 1 ft (assist by E. Turner),,77,72
264,3,5:08.0,,Dallas full timeout,77,72
265,3,5:08.0,,S. Curry enters the game for D. Nowitzki,77,72
266,3,5:08.0,,S. Mejri enters the game for Y. Ferrell,77,72
267,3,5:08.0,E. Davis enters the game for E. Turner,,77,72
268,3,5:08.0,A. Crabbe enters the game for C. McCollum,,77,72
269,3,5:08.0,M. Harkless enters the game for A. Aminu,,77,72
270,3,4:51.0,,W. Matthews makes 2-pt jump shot from 8 ft,77,74
271,3,4:37.0,Personal foul by S. Curry (drawn by A. Crabbe),,77,74
272,3,4:37.0,A. Crabbe makes free throw 1 of 2,,78,74
273,3,4:37.0,A. Crabbe makes free throw 2 of 2,,79,74
274,3,4:20.0,,H. Barnes misses 2-pt jump shot from 18 ft,79,74
275,3,4:19.0,Defensive rebound by N. Vonleh,,79,74
276,3,4:05.0,Turnover by N. Vonleh (3 sec),,79,74
277,3,3:47.0,,H. Barnes misses 2-pt jump shot from 12 ft,79,74
278,3,3:46.0,Defensive rebound by N. Vonleh,,79,74
279,3,3:40.0,Turnover by N. Vonleh (offensive foul),,79,74
280,3,3:40.0,Offensive foul by N. Vonleh (drawn by D. Harris),,79,74
281,3,3:28.0,,Personal foul by A. Crabbe (drawn by S. Curry),79,74
282,3,3:22.0,,Shooting foul by N. Vonleh (drawn by S. Mejri),79,74
283,3,3:22.0,,S. Mejri makes free throw 1 of 2,79,75
284,3,3:22.0,,S. Mejri makes free throw 2 of 2,79,76
285,3,3:01.0,M. Harkless misses 3-pt jump shot from 23 ft,,79,76
286,3,3:00.0,Offensive rebound by D. Lillard,,79,76
287,3,2:51.0,E. Davis makes 2-pt dunk at rim (assist by D. Lillard),,81,76
288,3,2:32.0,,W. Matthews makes 2-pt layup from 2 ft,81,78
289,3,2:15.0,A. Crabbe misses 3-pt jump shot from 25 ft,,81,78
290,3,2:14.0,,Defensive rebound by W. Matthews,81,78
291,3,2:07.0,,Shooting foul by D. Lillard (drawn by D. Harris),81,78
292,3,2:07.0,,D. Harris misses free throw 1 of 2,81,78
293,3,2:07.0,,Offensive rebound by Team,81,78
294,3,2:07.0,,D. Harris misses free throw 2 of 2,81,78
295,3,2:07.0,A. Aminu enters the game for N. Vonleh,,81,78
296,3,2:07.0,C. McCollum enters the game for D. Lillard,,81,78
