,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
361,4,6:13.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,88,77
362,4,6:04.0,,Personal foul by Z. Randolph (drawn by R. Jackson),88,77
363,4,6:04.0,,R. Jackson makes free throw 1 of 2,88,78
364,4,6:04.0,J. Green enters the game for Z. Randolph,,88,78
365,4,6:04.0,,R. Jackson makes free throw 2 of 2,88,79
366,4,5:48.0,T. Daniels misses 3-pt jump shot from 26 ft,,88,79
367,4,5:48.0,Offensive rebound by J. Green,,88,79
368,4,5:40.0,J. Green misses 2-pt layup from 1 ft,,88,79
369,4,5:39.0,,Defensive rebound by T. Harris,88,79
370,4,5:28.0,,R. Jackson makes 2-pt jump shot from 15 ft,88,81
371,4,5:12.0,T. Daniels makes 3-pt jump shot from 26 ft (assist by M. Conley),,91,81
372,4,4:54.0,,M. Morris misses 3-pt jump shot from 23 ft,91,81
373,4,4:54.0,Defensive rebound by M. Conley,,91,81
374,4,4:40.0,Personal foul by A. Drummond (drawn by M. Gasol),,91,81
375,4,4:40.0,Official timeout,,91,81
376,4,4:40.0,J. Ennis enters the game for T. Allen,,91,81
377,4,4:38.0,Offensive foul by M. Conley (drawn by R. Jackson),,91,81
378,4,4:38.0,Turnover by M. Conley (offensive foul),,91,81
379,4,4:26.0,,Personal foul by M. Conley (drawn by M. Morris),91,81
380,4,4:26.0,,M. Morris misses free throw 1 of 2,91,81
381,4,4:26.0,,Offensive rebound by Team,91,81
382,4,4:26.0,,M. Morris misses free throw 2 of 2,91,81
383,4,4:26.0,Defensive rebound by J. Ennis,,91,81
