,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
262,3,4:25.0,Shooting foul by K. Séraphin (drawn by K. Middleton),,66,76
263,3,4:25.0,K. Middleton makes free throw 1 of 1,,67,76
264,3,4:11.0,,K. Séraphin makes 2-pt layup from 2 ft (assist by J. Teague),67,78
265,3,4:11.0,,Shooting foul by K. Middleton (drawn by K. Séraphin),67,78
266,3,4:11.0,,K. Séraphin makes free throw 1 of 1,67,79
267,3,3:52.0,T. Snell misses 2-pt layup from 4 ft,,67,79
268,3,3:51.0,,Defensive rebound by P. George,67,79
269,3,3:44.0,,P. George makes 2-pt jump shot from 19 ft,67,81
270,3,3:27.0,Turnover by G. Monroe (lost ball; steal by P. George),,67,81
271,3,3:17.0,,T. Young misses 2-pt layup from 1 ft (block by G. Antetokounmpo),67,81
272,3,3:16.0,,Offensive rebound by M. Ellis,67,81
273,3,3:03.0,,J. Teague makes 2-pt jump shot from 21 ft,67,83
274,3,2:39.0,Personal foul by M. Ellis (drawn by K. Middleton),,67,83
275,3,2:39.0,,Indiana full timeout,67,83
276,3,2:39.0,M. Teletović enters the game for G. Monroe,,67,83
277,3,2:39.0,,C. Miles enters the game for T. Young,67,83
278,3,2:32.0,T. Snell misses 2-pt jump shot from 19 ft,,67,83
279,3,2:31.0,,Defensive rebound by K. Séraphin,67,83
280,3,2:21.0,,Turnover by M. Ellis (bad pass),67,83
281,3,2:05.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft (block by K. Séraphin),,67,83
282,3,2:03.0,,Defensive rebound by J. Teague,67,83
283,3,1:57.0,,P. George misses 3-pt jump shot from 24 ft,67,83
284,3,1:56.0,Defensive rebound by M. Teletović,,67,83
285,3,1:46.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by K. Middleton),,70,83
286,3,1:25.0,,M. Ellis misses 3-pt jump shot from 25 ft,70,83
287,3,1:24.0,Defensive rebound by G. Antetokounmpo,,70,83
288,3,1:13.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,73,83
289,3,0:49.0,,M. Ellis misses 3-pt jump shot from 24 ft,73,83
290,3,0:48.0,Defensive rebound by K. Middleton,,73,83
291,3,0:42.0,Turnover by G. Antetokounmpo (lost ball; steal by P. George),,73,83
292,3,0:40.0,,Personal foul by K. Middleton (drawn by P. George),73,83
293,3,0:40.0,,L. Stephenson enters the game for M. Ellis,73,83
294,3,0:19.0,,J. Teague makes 2-pt jump shot from 7 ft,73,85
295,3,0:00.0,K. Middleton misses 2-pt jump shot from 16 ft,,73,85
296,3,0:00.0,Offensive rebound by Team,,73,85
297,4,11:45.0,,C. Miles misses 3-pt jump shot from 26 ft,73,85
298,4,11:44.0,,Offensive rebound by C. Miles,73,85
299,4,11:30.0,,C. Miles misses 3-pt jump shot from 24 ft,73,85
300,4,11:28.0,Defensive rebound by K. Middleton,,73,85
301,4,11:19.0,Shooting foul by T. Young (drawn by G. Antetokounmpo),,73,85
302,4,11:19.0,G. Antetokounmpo makes free throw 1 of 2,,74,85
303,4,11:19.0,G. Antetokounmpo makes free throw 2 of 2,,75,85
304,4,11:01.0,,T. Young misses 2-pt hook shot from 12 ft,75,85
305,4,11:01.0,,Offensive rebound by K. Séraphin,75,85
306,4,11:01.0,Loose ball foul by G. Antetokounmpo (drawn by K. Séraphin),,75,85
307,4,10:52.0,,Turnover by A. Brooks (bad pass; steal by M. Teletović),75,85
308,4,10:43.0,M. Teletović misses 3-pt jump shot from 26 ft,,75,85
309,4,10:42.0,,Defensive rebound by L. Stephenson,75,85
310,4,10:37.0,,T. Young makes 2-pt layup from 2 ft (assist by L. Stephenson),75,87
311,4,10:14.0,J. Terry makes 2-pt jump shot from 6 ft,,77,87
312,4,9:57.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by K. Séraphin),77,90
313,4,9:36.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,77,90
314,4,9:35.0,,Defensive rebound by A. Brooks,77,90
315,4,9:25.0,,Personal foul by M. Teletović (drawn by K. Séraphin),77,90
316,4,9:10.0,,C. Miles misses 2-pt jump shot from 21 ft,77,90
317,4,9:08.0,,Offensive rebound by T. Young,77,90
318,4,9:07.0,,T. Young misses 2-pt layup from 2 ft,77,90
319,4,9:06.0,,Offensive rebound by T. Young,77,90
320,4,8:49.0,,K. Séraphin makes 2-pt jump shot from 6 ft,77,92
321,4,8:34.0,K. Middleton misses 2-pt jump shot from 5 ft,,77,92
322,4,8:33.0,,Defensive rebound by T. Young,77,92
323,4,8:25.0,,Turnover by L. Stephenson (bad pass),77,92
324,4,8:25.0,Official timeout,,77,92
325,4,8:07.0,M. Teletović makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,80,92
326,4,7:44.0,,Shooting foul by J. Terry (drawn by L. Stephenson),80,92
327,4,7:44.0,,L. Stephenson makes free throw 1 of 2,80,93
328,4,7:44.0,,M. Turner enters the game for K. Séraphin,80,93
329,4,7:44.0,,P. George enters the game for C. Miles,80,93
330,4,7:44.0,,L. Stephenson makes free throw 2 of 2,80,94
331,4,7:25.0,Turnover by G. Antetokounmpo (traveling),,80,94
332,4,7:08.0,,L. Stephenson misses 2-pt jump shot from 16 ft,80,94
333,4,7:07.0,Defensive rebound by G. Antetokounmpo,,80,94
334,4,7:01.0,M. Teletović misses 3-pt jump shot from 27 ft,,80,94
335,4,7:01.0,,Defensive rebound by P. George,80,94
336,4,6:45.0,,T. Young misses 2-pt jump shot from 3 ft,80,94
337,4,6:43.0,Defensive rebound by M. Teletović,,80,94
338,4,6:39.0,,Offensive charge foul by K. Middleton (drawn by A. Brooks),80,94
339,4,6:39.0,Turnover by K. Middleton (offensive foul),,80,94
340,4,6:23.0,,A. Brooks makes 2-pt jump shot from 14 ft,80,96
341,4,6:08.0,,Offensive charge foul by K. Middleton (drawn by A. Brooks),80,96
342,4,6:08.0,Turnover by K. Middleton (offensive foul),,80,96
343,4,6:08.0,T. Snell enters the game for K. Middleton,,80,96
344,4,5:54.0,,Shooting foul by T. Snell (drawn by P. George),80,96
345,4,5:54.0,,Indiana full timeout,80,96
346,4,5:54.0,,P. George misses free throw 1 of 2,80,96
347,4,5:54.0,,Offensive rebound by Team,80,96
348,4,5:54.0,G. Payton enters the game for G. Antetokounmpo,,80,96
349,4,5:54.0,M. Beasley enters the game for T. Snell,,80,96
350,4,5:54.0,S. Hawes enters the game for J. Terry,,80,96
351,4,5:54.0,,P. George makes free throw 2 of 2,80,97
352,4,5:44.0,Personal foul by P. George (drawn by M. Teletović),,80,97
353,4,5:35.0,G. Payton misses 3-pt jump shot from 25 ft,,80,97
354,4,5:35.0,,Defensive rebound by T. Young,80,97
355,4,5:21.0,,T. Young misses 2-pt layup from 2 ft,80,97
356,4,5:20.0,Defensive rebound by S. Hawes,,80,97
357,4,5:13.0,Turnover by M. Beasley (bad pass),,80,97
