,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
288,3,5:15.0,J. Harris misses 2-pt jump shot from 16 ft,,65,82
289,3,5:14.0,,Defensive rebound by M. Plumlee,65,82
290,3,5:02.0,,D. Arthur misses 3-pt jump shot from 24 ft,65,82
291,3,5:01.0,Defensive rebound by R. Hollis-Jefferson,,65,82
292,3,4:54.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,65,82
293,3,4:53.0,,Defensive rebound by M. Plumlee,65,82
294,3,4:34.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by W. Barton),65,85
295,3,4:20.0,S. Kilpatrick misses 2-pt jump shot from 5 ft,,65,85
296,3,4:19.0,,Defensive rebound by W. Barton,65,85
297,3,4:18.0,,Personal foul by R. Hollis-Jefferson (drawn by W. Barton),65,85
298,3,4:18.0,,W. Barton makes free throw 1 of 2,65,86
299,3,4:18.0,,W. Barton misses free throw 2 of 2,65,86
300,3,4:17.0,Defensive rebound by R. Hollis-Jefferson,,65,86
301,3,4:06.0,J. Harris makes 3-pt jump shot from 22 ft (assist by B. Lopez),,68,86
302,3,3:47.0,,D. Gallinari makes 2-pt layup from 1 ft,68,88
303,3,3:43.0,Personal foul by J. Nelson (drawn by B. Lopez),,68,88
304,3,3:37.0,J. Harris misses 2-pt jump shot from 17 ft,,68,88
305,3,3:36.0,,Defensive rebound by D. Gallinari,68,88
306,3,3:30.0,,Loose ball foul by W. Barton (drawn by S. Dinwiddie),68,88
307,3,3:30.0,,Turnover by W. Barton (offensive foul),68,88
308,3,3:30.0,S. Dinwiddie misses free throw 1 of 2,,68,88
309,3,3:30.0,Offensive rebound by Team,,68,88
310,3,3:30.0,T. Booker enters the game for R. Hollis-Jefferson,,68,88
311,3,3:30.0,J. Hamilton enters the game for B. Lopez,,68,88
312,3,3:30.0,,W. Chandler enters the game for D. Gallinari,68,88
313,3,3:30.0,S. Dinwiddie makes free throw 2 of 2,,69,88
314,3,3:15.0,,M. Plumlee misses 2-pt dunk at rim,69,88
315,3,3:14.0,Defensive rebound by J. Harris,,69,88
316,3,3:13.0,Personal foul by W. Chandler (drawn by J. Harris),,69,88
317,3,3:13.0,J. Harris misses free throw 1 of 2,,69,88
318,3,3:13.0,Offensive rebound by Team,,69,88
319,3,3:13.0,J. Harris makes free throw 2 of 2,,70,88
320,3,3:04.0,,Personal foul by J. Hamilton (drawn by M. Plumlee),70,88
321,3,3:04.0,,M. Plumlee makes free throw 1 of 2,70,89
322,3,3:04.0,,M. Plumlee makes free throw 2 of 2,70,90
323,3,2:54.0,Shooting foul by W. Barton (drawn by S. Kilpatrick),,70,90
324,3,2:54.0,,Denver full timeout,70,90
325,3,2:54.0,S. Kilpatrick makes free throw 1 of 2,,71,90
326,3,2:54.0,,J. Murray enters the game for J. Nelson,70,90
327,3,2:54.0,S. Kilpatrick misses free throw 2 of 2,,71,90
328,3,2:49.0,,Defensive rebound by J. Murray,71,90
329,3,2:30.0,,W. Chandler makes 2-pt layup from 2 ft,71,92
330,3,2:15.0,J. Hamilton misses 3-pt jump shot from 25 ft,,71,92
331,3,2:14.0,,Defensive rebound by J. Murray,71,92
332,3,2:03.0,,W. Chandler makes 2-pt jump shot from 15 ft,71,94
333,3,1:46.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,71,94
334,3,1:45.0,,Defensive rebound by M. Plumlee,71,94
335,3,1:32.0,,M. Plumlee makes 2-pt layup from 2 ft,71,96
336,3,1:24.0,J. Harris misses 3-pt jump shot from 23 ft,,71,96
337,3,1:23.0,Offensive rebound by J. Harris,,71,96
338,3,1:20.0,Shooting foul by M. Plumlee (drawn by S. Kilpatrick),,71,96
339,3,1:20.0,S. Kilpatrick makes free throw 1 of 2,,72,96
