,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
364,4,11:11.0,,Defensive rebound by H. Thompson,75,94
365,4,11:00.0,,Turnover by N. Stauskas (lost ball; steal by D. Booker),75,94
366,4,10:59.0,D. Booker misses 2-pt layup from 2 ft (block by N. Stauskas),,75,94
367,4,10:58.0,Offensive rebound by Team,,75,94
368,4,10:55.0,D. Booker misses 2-pt jump shot from 20 ft,,75,94
369,4,10:54.0,,Defensive rebound by D. Šarić,75,94
370,4,10:41.0,,J. Embiid misses 2-pt jump shot from 12 ft (block by A. Len),75,94
371,4,10:39.0,,Offensive rebound by H. Thompson,75,94
372,4,10:36.0,,J. Embiid misses 2-pt jump shot from 23 ft,75,94
373,4,10:35.0,Defensive rebound by E. Bledsoe,,75,94
