,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
207,2,1:53.0,,Offensive rebound by A. Davis,61,51
208,2,1:52.0,,T. Jones misses 3-pt jump shot from 24 ft,61,51
209,2,1:51.0,,Offensive rebound by D. Cunningham,61,51
210,2,1:38.0,,A. Davis makes 2-pt jump shot from 19 ft,61,53
211,2,1:15.0,Turnover by B. Lopez (step out of bounds),,61,53
212,2,1:15.0,,T. Evans enters the game for S. Hill,61,53
213,2,1:03.0,,A. Davis misses 2-pt layup from 3 ft,61,53
214,2,1:03.0,Defensive rebound by B. Lopez,,61,53
215,2,0:53.0,C. LeVert makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,63,53
216,2,0:42.0,,A. Davis misses 3-pt jump shot from 26 ft,63,53
217,2,0:41.0,Defensive rebound by S. Dinwiddie,,63,53
218,2,0:35.0,C. LeVert makes 3-pt jump shot from 24 ft,,66,53
219,2,0:22.0,,T. Evans misses 3-pt jump shot from 27 ft,66,53
220,2,0:21.0,Defensive rebound by C. LeVert,,66,53
221,2,0:08.0,,S. Hill enters the game for A. Davis,66,53
222,2,0:04.0,Turnover by C. LeVert (lost ball; steal by T. Evans),,66,53
223,2,0:00.0,,Shooting foul by S. Dinwiddie (drawn by J. Holiday),66,53
224,2,0:00.0,,J. Holiday makes free throw 1 of 2,66,54
225,2,0:00.0,,J. Holiday misses free throw 2 of 2,66,54
226,2,0:00.0,,Offensive rebound by T. Jones,66,54
227,3,11:43.0,J. Harris makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,69,54
228,3,11:26.0,,Turnover by A. Davis (lost ball),69,54
229,3,11:16.0,Personal foul by B. Hield (drawn by J. Harris),,69,54
230,3,11:07.0,B. Lopez makes 2-pt hook shot from 8 ft,,71,54
231,3,10:51.0,,A. Davis misses 2-pt jump shot from 14 ft,71,54
232,3,10:50.0,Defensive rebound by B. Lopez,,71,54
233,3,10:39.0,B. Lopez makes 2-pt layup from 2 ft,,73,54
234,3,10:31.0,,New Orleans full timeout,73,54
235,3,10:17.0,,D. Cunningham misses 3-pt jump shot from 24 ft,73,54
236,3,10:17.0,Defensive rebound by B. Bogdanović,,73,54
237,3,10:06.0,B. Bogdanović misses 2-pt layup from 2 ft,,73,54
238,3,10:05.0,,Defensive rebound by A. Davis,73,54
239,3,9:59.0,,S. Hill makes 2-pt layup from 1 ft,73,56
240,3,9:36.0,Personal foul by A. Davis (drawn by B. Lopez),,73,56
241,3,9:32.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by B. Lopez),,76,56
242,3,9:16.0,,D. Cunningham makes 3-pt jump shot from 25 ft (assist by J. Holiday),76,59
243,3,9:08.0,,Violation by J. Holiday (kicked ball),76,59
244,3,9:08.0,,T. Jones enters the game for B. Hield,76,59
245,3,9:05.0,Personal foul by T. Jones (drawn by B. Lopez),,76,59
246,3,8:55.0,J. Harris misses 2-pt layup from 2 ft,,76,59
247,3,8:54.0,,Defensive rebound by A. Davis,76,59
248,3,8:48.0,,T. Jones makes 2-pt jump shot from 10 ft (assist by J. Holiday),76,61
249,3,8:30.0,B. Bogdanović misses 3-pt jump shot from 26 ft (block by A. Davis),,76,61
250,3,8:29.0,,Defensive rebound by T. Jones,76,61
251,3,8:25.0,,Personal foul by B. Bogdanović (drawn by J. Holiday),76,61
252,3,8:21.0,,J. Holiday makes 2-pt jump shot from 14 ft,76,63
253,3,7:54.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,79,63
254,3,7:43.0,,T. Jones misses 2-pt jump shot from 6 ft,79,63
255,3,7:42.0,Defensive rebound by J. Hamilton,,79,63
256,3,7:24.0,Shooting foul by J. Holiday (drawn by B. Lopez),,79,63
257,3,7:24.0,B. Lopez makes free throw 1 of 2,,80,63
258,3,7:24.0,B. Lopez makes free throw 2 of 2,,81,63
259,3,7:11.0,,S. Hill makes 2-pt jump shot from 10 ft,81,65
260,3,6:58.0,S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by J. Harris),,84,65
261,3,6:48.0,,J. Holiday makes 2-pt jump shot from 16 ft,84,67
262,3,6:25.0,B. Bogdanović makes 2-pt layup from 2 ft,,86,67
263,3,6:25.0,Shooting foul by T. Jones (drawn by B. Bogdanović),,86,67
264,3,6:25.0,,E. Moore enters the game for D. Cunningham,86,67
265,3,6:25.0,C. LeVert enters the game for J. Harris,,86,67
266,3,6:25.0,B. Bogdanović makes free throw 1 of 1,,87,67
267,3,6:19.0,,Shooting foul by B. Lopez (drawn by J. Holiday),87,67
268,3,6:19.0,,J. Holiday makes free throw 1 of 2,87,68
