,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
310,3,2:48.0,S. Dekker makes 2-pt layup from 1 ft (assist by J. Harden),,78,81
311,3,2:22.0,,C. Frye makes 2-pt hook shot from 11 ft (assist by J. Smith),78,83
312,3,1:59.0,S. Dekker misses 2-pt layup from 1 ft,,78,83
313,3,1:58.0,,Defensive rebound by C. Frye,78,83
314,3,1:50.0,,C. Frye misses 2-pt jump shot from 17 ft,78,83
315,3,1:49.0,,Offensive rebound by L. James,78,83
316,3,1:35.0,,C. Frye makes 2-pt jump shot from 11 ft,78,85
317,3,1:21.0,N. Hilário makes 3-pt jump shot from 25 ft (assist by S. Dekker),,81,85
318,3,0:58.0,,C. Frye misses 2-pt layup from 2 ft,81,85
319,3,0:58.0,Defensive rebound by N. Hilário,,81,85
320,3,0:51.0,T. Ariza misses 3-pt jump shot from 25 ft,,81,85
321,3,0:50.0,,Defensive rebound by I. Shumpert,81,85
322,3,0:27.0,,C. Frye misses 2-pt jump shot from 18 ft,81,85
323,3,0:27.0,Defensive rebound by Team,,81,85
324,3,0:27.0,,K. Irving enters the game for L. James,81,85
325,3,0:02.0,J. Harden makes 3-pt jump shot from 24 ft,,84,85
326,3,0:00.0,,K. Irving misses 3-pt jump shot from 40 ft,84,85
327,3,0:00.0,,Offensive rebound by Team,84,85
328,4,11:49.0,Shooting foul by C. Frye (drawn by N. Hilário),,84,85
329,4,11:49.0,N. Hilário misses free throw 1 of 2,,84,85
330,4,11:49.0,Offensive rebound by Team,,84,85
331,4,11:49.0,N. Hilário makes free throw 2 of 2,,85,85
332,4,11:28.0,,R. Jefferson makes 2-pt layup from 1 ft,85,87
333,4,11:16.0,Shooting foul by M. Dunleavy (drawn by C. Brewer),,85,87
334,4,11:16.0,C. Brewer misses free throw 1 of 2,,85,87
335,4,11:16.0,Offensive rebound by Team,,85,87
336,4,11:16.0,C. Brewer makes free throw 2 of 2,,86,87
337,4,10:57.0,,Turnover by I. Shumpert (lost ball),86,87
338,4,10:41.0,C. Brewer misses 3-pt jump shot from 25 ft,,86,87
339,4,10:40.0,,Defensive rebound by R. Jefferson,86,87
340,4,10:34.0,,Shooting block foul by T. Ennis (drawn by K. Irving),86,87
341,4,10:34.0,,K. Irving makes free throw 1 of 2,86,88
342,4,10:34.0,,K. Irving makes free throw 2 of 2,86,89
343,4,10:29.0,Personal foul by C. Frye (drawn by T. Ennis),,86,89
344,4,10:29.0,C. Capela enters the game for N. Hilário,,86,89
345,4,10:19.0,T. Ennis misses 2-pt jump shot from 18 ft,,86,89
346,4,10:18.0,,Defensive rebound by M. Dunleavy,86,89
347,4,10:08.0,,Shooting foul by E. Gordon (drawn by M. Dunleavy),86,89
348,4,10:08.0,,M. Dunleavy misses free throw 1 of 2,86,89
349,4,10:08.0,,Offensive rebound by Team,86,89
350,4,10:08.0,,M. Dunleavy makes free throw 2 of 2,86,90
351,4,9:43.0,C. Brewer misses 2-pt jump shot from 13 ft,,86,90
352,4,9:42.0,,Defensive rebound by I. Shumpert,86,90
353,4,9:25.0,,C. Frye misses 2-pt jump shot from 6 ft,86,90
354,4,9:25.0,Defensive rebound by T. Ennis,,86,90
355,4,9:17.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Ennis),,89,90
356,4,9:16.0,,Cleveland full timeout,89,90
357,4,9:16.0,,L. James enters the game for R. Jefferson,89,90
358,4,9:16.0,,K. Love enters the game for C. Frye,89,90
359,4,8:53.0,,I. Shumpert makes 2-pt dunk at rim,89,92
360,4,8:43.0,E. Gordon misses 3-pt jump shot from 28 ft,,89,92
361,4,8:43.0,Offensive rebound by T. Ennis,,89,92
362,4,8:37.0,T. Ariza misses 3-pt jump shot from 24 ft,,89,92
363,4,8:37.0,Offensive rebound by C. Brewer,,89,92
364,4,8:33.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by C. Brewer),,92,92
365,4,8:16.0,,Personal foul by E. Gordon (drawn by K. Love),92,92
366,4,8:00.0,,K. Irving makes 2-pt jump shot from 11 ft,92,94
367,4,7:47.0,Turnover by E. Gordon (bad pass; steal by I. Shumpert),,92,94
368,4,7:42.0,,M. Dunleavy makes 2-pt dunk at rim (assist by I. Shumpert),92,96
369,4,7:42.0,Houston full timeout,,92,96
370,4,7:42.0,J. Harden enters the game for T. Ennis,,92,96
371,4,7:25.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),,95,96
