,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CLEVELAND_ACTION,PHOENIX_SCORE,CLEVELAND_SCORE
366,4,10:19.0,T. Warren misses 2-pt jump shot from 7 ft,,78,93
367,4,10:19.0,,Defensive rebound by L. James,78,93
368,4,10:07.0,,Turnover by K. Korver (bad pass),78,93
369,4,9:58.0,Shooting foul by C. Frye (drawn by D. Booker),,78,93
370,4,9:58.0,D. Booker makes free throw 1 of 2,,79,93
371,4,9:58.0,D. Booker makes free throw 2 of 2,,80,93
372,4,9:41.0,,C. Frye makes 2-pt dunk at rim (assist by L. James),80,95
373,4,9:19.0,D. Booker makes 2-pt layup from 1 ft,,82,95
374,4,8:54.0,,L. James makes 2-pt layup at rim,82,97
375,4,8:54.0,,Shooting foul by D. Bender (drawn by L. James),82,97
376,4,8:54.0,Official timeout,,82,97
377,4,8:54.0,,L. James misses free throw 1 of 1,82,97
378,4,8:54.0,E. Bledsoe enters the game for D. Bender,,82,97
379,4,8:54.0,T. Chandler enters the game for T. Ulis,,82,97
380,4,8:53.0,Defensive rebound by T. Warren,,82,97
381,4,8:33.0,T. Warren makes 2-pt jump shot from 6 ft (assist by D. Booker),,84,97
