,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
303,3,0:53.0,B. Roberts makes free throw 2 of 2,,78,80
304,3,0:41.0,,Turnover by J. Randle (lost ball),78,80
305,3,0:33.0,B. Roberts misses 3-pt jump shot from 24 ft,,78,80
306,3,0:29.0,,Defensive rebound by L. Nance,78,80
307,3,0:22.0,,J. Clarkson makes 2-pt layup from 2 ft,78,82
308,3,0:04.0,C. Zeller makes 2-pt layup from 1 ft (assist by M. Belinelli),,80,82
309,3,0:01.0,,Turnover by J. Clarkson (lost ball),80,82
310,4,11:43.0,,I. Zubac misses 2-pt hook shot from 10 ft,80,82
311,4,11:40.0,Defensive rebound by J. Lamb,,80,82
312,4,11:30.0,M. Belinelli makes 2-pt jump shot from 19 ft,,82,82
313,4,11:12.0,Violation by F. Kaminsky (kicked ball),,82,82
314,4,11:04.0,,J. Clarkson misses 2-pt jump shot from 4 ft,82,82
315,4,10:59.0,Defensive rebound by J. Lamb,,82,82
316,4,10:51.0,J. Lamb misses 2-pt layup from 2 ft,,82,82
317,4,10:51.0,Offensive rebound by M. Williams,,82,82
318,4,10:51.0,M. Williams misses 2-pt layup from 1 ft,,82,82
319,4,10:51.0,,Defensive rebound by Team,82,82
320,4,10:51.0,Loose ball foul by J. Lamb (drawn by I. Zubac),,82,82
321,4,10:51.0,,D. Nwaba enters the game for I. Zubac,82,82
322,4,10:32.0,,B. Ingram misses 2-pt layup from 2 ft (block by J. Lamb),82,82
323,4,10:31.0,Defensive rebound by Team,,82,82
324,4,10:15.0,F. Kaminsky misses 2-pt layup from 2 ft (block by C. Brewer),,82,82
325,4,10:13.0,,Defensive rebound by C. Brewer,82,82
326,4,10:08.0,,B. Ingram misses 3-pt jump shot from 24 ft,82,82
327,4,10:05.0,Defensive rebound by M. Williams,,82,82
328,4,9:58.0,Personal foul by L. Nance (drawn by M. Belinelli),,82,82
329,4,9:50.0,J. Lamb misses 3-pt jump shot from 25 ft,,82,82
330,4,9:50.0,,Defensive rebound by Team,82,82
331,4,9:33.0,,C. Brewer misses 3-pt jump shot from 25 ft,82,82
332,4,9:31.0,Defensive rebound by M. Belinelli,,82,82
333,4,9:15.0,M. Belinelli misses 3-pt jump shot from 26 ft,,82,82
334,4,9:14.0,,Defensive rebound by J. Clarkson,82,82
335,4,9:07.0,,J. Clarkson makes 2-pt layup from 2 ft,82,84
336,4,8:49.0,Personal foul by J. Clarkson (drawn by F. Kaminsky),,82,84
337,4,8:49.0,Official timeout,,82,84
338,4,8:49.0,M. Kidd-Gilchrist enters the game for M. Williams,,82,84
339,4,8:37.0,M. Belinelli misses 2-pt jump shot from 20 ft,,82,84
340,4,8:33.0,,Defensive rebound by J. Clarkson,82,84
341,4,8:17.0,,J. Clarkson misses 2-pt jump shot from 9 ft,82,84
342,4,8:15.0,Defensive rebound by F. Kaminsky,,82,84
343,4,8:01.0,Turnover by B. Roberts (lost ball; steal by J. Clarkson),,82,84
344,4,7:57.0,,J. Clarkson makes 2-pt layup from 1 ft,82,86
345,4,7:42.0,Turnover by F. Kaminsky (bad pass; steal by C. Brewer),,82,86
346,4,7:37.0,,C. Brewer makes 2-pt layup from 2 ft,82,88
347,4,7:36.0,Charlotte full timeout,,82,88
348,4,7:36.0,N. Batum enters the game for F. Kaminsky,,82,88
349,4,7:36.0,C. Zeller enters the game for J. Lamb,,82,88
350,4,7:36.0,K. Walker enters the game for B. Roberts,,82,88
351,4,7:36.0,,N. Young enters the game for B. Ingram,82,88
352,4,7:16.0,M. Kidd-Gilchrist makes 2-pt jump shot from 14 ft (assist by K. Walker),,84,88
353,4,6:56.0,,J. Clarkson misses 2-pt layup from 3 ft,84,88
354,4,6:54.0,Defensive rebound by K. Walker,,84,88
355,4,6:39.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by C. Zeller),,87,88
356,4,6:20.0,,D. Nwaba misses 2-pt jump shot from 17 ft,87,88
357,4,6:16.0,Defensive rebound by K. Walker,,87,88
358,4,6:03.0,M. Belinelli misses 3-pt jump shot from 27 ft,,87,88
359,4,6:02.0,,Defensive rebound by D. Nwaba,87,88
360,4,5:54.0,,N. Young makes 3-pt jump shot from 25 ft (assist by C. Brewer),87,91
361,4,5:32.0,M. Kidd-Gilchrist makes 2-pt jump shot from 11 ft (assist by M. Belinelli),,89,91
362,4,5:32.0,,LA Lakers full timeout,89,91
363,4,5:32.0,M. Williams enters the game for M. Kidd-Gilchrist,,89,91
364,4,5:32.0,,D. Russell enters the game for L. Nance,89,91
365,4,5:32.0,,J. Randle enters the game for C. Brewer,89,91
366,4,5:32.0,,B. Ingram enters the game for D. Nwaba,89,91
367,4,5:17.0,,Turnover by J. Clarkson (bad pass),89,91
368,4,4:58.0,M. Williams misses 2-pt jump shot from 8 ft,,89,91
369,4,4:55.0,Offensive rebound by C. Zeller,,89,91
