,QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
228,3,10:31.0,,Utah full timeout,56,60
229,3,10:13.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Favors),56,62
230,3,10:01.0,M. Turner makes 2-pt jump shot from 13 ft (assist by P. George),,58,62
231,3,9:37.0,,G. Hayward misses 3-pt jump shot from 24 ft,58,62
232,3,9:37.0,Defensive rebound by J. Teague,,58,62
233,3,9:28.0,M. Turner makes 2-pt dunk at rim (assist by T. Young),,60,62
234,3,9:02.0,,Turnover by D. Favors (bad pass; steal by G. Robinson),60,62
235,3,8:58.0,Turnover by G. Robinson (lost ball),,60,62
236,3,8:41.0,,G. Hill makes 2-pt jump shot from 6 ft,60,64
237,3,8:31.0,J. Teague misses 2-pt jump shot from 6 ft,,60,64
238,3,8:30.0,,Defensive rebound by R. Gobert,60,64
239,3,8:16.0,,Shooting foul by J. Teague (drawn by G. Hill),60,64
240,3,8:16.0,,G. Hill makes free throw 1 of 2,60,65
241,3,8:16.0,,G. Hill misses free throw 2 of 2,60,65
242,3,8:16.0,Defensive rebound by T. Young,,60,65
243,3,8:16.0,,B. Diaw enters the game for D. Favors,60,65
244,3,8:03.0,P. George misses 3-pt jump shot from 25 ft,,60,65
245,3,8:03.0,,Defensive rebound by J. Ingles,60,65
246,3,7:49.0,,B. Diaw misses 2-pt jump shot from 9 ft,60,65
247,3,7:49.0,Defensive rebound by M. Turner,,60,65
248,3,7:41.0,J. Teague misses 2-pt layup from 2 ft,,60,65
249,3,7:39.0,Offensive rebound by T. Young,,60,65
250,3,7:39.0,T. Young misses 2-pt dunk at rim,,60,65
251,3,7:38.0,,Defensive rebound by B. Diaw,60,65
252,3,7:25.0,,G. Hayward makes 2-pt jump shot from 15 ft,60,67
253,3,7:11.0,Turnover by J. Teague (bad pass; steal by G. Hill),,60,67
254,3,7:05.0,,G. Hayward makes 2-pt layup from 2 ft (assist by J. Ingles),60,69
255,3,7:04.0,Indiana full timeout,,60,69
256,3,6:49.0,P. George misses 3-pt jump shot from 25 ft,,60,69
257,3,6:48.0,,Defensive rebound by G. Hill,60,69
258,3,6:36.0,,G. Hill makes 3-pt jump shot from 25 ft,60,72
259,3,6:12.0,G. Robinson misses 3-pt jump shot from 23 ft (block by J. Ingles),,60,72
260,3,6:11.0,,Defensive rebound by G. Hayward,60,72
261,3,6:05.0,,Personal foul by M. Turner (drawn by R. Gobert),60,72
262,3,6:05.0,,A. Burks enters the game for J. Ingles,60,72
263,3,5:48.0,,A. Burks misses 3-pt jump shot from 23 ft,60,72
264,3,5:47.0,Defensive rebound by T. Young,,60,72
265,3,5:23.0,J. Teague misses 2-pt jump shot from 4 ft (block by R. Gobert),,60,72
266,3,5:23.0,Offensive rebound by Team,,60,72
267,3,5:23.0,Turnover by Team (shot clock),,60,72
268,3,5:23.0,,D. Favors enters the game for R. Gobert,60,72
269,3,5:23.0,,J. Johnson enters the game for G. Hayward,60,72
270,3,5:00.0,,J. Johnson misses 2-pt jump shot from 4 ft,60,72
271,3,5:00.0,,Offensive rebound by B. Diaw,60,72
272,3,4:55.0,,A. Burks misses 3-pt jump shot from 25 ft,60,72
273,3,4:55.0,,Offensive rebound by A. Burks,60,72
274,3,4:49.0,,Shooting foul by T. Young (drawn by G. Hill),60,72
275,3,4:49.0,,G. Hill makes free throw 1 of 2,60,73
276,3,4:49.0,M. Ellis enters the game for J. Teague,,60,73
277,3,4:49.0,C. Miles enters the game for G. Robinson,,60,73
278,3,4:49.0,,G. Hill makes free throw 2 of 2,60,74
279,3,4:38.0,P. George makes 2-pt jump shot from 16 ft,,62,74
280,3,4:17.0,,G. Hill makes 2-pt jump shot from 22 ft (assist by B. Diaw),62,76
281,3,4:03.0,M. Ellis misses 2-pt jump shot from 11 ft,,62,76
282,3,4:02.0,Offensive rebound by M. Ellis,,62,76
283,3,3:58.0,T. Young makes 3-pt jump shot from 24 ft (assist by M. Turner),,65,76
284,3,3:45.0,,Personal foul by M. Ellis (drawn by G. Hill),65,76
285,3,3:39.0,,Shooting foul by M. Ellis (drawn by G. Hill),65,76
286,3,3:39.0,,G. Hill makes free throw 1 of 3,65,77
287,3,3:39.0,,G. Hill makes free throw 2 of 3,65,78
288,3,3:39.0,,G. Hill makes free throw 3 of 3,65,79
289,3,3:28.0,Shooting foul by G. Hill (drawn by M. Turner),,65,79
290,3,3:28.0,M. Turner makes free throw 1 of 2,,66,79
291,3,3:28.0,,R. Neto enters the game for G. Hill,66,79
292,3,3:28.0,M. Turner makes free throw 2 of 2,,67,79
293,3,3:07.0,,A. Burks misses 3-pt jump shot from 23 ft,67,79
