,QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
256,3,5:45.0,,Defensive rebound by J. Thompson,76,64
257,3,5:24.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by D. Cousins),76,67
258,3,5:15.0,Denver full timeout,,76,67
259,3,5:15.0,,D. Williams enters the game for J. Thompson,76,67
260,3,5:15.0,,C. Landry enters the game for B. McLemore,76,67
261,3,5:15.0,A. Gee enters the game for D. Arthur,,76,67
262,3,4:59.0,J. Nurkić makes 2-pt hook shot from 5 ft,,78,67
263,3,4:38.0,,D. Cousins misses 2-pt jump shot from 4 ft (block by J. Nurkić),78,67
264,3,4:36.0,,Offensive rebound by D. Cousins,78,67
265,3,4:34.0,,D. Cousins makes 2-pt layup from 2 ft,78,69
266,3,4:16.0,J. Nurkić makes 2-pt jump shot from 20 ft (assist by A. Gee),,80,69
267,3,3:54.0,,R. Gay misses 2-pt jump shot from 9 ft (block by J. Nurkić),80,69
268,3,3:52.0,Defensive rebound by J. Nurkić,,80,69
269,3,3:50.0,A. Gee makes 2-pt layup from 2 ft (assist by A. Afflalo),,82,69
270,3,3:31.0,,R. McCallum enters the game for R. Gay,82,69
271,3,3:19.0,,C. Landry misses 2-pt jump shot from 12 ft,82,69
272,3,3:17.0,Defensive rebound by K. Faried,,82,69
273,3,3:07.0,A. Afflalo makes 2-pt jump shot from 11 ft,,84,69
274,3,2:51.0,,D. Cousins misses 2-pt jump shot from 15 ft,84,69
275,3,2:50.0,Defensive rebound by K. Faried,,84,69
276,3,2:37.0,A. Afflalo misses 2-pt layup from 3 ft (block by R. McCallum),,84,69
277,3,2:37.0,Offensive rebound by Team,,84,69
278,3,2:37.0,,J. Thompson enters the game for D. Cousins,84,69
279,3,2:37.0,J. Hickson enters the game for J. Nurkić,,84,69
280,3,2:26.0,T. Lawson misses 2-pt jump shot from 21 ft,,84,69
281,3,2:25.0,,Defensive rebound by D. Williams,84,69
282,3,2:18.0,,Turnover by D. Collison (lost ball; steal by A. Gee),84,69
283,3,2:15.0,A. Gee makes 2-pt dunk at rim (assist by T. Lawson),,86,69
284,3,1:51.0,,J. Thompson makes 2-pt hook shot from 9 ft (assist by R. McCallum),86,71
285,3,1:35.0,Shooting foul by J. Thompson (drawn by T. Lawson),,86,71
286,3,1:35.0,T. Lawson makes free throw 1 of 2,,87,71
287,3,1:35.0,T. Lawson makes free throw 2 of 2,,88,71
288,3,1:15.0,,C. Landry misses 2-pt jump shot from 16 ft,88,71
289,3,1:14.0,Defensive rebound by A. Gee,,88,71
290,3,1:08.0,T. Lawson misses 2-pt jump shot from 9 ft,,88,71
291,3,1:08.0,,Defensive rebound by Team,88,71
292,3,1:08.0,Loose ball foul by J. Hickson (drawn by J. Thompson),,88,71
293,3,0:54.0,,J. Thompson misses 2-pt jump shot from 19 ft,88,71
294,3,0:53.0,Defensive rebound by J. Hickson,,88,71
295,3,0:39.0,Shooting foul by C. Landry (drawn by J. Hickson),,88,71
296,3,0:39.0,A. Afflalo makes free throw 1 of 2,,89,71
297,3,0:39.0,N. Robinson enters the game for K. Faried,,89,71
298,3,0:39.0,,R. Gay enters the game for J. Thompson,89,71
299,3,0:39.0,A. Afflalo makes free throw 2 of 2,,90,71
300,3,0:31.0,,D. Collison misses 3-pt jump shot from 25 ft,90,71
301,3,0:31.0,,Offensive rebound by C. Landry,90,71
302,3,0:31.0,,C. Landry makes 2-pt dunk at rim,90,73
303,3,0:14.0,Offensive foul by J. Hickson (drawn by C. Landry),,90,73
304,3,0:14.0,Turnover by J. Hickson (offensive foul),,90,73
305,3,0:14.0,G. Harris enters the game for T. Lawson,,90,73
306,3,0:01.0,,D. Collison makes 2-pt jump shot from 13 ft,90,75
307,4,11:42.0,,Turnover by D. Cousins (traveling),90,75
308,4,11:29.0,G. Harris makes 2-pt jump shot from 9 ft (assist by K. Faried),,92,75
309,4,11:01.0,,N. Stauskas misses 3-pt jump shot from 40 ft,92,75
310,4,11:01.0,,Offensive rebound by Team,92,75
311,4,11:01.0,,Turnover by Team (shot clock),92,75
312,4,10:50.0,J. Hickson makes 2-pt dunk at rim (assist by N. Robinson),,94,75
313,4,10:31.0,,Personal foul by G. Harris (drawn by R. McCallum),94,75
314,4,10:20.0,,R. McCallum misses 2-pt layup from 2 ft (block by K. Faried),94,75
315,4,10:18.0,Defensive rebound by J. Hickson,,94,75
316,4,10:16.0,Personal foul by N. Stauskas (drawn by A. Gee),,94,75
317,4,10:09.0,N. Robinson misses 3-pt jump shot from 24 ft,,94,75
318,4,10:09.0,,Defensive rebound by C. Landry,94,75
319,4,10:01.0,,D. Cousins makes 2-pt layup from 2 ft (assist by R. McCallum),94,77
320,4,9:52.0,G. Harris misses 2-pt jump shot from 3 ft,,94,77
321,4,9:51.0,,Defensive rebound by C. Landry,94,77
322,4,9:47.0,,Shooting foul by N. Robinson (drawn by R. McCallum),94,77
323,4,9:47.0,,R. McCallum makes free throw 1 of 2,94,78
324,4,9:47.0,,R. McCallum misses free throw 2 of 2,94,78
325,4,9:45.0,,Offensive rebound by D. Cousins,94,78
326,4,9:45.0,,D. Cousins makes 2-pt tip-in from 1 ft,94,80
327,4,9:21.0,N. Robinson makes 2-pt jump shot from 19 ft,,96,80
328,4,9:08.0,,R. McCallum misses 2-pt layup from 3 ft (block by J. Hickson),96,80
329,4,9:07.0,,Offensive rebound by Team,96,80
330,4,9:07.0,,Personal foul by N. Robinson (drawn by D. Cousins),96,80
331,4,8:56.0,,R. Gay misses 3-pt jump shot from 23 ft,96,80
332,4,8:55.0,,Offensive rebound by D. Cousins,96,80
333,4,8:55.0,,D. Cousins makes 2-pt tip-in from 2 ft,96,82
334,4,8:36.0,K. Faried makes 2-pt hook shot from 9 ft (assist by N. Robinson),,98,82
335,4,8:25.0,,D. Cousins misses 2-pt jump shot from 18 ft,98,82
336,4,8:24.0,Defensive rebound by K. Faried,,98,82
337,4,8:16.0,J. Hickson makes 2-pt hook shot from 6 ft (assist by N. Robinson),,100,82
338,4,7:58.0,,Turnover by R. McCallum (lost ball; steal by G. Harris),100,82
339,4,7:56.0,Shooting foul by D. Cousins (drawn by G. Harris),,100,82
340,4,7:56.0,Official timeout,,100,82
341,4,7:56.0,,D. Collison enters the game for C. Landry,100,82
342,4,7:56.0,,B. McLemore enters the game for R. McCallum,100,82
343,4,7:56.0,G. Harris misses free throw 1 of 2,,100,82
344,4,7:56.0,Offensive rebound by Team,,100,82
345,4,7:56.0,G. Harris makes free throw 2 of 2,,101,82
346,4,7:43.0,,D. Cousins makes 2-pt hook shot from 7 ft,101,84
347,4,7:43.0,,Shooting foul by J. Hickson (drawn by D. Cousins),101,84
348,4,7:43.0,,D. Cousins makes free throw 1 of 1,101,85
349,4,7:26.0,N. Robinson makes 3-pt jump shot from 28 ft (assist by J. Hickson),,104,85
350,4,7:06.0,,Personal foul by N. Robinson (drawn by R. Gay),104,85
351,4,7:06.0,,R. Gay misses free throw 1 of 2,104,85
352,4,7:06.0,,Offensive rebound by Team,104,85
353,4,7:06.0,T. Lawson enters the game for J. Hickson,,104,85
