,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
356,4,6:42.0,Offensive rebound by Team,,89,93
357,4,6:39.0,J. Brown misses 2-pt jump shot from 10 ft,,89,93
358,4,6:38.0,,Defensive rebound by D. Green,89,93
359,4,6:31.0,,A. Iguodala makes 2-pt dunk at rim (assist by S. Livingston),89,95
360,4,6:31.0,LA Lakers full timeout,,89,95
361,4,6:10.0,R. Kelly misses 2-pt jump shot from 5 ft,,89,95
362,4,6:07.0,,Defensive rebound by D. Green,89,95
363,4,5:48.0,,K. Thompson misses 2-pt layup from 2 ft (block by E. Davis),89,95
364,4,5:45.0,Defensive rebound by E. Davis,,89,95
365,4,5:41.0,C. Boozer makes 2-pt layup from 1 ft (assist by J. Lin),,91,95
366,4,5:27.0,,Personal foul by J. Lin (drawn by S. Livingston),91,95
367,4,5:27.0,,S. Curry enters the game for S. Livingston,91,95
368,4,5:27.0,W. Johnson enters the game for R. Kelly,,91,95
369,4,5:27.0,J. Hill enters the game for E. Davis,,91,95
370,4,5:27.0,W. Ellington enters the game for J. Brown,,91,95
371,4,5:22.0,,Turnover by S. Curry (bad pass; steal by J. Hill),91,95
372,4,5:17.0,Personal foul by A. Bogut (drawn by J. Lin),,91,95
373,4,5:17.0,J. Lin makes free throw 2 of 2,,93,95
374,4,5:17.0,J. Lin makes free throw 1 of 2,,92,95
375,4,5:01.0,,Turnover by D. Green (lost ball; steal by J. Lin),93,95
