,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
362,4,8:32.0,,M. Plumlee misses free throw 2 of 2,84,79
363,4,8:32.0,,Offensive rebound by J. O'Bryant,84,79
364,4,8:14.0,,J. Gutiérrez makes 2-pt jump shot from 14 ft (assist by T. Ennis),84,81
365,4,7:56.0,L. Datome makes 2-pt jump shot from 13 ft (assist by M. Smart),,86,81
366,4,7:37.0,,T. Ennis misses 2-pt jump shot from 7 ft (block by M. Smart),86,81
367,4,7:35.0,Defensive rebound by K. Olynyk,,86,81
368,4,7:34.0,Shooting foul by J. Gutiérrez (drawn by J. Young),,86,81
369,4,7:34.0,J. Young makes free throw 1 of 2,,87,81
370,4,7:34.0,P. Pressey enters the game for M. Smart,,87,81
371,4,7:34.0,J. Young makes free throw 2 of 2,,88,81
372,4,7:23.0,,J. Gutiérrez makes 2-pt layup at rim (assist by T. Ennis),88,83
373,4,7:05.0,J. Young misses 3-pt jump shot from 26 ft,,88,83
374,4,7:04.0,,Defensive rebound by J. O'Bryant,88,83
375,4,6:51.0,,J. O'Bryant misses 2-pt jump shot from 16 ft,88,83
376,4,6:50.0,Defensive rebound by J. Young,,88,83
377,4,6:42.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Sullinger),,91,83
378,4,6:25.0,,J. O'Bryant makes 2-pt hook shot from 3 ft (assist by J. Gutiérrez),91,85
379,4,6:02.0,J. Sullinger misses 3-pt jump shot from 27 ft,,91,85
380,4,6:00.0,,Defensive rebound by Team,91,85
381,4,6:00.0,,Milwaukee full timeout,91,85
382,4,6:00.0,J. Jerebko enters the game for J. Sullinger,,91,85
383,4,5:49.0,,J. O'Bryant misses 2-pt jump shot from 16 ft,91,85
384,4,5:49.0,Defensive rebound by Team,,91,85
385,4,5:49.0,,Loose ball foul by M. Plumlee (drawn by K. Olynyk),91,85
386,4,5:31.0,J. Young misses 3-pt jump shot from 23 ft,,91,85
387,4,5:30.0,Offensive rebound by P. Pressey,,91,85
388,4,5:26.0,K. Olynyk makes 2-pt layup from 1 ft (assist by P. Pressey),,93,85
389,4,5:18.0,,O. Mayo makes 2-pt jump shot from 20 ft (assist by T. Ennis),93,87
390,4,5:05.0,L. Datome makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,96,87
391,4,4:54.0,,O. Mayo makes 2-pt jump shot from 16 ft (assist by T. Ennis),96,89
392,4,4:36.0,J. Jerebko misses 2-pt jump shot from 16 ft,,96,89
393,4,4:35.0,,Defensive rebound by O. Mayo,96,89
394,4,4:35.0,,Personal foul by L. Datome (drawn by O. Mayo),96,89
395,4,4:27.0,,O. Mayo makes 2-pt layup at rim (assist by T. Ennis),96,91
396,4,4:08.0,L. Datome makes 2-pt jump shot from 18 ft (assist by P. Pressey),,98,91
397,4,3:53.0,,Personal foul by K. Olynyk (drawn by O. Mayo),98,91
398,4,3:49.0,,O. Mayo misses 2-pt jump shot from 14 ft,98,91
399,4,3:47.0,,Offensive rebound by J. Gutiérrez,98,91
400,4,3:32.0,,T. Ennis makes 3-pt jump shot from 24 ft (assist by O. Mayo),98,94
401,4,3:13.0,J. Jerebko makes 2-pt layup at rim (assist by K. Olynyk),,100,94
402,4,2:52.0,,T. Ennis misses 3-pt jump shot from 23 ft,100,94
403,4,2:51.0,Defensive rebound by P. Pressey,,100,94
404,4,2:44.0,L. Datome misses 3-pt jump shot from 24 ft,,100,94
405,4,2:43.0,,Defensive rebound by J. O'Bryant,100,94
406,4,2:43.0,J. Sullinger enters the game for K. Olynyk,,100,94
407,4,2:38.0,,O. Mayo makes 2-pt jump shot from 18 ft (assist by T. Ennis),100,96
408,4,2:38.0,,Shooting foul by J. Young (drawn by O. Mayo),100,96
409,4,2:38.0,Boston full timeout,,100,96
410,4,2:38.0,,O. Mayo makes free throw 1 of 1,100,97
411,4,2:21.0,L. Datome makes 3-pt jump shot from 25 ft (assist by J. Jerebko),,103,97
412,4,1:56.0,,J. Gutiérrez misses 2-pt jump shot from 18 ft,103,97
413,4,1:55.0,Defensive rebound by J. Jerebko,,103,97
414,4,1:36.0,L. Datome misses 2-pt jump shot from 13 ft,,103,97
415,4,1:35.0,Offensive rebound by Team,,103,97
416,4,1:28.0,L. Datome makes 2-pt layup at rim (assist by J. Sullinger),,105,97
417,4,1:18.0,,O. Mayo misses 3-pt jump shot from 25 ft,105,97
418,4,1:17.0,Defensive rebound by L. Datome,,105,97
419,4,1:03.0,P. Pressey misses 2-pt layup from 1 ft,,105,97
420,4,1:02.0,,Defensive rebound by M. Plumlee,105,97
421,4,0:57.0,,J. O'Bryant misses 2-pt jump shot from 7 ft,105,97
422,4,0:56.0,Defensive rebound by J. Sullinger,,105,97
423,4,0:33.0,L. Datome misses 3-pt jump shot from 23 ft,,105,97
424,4,0:32.0,,Defensive rebound by M. Plumlee,105,97
425,4,0:19.0,,O. Mayo makes 3-pt jump shot from 26 ft (assist by T. Ennis),105,100
