,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
194,2,1:31.0,,K. McDaniels makes 2-pt dunk at rim (assist by T. Wroten),40,35
195,2,1:13.0,K. Korver makes 3-pt jump shot from 24 ft (assist by A. Horford),,43,35
196,2,1:03.0,,J. Grant makes 2-pt layup from 1 ft (assist by T. Wroten),43,37
197,2,0:55.0,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Schröder),,46,37
198,2,0:29.0,,Turnover by Team (shot clock),46,37
199,2,0:05.0,M. Scott makes 3-pt jump shot from 23 ft (assist by A. Horford),,49,37
200,2,0:00.0,,T. Wroten misses 3-pt jump shot from 27 ft,49,37
201,2,0:00.0,,Offensive rebound by Team,49,37
202,3,11:41.0,Offensive charge foul by M. Carter-Williams (drawn by D. Schröder),,49,37
203,3,11:41.0,,Turnover by M. Carter-Williams (offensive foul),49,37
204,3,11:24.0,T. Sefolosha misses 3-pt jump shot from 25 ft,,49,37
205,3,11:22.0,,Defensive rebound by N. Noel,49,37
206,3,11:06.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft,49,37
207,3,11:04.0,,Offensive rebound by N. Noel,49,37
208,3,11:04.0,,N. Noel misses 2-pt tip-in at rim,49,37
209,3,11:01.0,Defensive rebound by M. Muscala,,49,37
210,3,10:52.0,A. Horford makes 2-pt hook shot from 3 ft,,51,37
211,3,10:34.0,,Shooting foul by A. Horford (drawn by L. Mbah a Moute),51,37
212,3,10:34.0,,L. Mbah a Moute misses free throw 1 of 2,51,37
213,3,10:34.0,,Offensive rebound by Team,51,37
214,3,10:34.0,,L. Mbah a Moute makes free throw 2 of 2,51,38
215,3,10:22.0,D. Schröder makes 2-pt layup from 1 ft (assist by A. Horford),,53,38
216,3,10:02.0,,K. McDaniels misses 3-pt jump shot from 24 ft,53,38
217,3,10:00.0,Defensive rebound by A. Horford,,53,38
218,3,9:56.0,Personal foul by R. Covington (drawn by T. Sefolosha),,53,38
219,3,9:44.0,M. Muscala misses 2-pt jump shot from 14 ft,,53,38
220,3,9:43.0,,Defensive rebound by K. McDaniels,53,38
221,3,9:24.0,,R. Covington misses 3-pt jump shot from 24 ft,53,38
222,3,9:22.0,Defensive rebound by T. Sefolosha,,53,38
223,3,9:12.0,Turnover by T. Sefolosha (bad pass; steal by N. Noel),,53,38
224,3,9:10.0,,R. Covington makes 2-pt layup from 1 ft,53,40
225,3,9:10.0,,Shooting foul by D. Schröder (drawn by R. Covington),53,40
226,3,9:10.0,,R. Covington makes free throw 1 of 1,53,41
227,3,8:50.0,K. Korver makes 3-pt jump shot from 26 ft (assist by A. Horford),,56,41
228,3,8:38.0,,M. Carter-Williams misses 2-pt jump shot from 2 ft,56,41
229,3,8:37.0,,Offensive rebound by M. Carter-Williams,56,41
230,3,8:37.0,,M. Carter-Williams makes 2-pt tip-in from 2 ft,56,43
231,3,8:32.0,Personal foul by R. Covington (drawn by T. Sefolosha),,56,43
232,3,8:09.0,D. Schröder misses 3-pt jump shot from 23 ft,,56,43
233,3,8:07.0,Offensive rebound by M. Muscala,,56,43
234,3,8:04.0,Turnover by M. Muscala (lost ball; steal by R. Covington),,56,43
235,3,7:58.0,,R. Covington misses 3-pt jump shot from 26 ft,56,43
236,3,7:55.0,Defensive rebound by K. Korver,,56,43
237,3,7:39.0,M. Muscala makes 2-pt jump shot from 14 ft (assist by A. Horford),,58,43
238,3,7:19.0,,R. Covington misses 2-pt layup at rim,58,43
