,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
289,3,1:56.0,B. Biyombo enters the game for K. Walker,,66,76
290,3,1:56.0,,O. Casspi enters the game for R. Gay,66,76
291,3,1:56.0,M. Kidd-Gilchrist misses free throw 2 of 2,,66,76
292,3,1:55.0,,Defensive rebound by R. Evans,66,76
293,3,1:40.0,,N. Stauskas misses 2-pt jump shot from 15 ft,66,76
294,3,1:40.0,,Offensive rebound by Team,66,76
295,3,1:24.0,,D. Williams misses 3-pt jump shot from 25 ft,66,76
296,3,1:23.0,,Offensive rebound by R. Evans,66,76
297,3,1:23.0,,Turnover by R. Evans (lost ball),66,76
298,3,1:06.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,66,76
299,3,1:06.0,Offensive rebound by Team,,66,76
300,3,1:06.0,,Loose ball foul by R. Evans (drawn by C. Zeller),66,76
301,3,1:06.0,C. Zeller makes free throw 1 of 2,,67,76
302,3,1:06.0,C. Zeller misses free throw 2 of 2,,67,76
303,3,1:05.0,,Defensive rebound by Team,67,76
304,3,0:56.0,,D. Williams makes 2-pt dunk at rim (assist by A. Miller),67,78
305,3,0:46.0,M. Williams misses 2-pt jump shot from 16 ft,,67,78
306,3,0:46.0,Offensive rebound by L. Stephenson,,67,78
307,3,0:46.0,L. Stephenson makes 2-pt layup from 1 ft,,69,78
308,3,0:38.0,,R. Evans makes 2-pt jump shot from 4 ft (assist by A. Miller),69,80
309,3,0:19.0,M. Williams misses 3-pt jump shot from 26 ft,,69,80
310,3,0:18.0,Offensive rebound by M. Kidd-Gilchrist,,69,80
311,3,0:00.0,M. Kidd-Gilchrist misses 2-pt jump shot from 21 ft,,69,80
312,3,0:00.0,Offensive rebound by Team,,69,80
313,4,11:47.0,,N. Stauskas misses 2-pt jump shot from 17 ft,69,80
314,4,11:47.0,Defensive rebound by Team,,69,80
315,4,11:38.0,L. Stephenson misses 2-pt jump shot from 17 ft,,69,80
316,4,11:37.0,,Defensive rebound by D. Williams,69,80
317,4,11:35.0,,Personal foul by L. Stephenson (drawn by A. Miller),69,80
318,4,11:25.0,,N. Stauskas misses 3-pt jump shot from 22 ft,69,80
319,4,11:25.0,,Offensive rebound by R. Evans,69,80
320,4,11:11.0,,D. Williams makes 2-pt jump shot from 4 ft (assist by A. Miller),69,82
321,4,11:11.0,,Shooting foul by B. Biyombo (drawn by D. Williams),69,82
322,4,11:11.0,,D. Williams misses free throw 1 of 1,69,82
323,4,11:10.0,Defensive rebound by C. Zeller,,69,82
324,4,11:00.0,Def 3 sec tech foul by A. Miller,,69,82
325,4,11:00.0,M. Williams makes technical free throw,,70,82
326,4,10:54.0,M. Williams misses 2-pt jump shot from 19 ft,,70,82
327,4,10:53.0,,Defensive rebound by R. Evans,70,82
328,4,10:32.0,,O. Casspi misses 2-pt jump shot from 7 ft,70,82
329,4,10:31.0,Defensive rebound by B. Biyombo,,70,82
330,4,10:24.0,Shooting foul by O. Casspi (drawn by G. Henderson),,70,82
331,4,10:24.0,G. Henderson makes free throw 1 of 2,,71,82
332,4,10:24.0,G. Henderson makes free throw 2 of 2,,72,82
333,4,10:10.0,,N. Stauskas misses 3-pt jump shot from 24 ft,72,82
334,4,10:10.0,Defensive rebound by C. Zeller,,72,82
335,4,10:02.0,G. Henderson makes 2-pt jump shot from 20 ft (assist by M. Williams),,74,82
336,4,9:48.0,,D. Williams misses 2-pt jump shot from 3 ft,74,82
337,4,9:45.0,,Offensive rebound by R. Evans,74,82
338,4,9:44.0,,Turnover by R. Evans (lost ball; steal by B. Biyombo),74,82
339,4,9:38.0,G. Henderson misses 2-pt jump shot from 17 ft,,74,82
340,4,9:38.0,,Defensive rebound by O. Casspi,74,82
341,4,9:34.0,,D. Williams makes 2-pt dunk at rim (assist by A. Miller),74,84
342,4,9:34.0,,Shooting foul by B. Biyombo (drawn by D. Williams),74,84
343,4,9:34.0,,R. Gay enters the game for O. Casspi,74,84
344,4,9:34.0,,B. McLemore enters the game for N. Stauskas,74,84
345,4,9:34.0,,D. Williams misses free throw 1 of 1,74,84
346,4,9:33.0,Defensive rebound by G. Henderson,,74,84
347,4,9:16.0,Turnover by L. Stephenson (bad pass; steal by R. Gay),,74,84
348,4,9:10.0,,R. Gay misses 3-pt jump shot from 25 ft,74,84
349,4,9:09.0,Defensive rebound by C. Zeller,,74,84
350,4,8:46.0,M. Williams misses 3-pt jump shot from 24 ft,,74,84
351,4,8:45.0,,Defensive rebound by R. Gay,74,84
352,4,8:45.0,,Personal foul by M. Williams (drawn by R. Gay),74,84
353,4,8:45.0,Official timeout,,74,84
354,4,8:45.0,A. Jefferson enters the game for B. Biyombo,,74,84
355,4,8:36.0,,B. McLemore misses 3-pt jump shot from 24 ft,74,84
