,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
230,3,8:27.0,,Offensive rebound by R. Lopez,63,50
231,3,8:27.0,,R. Lopez misses 2-pt layup from 1 ft (block by M. Gasol),63,50
232,3,8:27.0,,Offensive rebound by Team,63,50
233,3,8:19.0,,Turnover by L. Aldridge (lost ball; steal by T. Allen),63,50
234,3,8:10.0,C. Lee misses 2-pt jump shot from 3 ft,,63,50
235,3,8:09.0,Offensive rebound by Z. Randolph,,63,50
236,3,8:08.0,Z. Randolph makes 2-pt layup at rim,,65,50
237,3,8:08.0,,Portland full timeout,65,50
238,3,7:56.0,,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Lillard),65,53
239,3,7:33.0,Shooting foul by W. Matthews (drawn by Z. Randolph),,65,53
240,3,7:33.0,Z. Randolph misses free throw 1 of 2,,65,53
241,3,7:33.0,Offensive rebound by Team,,65,53
242,3,7:33.0,Z. Randolph misses free throw 2 of 2,,65,53
243,3,7:32.0,,Defensive rebound by L. Aldridge,65,53
244,3,7:21.0,,D. Lillard makes 2-pt layup at rim,65,55
245,3,7:07.0,M. Conley misses 2-pt jump shot from 11 ft,,65,55
246,3,7:06.0,,Defensive rebound by R. Lopez,65,55
247,3,6:52.0,,N. Batum misses 2-pt jump shot from 20 ft,65,55
248,3,6:50.0,,Offensive rebound by D. Lillard,65,55
249,3,6:46.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Lillard),65,58
250,3,6:39.0,Memphis full timeout,,65,58
251,3,6:27.0,Z. Randolph misses 2-pt jump shot at rim,,65,58
252,3,6:26.0,Offensive rebound by Z. Randolph,,65,58
253,3,6:26.0,Z. Randolph misses 2-pt tip-in at rim,,65,58
254,3,6:24.0,,Defensive rebound by R. Lopez,65,58
255,3,6:15.0,,R. Lopez misses 2-pt layup at rim,65,58
256,3,6:15.0,Defensive rebound by M. Conley,,65,58
257,3,6:01.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,67,58
258,3,5:43.0,,R. Lopez misses 2-pt jump shot from 4 ft,67,58
259,3,5:42.0,,Offensive rebound by L. Aldridge,67,58
260,3,5:42.0,,L. Aldridge misses 2-pt tip-in at rim,67,58
261,3,5:40.0,Defensive rebound by M. Gasol,,67,58
262,3,5:35.0,C. Lee makes 2-pt jump shot from 20 ft,,69,58
263,3,5:13.0,,L. Aldridge misses 2-pt jump shot from 4 ft,69,58
264,3,5:12.0,Defensive rebound by Z. Randolph,,69,58
265,3,5:06.0,C. Lee misses 3-pt jump shot from 24 ft,,69,58
266,3,5:05.0,,Defensive rebound by L. Aldridge,69,58
267,3,5:03.0,,Turnover by L. Aldridge (lost ball; steal by Z. Randolph),69,58
268,3,5:02.0,Personal foul by R. Lopez (drawn by Z. Randolph),,69,58
269,3,5:02.0,,S. Blake enters the game for N. Batum,69,58
270,3,5:02.0,,C. Kaman enters the game for R. Lopez,69,58
