,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
296,3,3:07.0,Offensive foul by A. Bradley (drawn by D. West),,61,56
297,3,3:07.0,Turnover by A. Bradley (offensive foul),,61,56
298,3,3:07.0,,L. Scola enters the game for D. West,61,56
299,3,2:52.0,,G. Hill misses 3-pt jump shot from 24 ft,61,56
300,3,2:51.0,Defensive rebound by J. Crowder,,61,56
301,3,2:47.0,Boston full timeout,,61,56
302,3,2:47.0,,C. Watson enters the game for G. Hill,61,56
303,3,2:47.0,P. Pressey enters the game for E. Turner,,61,56
304,3,2:37.0,A. Bradley makes 2-pt layup from 1 ft (assist by J. Crowder),,63,56
305,3,2:10.0,,R. Stuckey misses 3-pt jump shot from 25 ft,63,56
306,3,2:09.0,Defensive rebound by B. Bass,,63,56
307,3,2:06.0,Turnover by B. Bass (bad pass; steal by I. Mahinmi),,63,56
308,3,2:02.0,,I. Mahinmi makes 2-pt hook shot from 6 ft (assist by C. Watson),63,58
309,3,1:43.0,P. Pressey makes 2-pt layup from 2 ft,,65,58
310,3,1:20.0,,R. Stuckey misses 2-pt jump shot from 19 ft,65,58
311,3,1:19.0,Defensive rebound by B. Bass,,65,58
312,3,1:02.0,B. Bass misses 3-pt jump shot from 23 ft,,65,58
313,3,1:01.0,,Defensive rebound by C. Watson,65,58
314,3,0:57.0,,C. Watson misses 3-pt jump shot from 24 ft,65,58
315,3,0:56.0,Defensive rebound by J. Crowder,,65,58
316,3,0:47.0,Personal foul by C. Miles (drawn by B. Bass),,65,58
317,3,0:47.0,B. Bass makes free throw 1 of 2,,66,58
318,3,0:47.0,,D. Rudež enters the game for C. Miles,66,58
319,3,0:47.0,M. Smart enters the game for A. Bradley,,66,58
320,3,0:47.0,B. Bass makes free throw 2 of 2,,67,58
321,3,0:34.0,,L. Scola makes 2-pt jump shot from 17 ft (assist by C. Watson),67,60
322,3,0:20.0,Turnover by K. Olynyk (offensive foul),,67,60
323,3,0:20.0,,Offensive charge foul by K. Olynyk (drawn by I. Mahinmi),67,60
324,3,0:20.0,J. Jerebko enters the game for K. Olynyk,,67,60
325,3,0:00.0,,Turnover by R. Stuckey (bad pass; steal by B. Bass),67,60
326,4,11:47.0,,D. Rudež misses 3-pt jump shot from 24 ft,67,60
327,4,11:45.0,,Offensive rebound by I. Mahinmi,67,60
328,4,11:45.0,,I. Mahinmi misses 2-pt tip-in from 1 ft,67,60
329,4,11:44.0,Defensive rebound by M. Smart,,67,60
330,4,11:30.0,K. Olynyk misses 3-pt jump shot from 23 ft,,67,60
331,4,11:29.0,Offensive rebound by M. Smart,,67,60
332,4,11:29.0,,Loose ball foul by L. Scola (drawn by M. Smart),67,60
333,4,11:20.0,M. Smart misses 2-pt jump shot from 18 ft,,67,60
334,4,11:18.0,Offensive rebound by K. Olynyk,,67,60
335,4,11:09.0,P. Pressey misses 3-pt jump shot from 25 ft,,67,60
336,4,11:08.0,,Defensive rebound by R. Stuckey,67,60
337,4,11:08.0,Loose ball foul by M. Smart (drawn by R. Stuckey),,67,60
338,4,10:50.0,,C. Watson makes 2-pt layup from 3 ft,67,62
339,4,10:26.0,K. Olynyk misses 3-pt jump shot from 26 ft,,67,62
