,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,GOLDEN STATE_ACTION,MILWAUKEE_SCORE,GOLDEN STATE_SCORE
199,2,1:23.0,,D. Green misses free throw 2 of 2,44,53
200,2,1:21.0,Defensive rebound by Z. Pachulia,,44,53
201,2,1:09.0,Shooting foul by S. Livingston (drawn by G. Antetokounmpo),,44,53
202,2,1:09.0,G. Antetokounmpo makes free throw 1 of 2,,45,53
203,2,1:09.0,,H. Barnes enters the game for S. Livingston,45,53
204,2,1:09.0,G. Antetokounmpo makes free throw 2 of 2,,46,53
205,2,1:00.0,,Turnover by S. Curry (bad pass; steal by Z. Pachulia),46,53
206,2,0:55.0,Personal foul by H. Barnes (drawn by Z. Pachulia),,46,53
207,2,0:55.0,Z. Pachulia makes free throw 1 of 2,,47,53
208,2,0:55.0,Z. Pachulia makes free throw 2 of 2,,48,53
209,2,0:35.0,,Turnover by D. Green (bad pass; steal by G. Antetokounmpo),48,53
210,2,0:29.0,Shooting foul by D. Green (drawn by K. Middleton),,48,53
211,2,0:29.0,K. Middleton makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,50,53
212,2,0:29.0,K. Middleton makes free throw 1 of 1,,51,53
213,2,0:06.0,,S. Curry misses 2-pt jump shot from 8 ft,51,53
214,2,0:05.0,,Offensive rebound by Team,51,53
215,2,0:05.0,,Turnover by Team (shot clock),51,53
216,2,0:05.0,Milwaukee full timeout,,51,53
217,2,0:05.0,,A. Iguodala enters the game for A. Bogut,51,53
218,2,0:01.0,M. Carter-Williams makes 2-pt jump shot from 21 ft,,53,53
219,3,11:50.0,Personal foul by S. Curry (drawn by M. Carter-Williams),,53,53
220,3,11:43.0,M. Carter-Williams misses 2-pt jump shot from 15 ft,,53,53
221,3,11:42.0,,Defensive rebound by D. Green,53,53
222,3,11:34.0,,Personal foul by K. Middleton (drawn by D. Green),53,53
223,3,11:22.0,,H. Barnes misses 3-pt jump shot from 23 ft,53,53
224,3,11:19.0,Defensive rebound by J. Dudley,,53,53
225,3,11:06.0,Z. Pachulia makes 2-pt hook shot from 9 ft (assist by M. Carter-Williams),,55,53
226,3,10:48.0,,K. Thompson misses 2-pt jump shot from 10 ft,55,53
227,3,10:47.0,Defensive rebound by G. Antetokounmpo,,55,53
228,3,10:25.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,55,53
229,3,10:24.0,Offensive rebound by M. Carter-Williams,,55,53
230,3,10:23.0,M. Carter-Williams makes 2-pt jump shot from 8 ft,,57,53
231,3,10:23.0,Shooting foul by A. Bogut (drawn by M. Carter-Williams),,57,53
232,3,10:23.0,M. Carter-Williams makes free throw 1 of 1,,58,53
233,3,10:05.0,,Turnover by H. Barnes (lost ball; steal by K. Middleton),58,53
234,3,10:00.0,Turnover by G. Antetokounmpo (offensive goaltending),,58,53
235,3,9:42.0,,Turnover by S. Curry (bad pass),58,53
236,3,9:29.0,M. Carter-Williams misses 2-pt jump shot from 18 ft,,58,53
237,3,9:26.0,,Defensive rebound by D. Green,58,53
238,3,9:20.0,,S. Curry misses 3-pt jump shot from 27 ft,58,53
239,3,9:19.0,Defensive rebound by G. Antetokounmpo,,58,53
240,3,9:11.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Green),,58,53
241,3,8:58.0,,D. Green misses 3-pt jump shot from 26 ft,58,53
242,3,8:56.0,,Offensive rebound by D. Green,58,53
243,3,8:52.0,,S. Curry misses 3-pt jump shot from 25 ft,58,53
244,3,8:50.0,Defensive rebound by G. Antetokounmpo,,58,53
245,3,8:38.0,J. Dudley makes 2-pt jump shot from 13 ft (assist by Z. Pachulia),,60,53
