,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
227,3,9:07.0,,M. Morris misses free throw 1 of 1,62,68
228,3,9:05.0,Defensive rebound by T. Young,,62,68
229,3,8:46.0,Turnover by M. Williams (bad pass),,62,68
230,3,8:46.0,M. Raduljica enters the game for G. Dieng,,62,68
231,3,8:30.0,,Turnover by G. Dragić (discontinued dribble),62,68
232,3,8:16.0,Shooting foul by G. Dragić (drawn by C. Budinger),,62,68
233,3,8:16.0,C. Budinger makes free throw 1 of 2,,63,68
234,3,8:16.0,C. Budinger misses free throw 2 of 2,,63,68
235,3,8:15.0,,Defensive rebound by A. Len,63,68
236,3,7:56.0,,M. Morris misses 2-pt jump shot from 7 ft,63,68
237,3,7:54.0,Defensive rebound by T. Young,,63,68
238,3,7:42.0,C. Budinger misses 3-pt jump shot from 25 ft,,63,68
239,3,7:40.0,,Defensive rebound by A. Len,63,68
240,3,7:27.0,,Personal foul by M. Raduljica (drawn by A. Len),63,68
241,3,7:21.0,,G. Dragić misses 2-pt jump shot from 22 ft,63,68
242,3,7:19.0,Defensive rebound by T. Young,,63,68
243,3,7:16.0,A. Wiggins makes 2-pt layup at rim (assist by M. Williams),,65,68
244,3,6:55.0,,G. Dragić makes 2-pt layup from 1 ft,65,70
245,3,6:34.0,M. Williams makes 2-pt jump shot from 16 ft (assist by T. Young),,67,70
246,3,6:19.0,,Personal foul by M. Raduljica (drawn by A. Len),67,70
247,3,6:19.0,,M. Plumlee enters the game for A. Len,67,70
248,3,6:08.0,,M. Morris misses 2-pt jump shot from 9 ft,67,70
249,3,6:06.0,Defensive rebound by C. Budinger,,67,70
250,3,6:00.0,T. Young misses 2-pt layup from 2 ft,,67,70
251,3,5:58.0,Offensive rebound by T. Young,,67,70
252,3,5:55.0,Turnover by M. Raduljica (bad pass; steal by M. Plumlee),,67,70
253,3,5:55.0,,Personal foul by M. Williams (drawn by G. Dragić),67,70
254,3,5:55.0,,Phoenix full timeout,67,70
255,3,5:42.0,,M. Morris misses 2-pt jump shot from 6 ft,67,70
256,3,5:42.0,,Offensive rebound by Team,67,70
257,3,5:42.0,Loose ball foul by C. Budinger (drawn by E. Bledsoe),,67,70
258,3,5:42.0,,E. Bledsoe makes free throw 1 of 2,67,71
259,3,5:42.0,,E. Bledsoe makes free throw 2 of 2,67,72
260,3,5:23.0,A. Wiggins makes 2-pt dunk at rim,,69,72
261,3,5:06.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,69,74
262,3,4:46.0,M. Raduljica misses 2-pt jump shot from 3 ft,,69,74
263,3,4:44.0,,Defensive rebound by M. Plumlee,69,74
264,3,4:36.0,,M. Plumlee makes 2-pt layup at rim (assist by G. Dragić),69,76
265,3,4:17.0,A. Wiggins misses 2-pt jump shot from 19 ft,,69,76
266,3,4:16.0,,Defensive rebound by P. Tucker,69,76
267,3,4:13.0,,Offensive foul by M. Morris (drawn by A. Wiggins),69,76
268,3,4:13.0,,Turnover by M. Morris (offensive foul),69,76
269,3,4:13.0,A. Bennett enters the game for M. Raduljica,,69,76
270,3,4:13.0,,I. Thomas enters the game for G. Dragić,69,76
271,3,4:00.0,Turnover by T. Young (bad pass; steal by M. Morris),,69,76
272,3,3:54.0,,E. Bledsoe misses 2-pt jump shot from 22 ft,69,76
273,3,3:51.0,Defensive rebound by A. Wiggins,,69,76
274,3,3:44.0,T. Young misses 2-pt jump shot from 18 ft,,69,76
275,3,3:43.0,Offensive rebound by C. Budinger,,69,76
276,3,3:33.0,M. Williams makes 3-pt jump shot from 25 ft,,72,76
277,3,3:17.0,,M. Plumlee makes 2-pt jump shot from 14 ft,72,78
278,3,2:58.0,Turnover by M. Williams (bad pass; steal by I. Thomas),,72,78
279,3,2:55.0,,M. Plumlee makes 2-pt dunk at rim (assist by I. Thomas),72,80
280,3,2:41.0,Minnesota full timeout,,72,80
281,3,2:41.0,R. Hummel enters the game for T. Young,,72,80
282,3,2:41.0,,G. Green enters the game for M. Morris,72,80
283,3,2:41.0,,M. Morris enters the game for E. Bledsoe,72,80
284,3,2:29.0,Turnover by C. Budinger (bad pass),,72,80
285,3,2:17.0,,I. Thomas misses 2-pt layup from 1 ft,72,80
286,3,2:15.0,,Offensive rebound by M. Morris,72,80
287,3,2:15.0,,M. Morris makes 2-pt tip-in from 2 ft,72,82
288,3,1:58.0,C. Budinger misses 3-pt jump shot from 23 ft,,72,82
289,3,1:56.0,,Defensive rebound by P. Tucker,72,82
290,3,1:47.0,,M. Morris makes 2-pt jump shot from 10 ft,72,84
291,3,1:26.0,A. Wiggins misses 2-pt jump shot from 11 ft,,72,84
292,3,1:24.0,Offensive rebound by Team,,72,84
293,3,1:24.0,T. Young enters the game for A. Wiggins,,72,84
294,3,1:10.0,Shooting foul by M. Morris (drawn by T. Young),,72,84
295,3,1:10.0,T. Young makes free throw 1 of 2,,73,84
296,3,1:10.0,T. Young misses free throw 2 of 2,,73,84
297,3,1:09.0,,Defensive rebound by P. Tucker,73,84
298,3,0:58.0,,I. Thomas makes 2-pt layup at rim,73,86
299,3,0:50.0,R. Hummel makes 2-pt layup from 2 ft (assist by A. Bennett),,75,86
300,3,0:29.0,,Turnover by M. Morris (traveling),75,86
301,3,0:06.0,T. Young misses 2-pt jump shot from 12 ft,,75,86
302,3,0:05.0,,Defensive rebound by M. Morris,75,86
303,3,0:03.0,,Turnover by M. Morris (lost ball),75,86
304,3,0:03.0,,Violation by Team (delay of game),75,86
305,3,0:00.0,M. Williams misses 3-pt jump shot from 25 ft,,75,86
306,3,0:00.0,Offensive rebound by Team,,75,86
307,4,11:41.0,,G. Green makes 2-pt layup from 1 ft,75,88
308,4,11:19.0,M. Williams misses 3-pt jump shot from 27 ft,,75,88
309,4,11:17.0,Offensive rebound by R. Hummel,,75,88
310,4,11:03.0,A. Bennett misses 2-pt jump shot from 20 ft,,75,88
311,4,11:01.0,,Defensive rebound by M. Morris,75,88
312,4,10:52.0,,Personal foul by A. Bennett (drawn by M. Plumlee),75,88
313,4,10:52.0,G. Dieng enters the game for T. Young,,75,88
314,4,10:52.0,,Offensive foul by B. Wright (drawn by M. Williams),75,88
315,4,10:52.0,,Turnover by B. Wright (offensive foul),75,88
316,4,10:40.0,Shooting foul by M. Morris (drawn by A. Bennett),,75,88
317,4,10:40.0,A. Bennett makes free throw 1 of 2,,76,88
318,4,10:40.0,Z. LaVine enters the game for M. Williams,,76,88
319,4,10:40.0,A. Bennett makes free throw 2 of 2,,77,88
320,4,10:27.0,,G. Green makes 2-pt jump shot from 18 ft,77,90
321,4,10:11.0,C. Budinger makes 2-pt layup from 1 ft (assist by R. Hummel),,79,90
322,4,10:04.0,,G. Green misses 3-pt jump shot from 23 ft,79,90
323,4,10:01.0,Defensive rebound by C. Budinger,,79,90
324,4,9:58.0,A. Wiggins enters the game for C. Budinger,,79,90
325,4,9:52.0,A. Wiggins misses 2-pt jump shot from 8 ft,,79,90
326,4,9:50.0,,Defensive rebound by M. Plumlee,79,90
327,4,9:43.0,,I. Thomas misses 2-pt jump shot from 13 ft,79,90
328,4,9:41.0,Defensive rebound by G. Dieng,,79,90
329,4,9:25.0,Z. LaVine makes 2-pt jump shot from 17 ft,,81,90
330,4,9:01.0,,M. Morris misses 3-pt jump shot from 24 ft,81,90
331,4,8:59.0,,Offensive rebound by B. Wright,81,90
332,4,8:57.0,Official timeout,,81,90
333,4,8:57.0,,G. Dragić enters the game for M. Plumlee,81,90
334,4,8:50.0,,G. Green misses 2-pt jump shot from 3 ft,81,90
335,4,8:49.0,,Offensive rebound by B. Wright,81,90
336,4,8:49.0,,B. Wright makes 2-pt jump shot from 4 ft,81,92
337,4,8:49.0,,Shooting foul by R. Hummel (drawn by B. Wright),81,92
338,4,8:49.0,,B. Wright misses free throw 1 of 1,81,92
339,4,8:48.0,Defensive rebound by G. Dieng,,81,92
340,4,8:37.0,Z. LaVine misses 2-pt jump shot from 12 ft (block by I. Thomas),,81,92
341,4,8:37.0,Offensive rebound by Team,,81,92
342,4,8:27.0,A. Bennett makes 3-pt jump shot from 24 ft (assist by A. Wiggins),,84,92
343,4,8:11.0,,I. Thomas makes 2-pt jump shot from 22 ft,84,94
344,4,7:57.0,A. Wiggins makes 2-pt jump shot from 7 ft,,86,94
345,4,7:46.0,,G. Green makes 3-pt jump shot from 25 ft (assist by G. Dragić),86,97
346,4,7:22.0,A. Bennett misses 2-pt jump shot from 3 ft (block by B. Wright),,86,97
347,4,7:22.0,Offensive rebound by Team,,86,97
348,4,7:19.0,A. Wiggins misses 3-pt jump shot from 25 ft,,86,97
349,4,7:17.0,,Defensive rebound by M. Morris,86,97
350,4,7:08.0,,G. Green makes 3-pt jump shot from 23 ft (assist by G. Dragić),86,100
351,4,7:07.0,Minnesota full timeout,,86,100
352,4,7:07.0,M. Williams enters the game for R. Hummel,,86,100
353,4,7:07.0,T. Young enters the game for Z. LaVine,,86,100
354,4,6:56.0,Personal foul by G. Green (drawn by T. Young),,86,100
355,4,6:42.0,G. Dieng misses 2-pt jump shot from 11 ft,,86,100
356,4,6:40.0,,Defensive rebound by I. Thomas,86,100
357,4,6:38.0,,B. Wright makes 2-pt dunk at rim (assist by I. Thomas),86,102
358,4,6:19.0,M. Williams makes 2-pt jump shot from 10 ft,,88,102
359,4,6:00.0,,G. Green makes 2-pt layup from 2 ft (assist by M. Morris),88,104
360,4,5:40.0,Personal foul by G. Dragić (drawn by A. Wiggins),,88,104
361,4,5:40.0,T. Daniels enters the game for A. Wiggins,,88,104
362,4,5:40.0,,M. Morris enters the game for M. Morris,88,104
363,4,5:38.0,M. Williams makes 2-pt jump shot from 22 ft (assist by T. Daniels),,90,104
364,4,5:12.0,,B. Wright misses 2-pt jump shot from 11 ft,90,104
365,4,5:10.0,Defensive rebound by A. Bennett,,90,104
366,4,4:58.0,A. Bennett misses 2-pt jump shot from 19 ft,,90,104
367,4,4:57.0,Offensive rebound by G. Dieng,,90,104
368,4,4:54.0,M. Williams misses 3-pt jump shot from 24 ft,,90,104
369,4,4:52.0,Offensive rebound by A. Bennett,,90,104
370,4,4:48.0,T. Daniels makes 2-pt jump shot from 18 ft (assist by A. Bennett),,92,104
371,4,4:25.0,,G. Dragić makes 2-pt layup from 2 ft,92,106
372,4,4:00.0,Shooting foul by B. Wright (drawn by A. Bennett),,92,106
373,4,4:00.0,A. Bennett misses free throw 1 of 2,,92,106
374,4,4:00.0,Offensive rebound by Team,,92,106
375,4,4:00.0,,E. Bledsoe enters the game for I. Thomas,92,106
376,4,4:00.0,A. Bennett misses free throw 2 of 2,,92,106
377,4,3:58.0,,Defensive rebound by M. Morris,92,106
378,4,3:42.0,,B. Wright makes 2-pt dunk at rim (assist by G. Dragić),92,108
379,4,3:24.0,M. Williams makes 3-pt jump shot from 25 ft (assist by T. Daniels),,95,108
380,4,3:10.0,,G. Dragić misses 2-pt jump shot from 15 ft,95,108
381,4,3:08.0,Defensive rebound by M. Williams,,95,108
