,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
249,3,7:49.0,,J. Holiday makes 3-pt jump shot from 24 ft,62,69
250,3,7:48.0,Phoenix full timeout,,62,69
251,3,7:27.0,G. Dragić makes 2-pt jump shot from 15 ft,,64,69
252,3,7:04.0,,J. Holiday makes 2-pt jump shot from 13 ft,64,71
253,3,6:35.0,E. Bledsoe makes 2-pt layup from 2 ft,,66,71
254,3,6:27.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),66,73
255,3,6:07.0,Personal foul by A. Rivers (drawn by G. Dragić),,66,73
256,3,6:03.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by P. Tucker),,69,73
257,3,5:40.0,,J. Holiday misses 2-pt jump shot from 6 ft,69,73
258,3,5:37.0,,Offensive rebound by A. Davis,69,73
259,3,5:27.0,,Turnover by A. Davis (lost ball; steal by P. Tucker),69,73
260,3,5:22.0,G. Dragić makes 2-pt layup from 1 ft,,71,73
261,3,4:56.0,,T. Evans misses 3-pt jump shot from 28 ft,71,73
262,3,4:55.0,Defensive rebound by A. Len,,71,73
263,3,4:49.0,M. Morris misses 2-pt layup from 2 ft,,71,73
264,3,4:47.0,,Defensive rebound by A. Davis,71,73
265,3,4:41.0,,T. Evans misses 2-pt layup from 1 ft,71,73
266,3,4:39.0,Defensive rebound by A. Len,,71,73
267,3,4:28.0,G. Dragić makes 2-pt jump shot from 6 ft,,73,73
268,3,3:58.0,,A. Davis misses 2-pt jump shot from 11 ft,73,73
269,3,3:57.0,Defensive rebound by A. Len,,73,73
270,3,3:49.0,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),,75,73
271,3,3:49.0,,New Orleans full timeout,75,73
272,3,3:49.0,,R. Anderson enters the game for Ö. Aşık,75,73
273,3,3:49.0,I. Thomas enters the game for G. Dragić,,75,73
274,3,3:49.0,M. Morris enters the game for A. Len,,75,73
275,3,3:35.0,,T. Evans misses 2-pt layup from 1 ft,75,73
276,3,3:34.0,Defensive rebound by M. Morris,,75,73
277,3,3:27.0,P. Tucker misses 2-pt jump shot from 1 ft,,75,73
278,3,3:24.0,Offensive rebound by M. Morris,,75,73
279,3,3:24.0,M. Morris makes 2-pt layup from 2 ft,,77,73
280,3,3:04.0,,A. Davis misses 2-pt jump shot from 3 ft,77,73
281,3,3:04.0,,Offensive rebound by A. Davis,77,73
282,3,3:04.0,Loose ball foul by M. Morris (drawn by A. Davis),,77,73
283,3,3:04.0,,J. Fredette enters the game for J. Holiday,77,73
284,3,3:04.0,G. Green enters the game for E. Bledsoe,,77,73
285,3,3:04.0,,D. Cunningham enters the game for A. Rivers,77,73
286,3,2:48.0,,Shooting block foul by M. Morris (drawn by T. Evans),77,73
287,3,2:48.0,,T. Evans makes free throw 1 of 2,77,74
288,3,2:48.0,M. Plumlee enters the game for M. Morris,,77,74
289,3,2:48.0,,T. Evans makes free throw 2 of 2,77,75
290,3,2:29.0,M. Morris misses 3-pt jump shot from 24 ft,,77,75
291,3,2:28.0,Offensive rebound by I. Thomas,,77,75
292,3,2:14.0,M. Morris makes 2-pt jump shot from 3 ft,,79,75
293,3,1:55.0,,J. Fredette makes 2-pt layup from 3 ft,79,77
294,3,1:45.0,I. Thomas misses 2-pt jump shot from 16 ft,,79,77
295,3,1:41.0,,Defensive rebound by A. Davis,79,77
296,3,1:22.0,,Shooting foul by M. Morris (drawn by T. Evans),79,77
297,3,1:22.0,,T. Evans misses free throw 1 of 2,79,77
298,3,1:22.0,,Offensive rebound by Team,79,77
299,3,1:22.0,,T. Evans misses free throw 2 of 2,79,77
300,3,1:21.0,Defensive rebound by P. Tucker,,79,77
301,3,1:07.0,G. Green misses 2-pt jump shot from 22 ft,,79,77
302,3,1:06.0,,Defensive rebound by D. Cunningham,79,77
303,3,1:00.0,Violation by M. Plumlee (def goaltending),,79,77
304,3,1:00.0,,R. Anderson makes 2-pt layup from 2 ft,79,79
305,3,0:45.0,I. Thomas misses 2-pt jump shot from 20 ft,,79,79
306,3,0:43.0,,Defensive rebound by A. Davis,79,79
307,3,0:24.0,,A. Davis misses 2-pt jump shot from 3 ft,79,79
308,3,0:23.0,,Offensive rebound by R. Anderson,79,79
309,3,0:23.0,,R. Anderson makes 2-pt layup from 2 ft,79,81
310,3,0:04.0,Personal foul by J. Fredette (drawn by I. Thomas),,79,81
311,3,0:04.0,,A. Rivers enters the game for T. Evans,79,81
312,4,11:50.0,,Personal foul by I. Thomas (drawn by J. Fredette),79,81
313,4,11:39.0,,D. Cunningham misses 2-pt jump shot from 3 ft,79,81
314,4,11:38.0,,Offensive rebound by D. Cunningham,79,81
315,4,11:37.0,,Turnover by D. Cunningham (traveling),79,81
316,4,11:21.0,G. Green misses 2-pt jump shot from 17 ft,,79,81
317,4,11:20.0,Offensive rebound by M. Plumlee,,79,81
318,4,11:20.0,M. Plumlee makes 2-pt tip-in from 1 ft,,81,81
319,4,10:57.0,,A. Davis misses 2-pt jump shot from 4 ft,81,81
320,4,10:55.0,Defensive rebound by M. Plumlee,,81,81
321,4,10:50.0,I. Thomas misses 2-pt layup from 1 ft,,81,81
322,4,10:48.0,,Defensive rebound by A. Davis,81,81
323,4,10:39.0,,A. Rivers misses 2-pt layup from 1 ft (block by M. Morris),81,81
324,4,10:38.0,,Offensive rebound by J. Fredette,81,81
325,4,10:33.0,,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Fredette),81,84
326,4,10:13.0,G. Dragić misses 2-pt layup from 2 ft,,81,84
327,4,10:12.0,Offensive rebound by M. Plumlee,,81,84
328,4,10:12.0,M. Plumlee makes 2-pt dunk at rim,,83,84
329,4,9:51.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by R. Anderson),83,86
330,4,9:51.0,,Shooting foul by G. Dragić (drawn by D. Cunningham),83,86
331,4,9:51.0,,D. Cunningham misses free throw 1 of 1,83,86
332,4,9:49.0,Defensive rebound by M. Plumlee,,83,86
333,4,9:34.0,G. Dragić misses 2-pt layup from 1 ft,,83,86
334,4,9:32.0,Offensive rebound by M. Morris,,83,86
335,4,9:23.0,I. Thomas misses 2-pt layup from 1 ft,,83,86
336,4,9:22.0,,Defensive rebound by R. Anderson,83,86
337,4,9:16.0,,Shooting foul by G. Green (drawn by A. Davis),83,86
338,4,9:16.0,,A. Davis makes free throw 1 of 2,83,87
339,4,9:16.0,,A. Davis makes free throw 2 of 2,83,88
340,4,9:06.0,Personal foul by D. Cunningham (drawn by G. Green),,83,88
341,4,8:56.0,Official timeout,,83,88
342,4,8:56.0,A. Len enters the game for M. Plumlee,,83,88
343,4,8:54.0,M. Morris misses 3-pt jump shot from 24 ft,,83,88
344,4,8:52.0,,Defensive rebound by A. Davis,83,88
345,4,8:33.0,,Turnover by R. Anderson (lost ball; steal by M. Morris),83,88
346,4,8:33.0,,Loose ball foul by R. Anderson (drawn by M. Morris),83,88
347,4,8:33.0,E. Bledsoe enters the game for I. Thomas,,83,88
348,4,8:33.0,M. Morris enters the game for M. Morris,,83,88
349,4,8:15.0,G. Green misses 2-pt jump shot from 12 ft,,83,88
350,4,8:14.0,,Defensive rebound by A. Davis,83,88
351,4,8:03.0,,J. Fredette misses 3-pt jump shot from 23 ft,83,88
352,4,8:02.0,Defensive rebound by G. Green,,83,88
353,4,7:56.0,Shooting foul by D. Cunningham (drawn by G. Green),,83,88
354,4,7:56.0,G. Green makes free throw 1 of 2,,84,88
355,4,7:56.0,,J. Holiday enters the game for A. Rivers,84,88
356,4,7:56.0,G. Green makes free throw 2 of 2,,85,88
357,4,7:44.0,,Turnover by J. Holiday (lost ball),85,88
358,4,7:24.0,M. Morris misses 2-pt layup from 1 ft,,85,88
359,4,7:23.0,,Defensive rebound by A. Davis,85,88
360,4,7:13.0,,R. Anderson makes 3-pt jump shot from 24 ft,85,91
361,4,6:47.0,M. Morris misses 2-pt layup from 2 ft,,85,91
362,4,6:46.0,,Defensive rebound by A. Davis,85,91
363,4,6:29.0,,A. Davis misses 2-pt jump shot from 17 ft,85,91
364,4,6:27.0,Defensive rebound by A. Len,,85,91
365,4,6:24.0,Shooting block foul by J. Holiday (drawn by E. Bledsoe),,85,91
366,4,6:24.0,E. Bledsoe makes free throw 1 of 2,,86,91
367,4,6:24.0,P. Tucker enters the game for A. Len,,86,91
368,4,6:24.0,,T. Evans enters the game for J. Fredette,86,91
