,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
263,3,8:17.0,Defensive rebound by L. Mbah a Moute,,45,66
264,3,8:13.0,Shooting foul by M. Gasol (drawn by R. Covington),,45,66
265,3,8:13.0,R. Covington makes free throw 1 of 2,,46,66
266,3,8:13.0,R. Covington makes free throw 2 of 2,,47,66
267,3,7:55.0,,Z. Randolph makes 2-pt jump shot from 6 ft,47,68
268,3,7:40.0,L. Mbah a Moute misses 3-pt jump shot from 26 ft,,47,68
269,3,7:39.0,,Defensive rebound by M. Gasol,47,68
270,3,7:31.0,,Turnover by M. Gasol (bad pass),47,68
271,3,7:21.0,Turnover by F. Aldemir (lost ball; steal by M. Conley),,47,68
272,3,7:11.0,,Turnover by C. Lee (lost ball),47,68
273,3,6:57.0,K. McDaniels misses 2-pt jump shot from 9 ft,,47,68
274,3,6:56.0,,Defensive rebound by Z. Randolph,47,68
275,3,6:46.0,,M. Gasol misses 2-pt jump shot from 17 ft,47,68
276,3,6:45.0,Defensive rebound by K. McDaniels,,47,68
277,3,6:40.0,Personal foul by Z. Randolph (drawn by K. McDaniels),,47,68
278,3,6:32.0,R. Covington misses 3-pt jump shot from 26 ft,,47,68
279,3,6:31.0,,Defensive rebound by Z. Randolph,47,68
280,3,6:19.0,,M. Gasol makes 2-pt jump shot from 3 ft (assist by Z. Randolph),47,70
281,3,6:19.0,,Shooting foul by F. Aldemir (drawn by M. Gasol),47,70
282,3,6:19.0,,M. Gasol misses free throw 1 of 1,47,70
283,3,6:18.0,Defensive rebound by F. Aldemir,,47,70
284,3,6:02.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,47,70
285,3,6:00.0,Offensive rebound by F. Aldemir,,47,70
286,3,5:48.0,K. McDaniels misses 2-pt jump shot from 15 ft,,47,70
287,3,5:46.0,,Defensive rebound by Z. Randolph,47,70
288,3,5:39.0,,Turnover by M. Conley (bad pass; steal by R. Covington),47,70
289,3,5:25.0,K. McDaniels makes 2-pt dunk at rim,,49,70
290,3,5:24.0,,Memphis full timeout,49,70
291,3,5:12.0,,Turnover by M. Conley (bad pass; steal by K. McDaniels),49,70
292,3,5:06.0,R. Covington misses 2-pt jump shot from 16 ft,,49,70
293,3,5:04.0,,Defensive rebound by Z. Randolph,49,70
294,3,4:50.0,,Z. Randolph makes 3-pt jump shot from 25 ft (assist by M. Conley),49,73
295,3,4:32.0,Turnover by K. McDaniels (bad pass),,49,73
296,3,4:19.0,,M. Conley misses 3-pt jump shot from 24 ft,49,73
297,3,4:18.0,Defensive rebound by M. Carter-Williams,,49,73
298,3,4:10.0,M. Carter-Williams misses 2-pt jump shot from 7 ft,,49,73
299,3,4:08.0,Offensive rebound by Team,,49,73
300,3,4:08.0,,Loose ball foul by M. Gasol (drawn by M. Carter-Williams),49,73
301,3,4:08.0,H. Thompson enters the game for L. Mbah a Moute,,49,73
302,3,4:08.0,J. Grant enters the game for R. Covington,,49,73
303,3,3:46.0,M. Carter-Williams makes 3-pt jump shot from 25 ft (assist by H. Thompson),,52,73
304,3,3:23.0,,Z. Randolph makes 2-pt layup at rim (assist by M. Gasol),52,75
305,3,3:02.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,52,75
306,3,3:01.0,,Defensive rebound by Team,52,75
307,3,3:00.0,,T. Allen enters the game for C. Lee,52,75
308,3,3:00.0,,B. Udrih enters the game for M. Conley,52,75
309,3,3:00.0,J. Sampson enters the game for K. McDaniels,,52,75
310,3,2:48.0,,J. Green makes 2-pt layup from 1 ft,52,77
311,3,2:47.0,Philadelphia full timeout,,52,77
312,3,2:47.0,L. Drew enters the game for M. Carter-Williams,,52,77
313,3,2:29.0,J. Grant makes 3-pt jump shot from 22 ft (assist by L. Drew),,55,77
314,3,2:11.0,,T. Allen misses 3-pt jump shot from 24 ft,55,77
315,3,2:10.0,Defensive rebound by F. Aldemir,,55,77
316,3,2:04.0,L. Drew makes 2-pt jump shot from 8 ft,,57,77
317,3,2:04.0,Shooting foul by M. Gasol (drawn by L. Drew),,57,77
318,3,2:04.0,L. Drew makes free throw 1 of 1,,58,77
319,3,1:47.0,,B. Udrih makes 2-pt layup at rim (assist by M. Gasol),58,79
320,3,1:30.0,J. Grant misses 2-pt jump shot from 6 ft,,58,79
321,3,1:29.0,Offensive rebound by H. Thompson,,58,79
322,3,1:26.0,H. Thompson misses 2-pt layup at rim (block by M. Gasol),,58,79
323,3,1:25.0,Offensive rebound by F. Aldemir,,58,79
324,3,1:21.0,L. Drew misses 3-pt jump shot from 25 ft,,58,79
325,3,1:19.0,,Defensive rebound by M. Gasol,58,79
326,3,1:09.0,,Shooting foul by J. Sampson (drawn by J. Green),58,79
327,3,1:09.0,,J. Green makes free throw 1 of 2,58,80
328,3,1:09.0,,K. Koufos enters the game for M. Gasol,58,80
329,3,1:09.0,,V. Carter enters the game for Z. Randolph,58,80
330,3,1:09.0,,J. Green makes free throw 2 of 2,58,81
331,3,0:59.0,J. Grant misses 2-pt dunk at rim,,58,81
332,3,0:57.0,,Defensive rebound by B. Udrih,58,81
333,3,0:52.0,,V. Carter misses 3-pt jump shot from 26 ft,58,81
334,3,0:50.0,Defensive rebound by H. Thompson,,58,81
335,3,0:40.0,J. Sampson makes 2-pt layup from 1 ft,,60,81
336,3,0:30.0,,B. Udrih misses 2-pt jump shot from 17 ft,60,81
337,3,0:29.0,Defensive rebound by F. Aldemir,,60,81
338,3,0:11.0,Personal foul by K. Koufos (drawn by J. Grant),,60,81
339,3,0:11.0,J. Grant makes free throw 1 of 2,,61,81
340,3,0:11.0,K. McDaniels enters the game for F. Aldemir,,61,81
341,3,0:11.0,J. Grant misses free throw 2 of 2,,61,81
342,3,0:10.0,,Defensive rebound by K. Koufos,61,81
343,3,0:01.0,,V. Carter misses 3-pt jump shot from 23 ft,61,81
344,3,0:00.0,,Offensive rebound by Team,61,81
345,4,11:42.0,,B. Udrih misses 2-pt jump shot from 8 ft,61,81
346,4,11:41.0,Defensive rebound by N. Noel,,61,81
347,4,11:20.0,J. Grant misses 3-pt jump shot from 23 ft,,61,81
348,4,11:19.0,Offensive rebound by H. Thompson,,61,81
349,4,11:15.0,H. Thompson misses 2-pt tip-in at rim,,61,81
350,4,11:13.0,,Defensive rebound by J. Green,61,81
351,4,11:05.0,,Shooting foul by H. Thompson (drawn by K. Koufos),61,81
352,4,11:05.0,,K. Koufos makes free throw 1 of 2,61,82
353,4,11:05.0,,K. Koufos makes free throw 2 of 2,61,83
354,4,10:45.0,J. Grant makes 2-pt dunk at rim (assist by L. Drew),,63,83
355,4,10:31.0,,J. Green makes 3-pt jump shot from 23 ft (assist by B. Udrih),63,86
356,4,10:29.0,Philadelphia full timeout,,63,86
357,4,10:29.0,Turnover by J. Grant (bad pass),,63,86
358,4,10:20.0,,Turnover by J. Green (bad pass; steal by N. Noel),63,86
359,4,10:17.0,Shooting foul by T. Allen (drawn by J. Grant),,63,86
360,4,10:17.0,J. Grant makes free throw 1 of 2,,64,86
361,4,10:17.0,J. Grant makes free throw 2 of 2,,65,86
362,4,10:00.0,,Turnover by K. Koufos (traveling),65,86
363,4,10:00.0,,Violation by Team (jump ball),65,86
364,4,9:47.0,H. Thompson misses 3-pt jump shot from 24 ft,,65,86
365,4,9:45.0,,Defensive rebound by K. Koufos,65,86
366,4,9:38.0,,V. Carter misses 3-pt jump shot from 24 ft,65,86
367,4,9:35.0,,Offensive rebound by K. Koufos,65,86
368,4,9:35.0,,K. Koufos misses 2-pt tip-in at rim,65,86
369,4,9:33.0,Defensive rebound by J. Grant,,65,86
370,4,9:32.0,Shooting foul by V. Carter (drawn by J. Grant),,65,86
371,4,9:32.0,J. Grant misses free throw 1 of 2,,65,86
372,4,9:32.0,Offensive rebound by Team,,65,86
373,4,9:32.0,,J. Leuer enters the game for J. Green,65,86
374,4,9:32.0,J. Grant misses free throw 2 of 2,,65,86
375,4,9:31.0,,Defensive rebound by J. Leuer,65,86
376,4,9:15.0,,K. Koufos misses 2-pt hook shot from 4 ft,65,86
377,4,9:14.0,,Offensive rebound by V. Carter,65,86
378,4,9:14.0,,V. Carter makes 2-pt tip-in at rim,65,88
379,4,9:04.0,Personal foul by V. Carter (drawn by N. Noel),,65,88
