,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
242,3,9:37.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by C. Paul),48,59
243,3,9:27.0,Turnover by J. Smith (bad pass; steal by J. Redick),,48,59
244,3,9:25.0,,Shooting foul by K. Singler (drawn by B. Griffin),48,59
245,3,9:25.0,,B. Griffin makes free throw 1 of 2,48,60
246,3,9:25.0,,B. Griffin makes free throw 2 of 2,48,61
247,3,9:09.0,J. Smith misses 2-pt jump shot from 19 ft,,48,61
248,3,9:08.0,,Defensive rebound by D. Jordan,48,61
249,3,8:55.0,,B. Griffin misses 2-pt jump shot from 17 ft,48,61
250,3,8:54.0,,Offensive rebound by D. Jordan,48,61
251,3,8:50.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by M. Barnes),48,64
252,3,8:27.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Jennings),,50,64
253,3,8:10.0,,Turnover by M. Barnes (bad pass; steal by K. Caldwell-Pope),50,64
254,3,8:05.0,Turnover by K. Caldwell-Pope (lost ball),,50,64
255,3,7:47.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Griffin),50,66
256,3,7:21.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,50,66
257,3,7:20.0,,Defensive rebound by C. Paul,50,66
258,3,7:13.0,,D. Jordan misses 2-pt dunk at rim,50,66
259,3,7:13.0,Defensive rebound by Team,,50,66
260,3,7:05.0,Personal foul by J. Redick (drawn by K. Caldwell-Pope),,50,66
261,3,7:05.0,,Technical foul by J. Redick,50,66
262,3,7:05.0,B. Jennings makes technical free throw,,51,66
263,3,7:05.0,,J. Crawford enters the game for J. Redick,51,66
264,3,6:53.0,J. Smith makes 2-pt hook shot from 1 ft,,53,66
265,3,6:41.0,,Personal foul by B. Jennings (drawn by D. Jordan),53,66
266,3,6:25.0,,B. Griffin misses 2-pt jump shot from 18 ft,53,66
267,3,6:24.0,Defensive rebound by K. Caldwell-Pope,,53,66
268,3,6:11.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,53,66
269,3,6:09.0,,Defensive rebound by D. Jordan,53,66
270,3,5:57.0,,C. Paul misses 3-pt jump shot from 22 ft,53,66
271,3,5:55.0,Defensive rebound by A. Drummond,,53,66
272,3,5:48.0,Personal foul by M. Barnes (drawn by B. Jennings),,53,66
273,3,5:48.0,,LA Clippers full timeout,53,66
274,3,5:36.0,K. Singler misses 3-pt jump shot from 23 ft,,53,66
275,3,5:33.0,,Defensive rebound by B. Griffin,53,66
276,3,5:25.0,,M. Barnes makes 3-pt jump shot from 22 ft (assist by B. Griffin),53,69
277,3,5:06.0,J. Smith misses 2-pt jump shot from 19 ft,,53,69
278,3,5:04.0,,Defensive rebound by J. Crawford,53,69
279,3,4:57.0,,M. Barnes makes 3-pt jump shot from 23 ft (assist by J. Crawford),53,72
280,3,4:57.0,,Shooting foul by K. Singler (drawn by M. Barnes),53,72
281,3,4:57.0,J. Meeks enters the game for K. Singler,,53,72
282,3,4:57.0,,M. Barnes makes free throw 1 of 1,53,73
283,3,4:43.0,Shooting foul by D. Jordan (drawn by K. Caldwell-Pope),,53,73
284,3,4:43.0,K. Caldwell-Pope misses free throw 1 of 2,,53,73
285,3,4:43.0,Offensive rebound by Team,,53,73
286,3,4:43.0,K. Caldwell-Pope misses free throw 2 of 2,,53,73
287,3,4:41.0,,Defensive rebound by D. Jordan,53,73
288,3,4:20.0,,Turnover by J. Crawford (bad pass; steal by A. Drummond),53,73
289,3,4:16.0,K. Caldwell-Pope misses 2-pt dunk at rim,,53,73
290,3,4:13.0,,Defensive rebound by Team,53,73
291,3,4:05.0,,C. Paul makes 2-pt jump shot from 7 ft,53,75
292,3,3:47.0,Turnover by K. Caldwell-Pope (bad pass; steal by B. Griffin),,53,75
293,3,3:36.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by M. Barnes),53,78
294,3,3:35.0,Detroit full timeout,,53,78
295,3,3:35.0,G. Monroe enters the game for J. Smith,,53,78
296,3,3:35.0,D. Augustin enters the game for B. Jennings,,53,78
297,3,3:17.0,J. Meeks misses 2-pt jump shot from 18 ft,,53,78
298,3,3:16.0,,Defensive rebound by J. Crawford,53,78
299,3,3:03.0,,Shooting foul by K. Caldwell-Pope (drawn by D. Jordan),53,78
300,3,3:03.0,,D. Jordan makes free throw 1 of 2,53,79
301,3,3:03.0,,J. Farmar enters the game for C. Paul,53,79
302,3,3:03.0,,D. Jordan misses free throw 2 of 2,53,79
303,3,3:01.0,Defensive rebound by A. Drummond,,53,79
304,3,2:47.0,J. Meeks makes 3-pt jump shot from 22 ft (assist by D. Augustin),,56,79
305,3,2:22.0,,J. Crawford misses 3-pt jump shot from 25 ft,56,79
306,3,2:21.0,Defensive rebound by K. Caldwell-Pope,,56,79
307,3,2:16.0,Shooting foul by D. Jordan (drawn by G. Monroe),,56,79
308,3,2:16.0,G. Monroe makes free throw 1 of 2,,57,79
309,3,2:16.0,,G. Davis enters the game for D. Jordan,57,79
310,3,2:16.0,G. Monroe makes free throw 2 of 2,,58,79
311,3,2:02.0,,J. Farmar misses 3-pt jump shot from 25 ft,58,79
312,3,2:01.0,Defensive rebound by A. Drummond,,58,79
313,3,1:53.0,Shooting foul by M. Barnes (drawn by J. Meeks),,58,79
314,3,1:53.0,J. Meeks makes free throw 1 of 2,,59,79
315,3,1:53.0,,C. Douglas-Roberts enters the game for M. Barnes,59,79
316,3,1:53.0,J. Meeks makes free throw 2 of 2,,60,79
317,3,1:41.0,,J. Farmar misses 3-pt jump shot from 23 ft,60,79
318,3,1:40.0,Defensive rebound by A. Drummond,,60,79
319,3,1:35.0,Personal foul by G. Davis (drawn by G. Monroe),,60,79
320,3,1:35.0,G. Monroe makes free throw 1 of 2,,61,79
321,3,1:35.0,G. Monroe misses free throw 2 of 2,,61,79
322,3,1:34.0,,Defensive rebound by G. Davis,61,79
323,3,1:19.0,,Shooting foul by J. Meeks (drawn by J. Crawford),61,79
324,3,1:19.0,,J. Crawford makes free throw 1 of 2,61,80
325,3,1:19.0,,J. Crawford makes free throw 2 of 2,61,81
326,3,0:49.0,,J. Crawford misses 2-pt jump shot from 4 ft,61,81
327,3,0:48.0,Defensive rebound by G. Monroe,,61,81
328,3,0:38.0,Shooting foul by B. Griffin (drawn by A. Drummond),,61,81
329,3,0:38.0,A. Drummond misses free throw 1 of 2,,61,81
330,3,0:38.0,Offensive rebound by Team,,61,81
331,3,0:38.0,A. Drummond misses free throw 2 of 2,,61,81
332,3,0:37.0,,Defensive rebound by C. Douglas-Roberts,61,81
333,3,0:28.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by J. Crawford),61,84
334,3,0:08.0,G. Monroe makes 2-pt layup from 2 ft (assist by J. Meeks),,63,84
335,3,0:04.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Crawford),63,84
336,3,0:04.0,,J. Crawford makes free throw 1 of 2,63,85
337,3,0:04.0,,J. Crawford makes free throw 2 of 2,63,86
338,3,0:01.0,D. Augustin misses 3-pt jump shot from 25 ft (block by J. Farmar),,63,86
339,3,0:00.0,Offensive rebound by Team,,63,86
340,4,11:47.0,,C. Douglas-Roberts makes 2-pt layup from 1 ft (assist by J. Farmar),63,88
341,4,11:29.0,Turnover by D. Augustin (bad pass; steal by D. Jordan),,63,88
342,4,11:07.0,,G. Davis makes 2-pt jump shot from 15 ft (assist by C. Douglas-Roberts),63,90
343,4,10:42.0,J. Meeks makes 2-pt jump shot from 11 ft,,65,90
344,4,10:42.0,Shooting foul by D. Jordan (drawn by J. Meeks),,65,90
345,4,10:42.0,J. Meeks makes free throw 1 of 1,,66,90
346,4,10:29.0,,J. Farmar misses 3-pt jump shot from 25 ft,66,90
347,4,10:28.0,Defensive rebound by J. Jerebko,,66,90
348,4,10:16.0,J. Jerebko makes 2-pt jump shot from 8 ft (assist by D. Augustin),,68,90
349,4,10:10.0,,Turnover by J. Farmar (bad pass),68,90
350,4,9:54.0,C. Butler misses 2-pt jump shot from 19 ft,,68,90
351,4,9:53.0,,Defensive rebound by D. Jordan,68,90
352,4,9:35.0,,J. Farmar misses 2-pt jump shot from 13 ft,68,90
353,4,9:33.0,,Offensive rebound by D. Jordan,68,90
354,4,9:31.0,,D. Jordan makes 2-pt layup at rim,68,92
355,4,9:15.0,J. Jerebko makes 3-pt jump shot from 24 ft (assist by D. Augustin),,71,92
356,4,8:57.0,,G. Davis makes 2-pt dunk at rim (assist by J. Crawford),71,94
357,4,8:46.0,Detroit full timeout,,71,94
358,4,8:46.0,S. Dinwiddie enters the game for D. Augustin,,71,94
359,4,8:46.0,G. Monroe enters the game for A. Drummond,,71,94
360,4,8:45.0,C. Butler makes 2-pt jump shot from 12 ft (assist by J. Jerebko),,73,94
361,4,8:26.0,,G. Davis misses 2-pt layup from 2 ft,73,94
362,4,8:24.0,Defensive rebound by J. Jerebko,,73,94
363,4,8:11.0,J. Meeks makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,76,94
364,4,7:57.0,,Personal foul by J. Meeks (drawn by J. Crawford),76,94
365,4,7:57.0,,H. Türkoğlu enters the game for D. Jordan,76,94
366,4,7:42.0,,J. Crawford misses 2-pt jump shot from 15 ft,76,94
367,4,7:40.0,Defensive rebound by J. Jerebko,,76,94
368,4,7:31.0,G. Monroe makes 2-pt layup from 1 ft (assist by J. Jerebko),,78,94
369,4,7:31.0,,LA Clippers full timeout,78,94
