,QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
309,4,9:47.0,A. Toupane misses 3-pt jump shot from 24 ft,,80,81
310,4,9:46.0,,Defensive rebound by D. Cunningham,80,81
311,4,9:37.0,,J. Hamilton makes 3-pt jump shot from 24 ft (assist by T. Frazier),80,84
312,4,9:17.0,D. Augustin makes 2-pt jump shot from 15 ft,,82,84
313,4,9:16.0,Violation by Team (jump ball),,82,84
314,4,8:59.0,,J. Hamilton misses 2-pt jump shot from 9 ft,82,84
315,4,8:58.0,,Offensive rebound by J. Ennis,82,84
316,4,8:55.0,,J. Ennis misses 2-pt layup from 2 ft,82,84
317,4,8:53.0,,Offensive rebound by J. Ennis,82,84
318,4,8:50.0,,J. Ennis misses 2-pt layup from 2 ft,82,84
319,4,8:49.0,,Offensive rebound by J. Ennis,82,84
320,4,8:45.0,,J. Hamilton makes 2-pt layup at rim (assist by T. Frazier),82,86
321,4,8:24.0,D. Augustin misses 2-pt jump shot from 17 ft,,82,86
322,4,8:23.0,,Defensive rebound by J. Hamilton,82,86
323,4,8:14.0,,J. Hamilton misses 3-pt jump shot from 25 ft,82,86
324,4,8:13.0,Defensive rebound by D. Arthur,,82,86
325,4,8:06.0,Personal foul by T. Frazier,,82,86
326,4,8:06.0,Official timeout,,82,86
327,4,8:06.0,,L. Babbitt enters the game for J. Ennis,82,86
328,4,7:52.0,D. Arthur misses 2-pt jump shot from 13 ft,,82,86
329,4,7:51.0,,Defensive rebound by T. Frazier,82,86
330,4,7:37.0,,L. Babbitt misses 3-pt jump shot from 24 ft,82,86
331,4,7:36.0,Defensive rebound by D. Arthur,,82,86
332,4,7:18.0,Turnover by A. Toupane (lost ball; steal by L. Babbitt),,82,86
333,4,6:57.0,,T. Douglas misses 3-pt jump shot from 24 ft,82,86
334,4,6:56.0,Defensive rebound by A. Toupane,,82,86
335,4,6:48.0,W. Barton misses 2-pt jump shot from 3 ft (block by J. Hamilton),,82,86
336,4,6:47.0,,Defensive rebound by T. Frazier,82,86
337,4,6:43.0,,Shooting foul by W. Barton (drawn by T. Frazier),82,86
338,4,6:43.0,,T. Frazier makes 2-pt layup from 1 ft,82,88
339,4,6:43.0,E. Mudiay enters the game for A. Toupane,,82,88
340,4,6:43.0,,J. Ennis enters the game for J. Hamilton,82,88
341,4,6:43.0,,T. Frazier makes free throw 1 of 1,82,89
342,4,6:26.0,W. Barton misses 3-pt jump shot from 25 ft,,82,89
343,4,6:25.0,,Defensive rebound by D. Cunningham,82,89
344,4,6:09.0,,J. Ennis misses 2-pt jump shot from 8 ft,82,89
345,4,6:06.0,,Offensive rebound by J. Ennis,82,89
346,4,6:06.0,,J. Ennis misses 2-pt layup from 1 ft,82,89
347,4,6:05.0,Defensive rebound by D. Arthur,,82,89
348,4,5:58.0,D. Arthur makes 2-pt layup from 2 ft (assist by W. Barton),,84,89
349,4,5:41.0,,T. Frazier makes 3-pt jump shot from 25 ft,84,92
350,4,5:24.0,D. Arthur misses 2-pt jump shot from 2 ft,,84,92
351,4,5:23.0,Offensive rebound by D. Arthur,,84,92
352,4,5:23.0,D. Arthur makes 2-pt layup from 2 ft,,86,92
