,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
43,1,7:44.0,,Defensive rebound by D. Howard,8,14
44,1,7:24.0,,T. Ariza misses 2-pt jump shot from 6 ft,8,14
45,1,7:23.0,Defensive rebound by A. Horford,,8,14
46,1,7:20.0,Shooting foul by C. Capela (drawn by K. Bazemore),,8,14
47,1,7:20.0,K. Bazemore makes free throw 1 of 2,,9,14
48,1,7:20.0,,D. Motiejūnas enters the game for C. Capela,9,14
49,1,7:20.0,K. Bazemore makes free throw 2 of 2,,10,14
50,1,7:08.0,,Turnover by D. Motiejūnas (lost ball),10,14
51,1,6:46.0,J. Teague makes 2-pt layup at rim,,12,14
52,1,6:38.0,,Turnover by J. Harden (bad pass),12,14
53,1,6:22.0,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Bazemore),,14,14
54,1,6:11.0,,Shooting foul by K. Bazemore (drawn by D. Howard),14,14
55,1,6:11.0,,D. Howard makes free throw 1 of 2,14,15
56,1,6:11.0,,T. Lawson enters the game for P. Beverley,14,15
