,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
319,4,10:46.0,,Turnover by N. Collison (bad pass; steal by J. Johnson),78,83
320,4,10:39.0,J. Johnson makes 2-pt jump shot from 6 ft,,80,83
321,4,10:39.0,Shooting foul by N. Collison (drawn by J. Johnson),,80,83
322,4,10:39.0,T. Young enters the game for S. Karasev,,80,83
323,4,10:39.0,J. Johnson makes free throw 1 of 1,,81,83
324,4,10:27.0,,D. Augustin misses 2-pt jump shot from 21 ft,81,83
325,4,10:27.0,Defensive rebound by B. Bogdanović,,81,83
326,4,10:16.0,B. Lopez misses 2-pt hook shot from 7 ft,,81,83
327,4,10:15.0,,Defensive rebound by E. Freedom,81,83
328,4,10:04.0,,E. Freedom misses 2-pt jump shot from 10 ft,81,83
329,4,10:03.0,Defensive rebound by T. Young,,81,83
330,4,9:54.0,J. Johnson misses 2-pt jump shot from 7 ft,,81,83
331,4,9:53.0,,Defensive rebound by E. Freedom,81,83
332,4,9:48.0,,Oklahoma City full timeout,81,83
333,4,9:48.0,A. Bargnani enters the game for B. Lopez,,81,83
334,4,9:41.0,,D. Augustin misses 2-pt layup from 2 ft,81,83
335,4,9:41.0,,Offensive rebound by Team,81,83
336,4,9:31.0,,D. Waiters misses 2-pt layup from 1 ft,81,83
337,4,9:30.0,,Offensive rebound by N. Collison,81,83
338,4,9:30.0,,N. Collison misses 2-pt layup from 1 ft,81,83
339,4,9:30.0,Defensive rebound by S. Larkin,,81,83
340,4,9:24.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,81,83
341,4,9:22.0,,Defensive rebound by E. Freedom,81,83
342,4,9:02.0,,A. Morrow misses 3-pt jump shot from 23 ft,81,83
343,4,9:01.0,,Offensive rebound by E. Freedom,81,83
344,4,9:01.0,,E. Freedom makes 2-pt layup at rim,81,85
345,4,8:44.0,,Violation by E. Freedom (def goaltending),81,85
346,4,8:44.0,T. Young makes 2-pt hook shot from 5 ft,,83,85
347,4,8:33.0,,Turnover by E. Freedom (lost ball; steal by T. Young),83,85
348,4,8:24.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),,85,85
349,4,8:09.0,,Turnover by A. Morrow (lost ball),85,85
350,4,8:09.0,,R. Westbrook enters the game for E. Freedom,85,85
351,4,8:09.0,,K. Durant enters the game for N. Collison,85,85
352,4,8:09.0,,S. Ibaka enters the game for D. Augustin,85,85
353,4,7:52.0,A. Bargnani misses 2-pt jump shot from 15 ft,,85,85
354,4,7:51.0,,Defensive rebound by S. Ibaka,85,85
355,4,7:41.0,,K. Durant makes 3-pt jump shot from 24 ft,85,88
356,4,7:26.0,Turnover by J. Johnson (lost ball),,85,88
357,4,7:13.0,,D. Waiters misses 3-pt jump shot from 23 ft,85,88
358,4,7:13.0,Defensive rebound by J. Johnson,,85,88
359,4,7:05.0,Personal foul by D. Waiters (drawn by T. Young),,85,88
360,4,7:05.0,B. Lopez enters the game for A. Bargnani,,85,88
361,4,7:05.0,R. Hollis-Jefferson enters the game for B. Bogdanović,,85,88
362,4,6:57.0,J. Johnson misses 3-pt jump shot from 24 ft,,85,88
363,4,6:57.0,,Defensive rebound by R. Westbrook,85,88
364,4,6:48.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by K. Durant),85,91
365,4,6:32.0,J. Johnson misses 3-pt jump shot from 23 ft,,85,91
366,4,6:31.0,,Defensive rebound by K. Durant,85,91
367,4,6:23.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),85,94
368,4,6:22.0,Brooklyn full timeout,,85,94
369,4,6:22.0,J. Jack enters the game for R. Hollis-Jefferson,,85,94
370,4,6:15.0,Turnover by J. Johnson (lost ball),,85,94
