,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
229,3,9:04.0,T. Young makes free throw 1 of 2,,63,64
230,3,9:04.0,T. Young misses free throw 2 of 2,,63,64
231,3,9:03.0,,Defensive rebound by A. Jefferson,63,64
232,3,8:46.0,,K. Walker misses 2-pt jump shot from 3 ft (block by B. Lopez),63,64
233,3,8:44.0,Defensive rebound by B. Lopez,,63,64
234,3,8:41.0,T. Young makes 2-pt layup from 1 ft (assist by J. Jack),,65,64
235,3,8:27.0,,K. Walker makes 3-pt jump shot from 24 ft,65,67
236,3,8:11.0,B. Lopez misses 2-pt jump shot from 13 ft,,65,67
237,3,8:10.0,,Defensive rebound by C. Zeller,65,67
238,3,8:00.0,,M. Williams misses 3-pt jump shot from 25 ft,65,67
239,3,8:00.0,,Offensive rebound by A. Jefferson,65,67
240,3,8:00.0,,Shooting foul by T. Young (drawn by A. Jefferson),65,67
241,3,8:00.0,,A. Jefferson misses free throw 1 of 2,65,67
242,3,8:00.0,,Offensive rebound by Team,65,67
243,3,8:00.0,,A. Jefferson misses free throw 2 of 2,65,67
244,3,7:58.0,Defensive rebound by J. Jack,,65,67
245,3,7:48.0,B. Lopez misses 2-pt jump shot from 7 ft,,65,67
246,3,7:47.0,Offensive rebound by B. Lopez,,65,67
247,3,7:47.0,Shooting foul by A. Jefferson (drawn by B. Lopez),,65,67
248,3,7:47.0,B. Lopez makes free throw 1 of 2,,66,67
249,3,7:47.0,B. Lopez misses free throw 2 of 2,,66,67
250,3,7:45.0,,Defensive rebound by C. Zeller,66,67
251,3,7:37.0,,Shooting foul by B. Lopez (drawn by K. Walker),66,67
252,3,7:37.0,,K. Walker makes free throw 1 of 2,66,68
253,3,7:37.0,,K. Walker makes free throw 2 of 2,66,69
254,3,7:16.0,B. Lopez misses 2-pt jump shot from 4 ft (block by C. Zeller),,66,69
255,3,7:14.0,,Defensive rebound by A. Jefferson,66,69
256,3,7:14.0,Violation by J. Jack (kicked ball),,66,69
257,3,7:06.0,,Shooting foul by B. Bogdanović (drawn by A. Jefferson),66,69
258,3,7:06.0,,A. Jefferson makes free throw 1 of 2,66,70
259,3,7:06.0,,A. Jefferson makes free throw 2 of 2,66,71
260,3,6:55.0,B. Bogdanović misses 2-pt jump shot from 17 ft (block by N. Batum),,66,71
261,3,6:53.0,,Defensive rebound by C. Zeller,66,71
262,3,6:43.0,,A. Jefferson misses 2-pt hook shot from 9 ft,66,71
263,3,6:42.0,Defensive rebound by J. Jack,,66,71
264,3,6:35.0,T. Young makes 2-pt jump shot at rim (assist by J. Jack),,68,71
265,3,6:22.0,,Shooting foul by B. Lopez (drawn by K. Walker),68,71
266,3,6:22.0,,K. Walker misses free throw 1 of 2,68,71
267,3,6:22.0,,Offensive rebound by Team,68,71
268,3,6:22.0,,K. Walker misses free throw 2 of 2,68,71
269,3,6:21.0,Defensive rebound by T. Young,,68,71
270,3,6:08.0,,Violation by K. Walker (kicked ball),68,71
271,3,6:05.0,Personal foul by K. Walker (drawn by J. Jack),,68,71
272,3,5:51.0,J. Johnson misses 2-pt jump shot from 10 ft,,68,71
273,3,5:49.0,Offensive rebound by B. Lopez,,68,71
274,3,5:45.0,T. Young makes 2-pt layup from 2 ft (assist by B. Lopez),,70,71
275,3,5:26.0,,N. Batum misses 3-pt jump shot from 25 ft,70,71
276,3,5:25.0,Defensive rebound by T. Young,,70,71
277,3,5:14.0,T. Young makes 2-pt layup at rim,,72,71
278,3,5:09.0,,Charlotte full timeout,72,71
279,3,5:00.0,,M. Williams misses 3-pt jump shot from 26 ft,72,71
280,3,4:58.0,Defensive rebound by B. Bogdanović,,72,71
281,3,4:48.0,T. Young misses 2-pt layup from 2 ft,,72,71
282,3,4:47.0,,Defensive rebound by A. Jefferson,72,71
283,3,4:37.0,,F. Kaminsky enters the game for C. Zeller,72,71
284,3,4:25.0,,F. Kaminsky makes 2-pt layup at rim (assist by K. Walker),72,73
285,3,4:06.0,T. Young makes 2-pt jump shot from 17 ft (assist by J. Johnson),,74,73
286,3,3:48.0,,Turnover by K. Walker (bad pass),74,73
287,3,3:48.0,,S. Hawes enters the game for A. Jefferson,74,73
288,3,3:48.0,,J. Lamb enters the game for M. Williams,74,73
289,3,3:32.0,B. Lopez misses 2-pt jump shot from 19 ft,,74,73
290,3,3:30.0,,Defensive rebound by F. Kaminsky,74,73
291,3,3:19.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),74,76
292,3,3:06.0,T. Young makes 2-pt hook shot from 7 ft (assist by J. Jack),,76,76
293,3,2:54.0,,J. Lamb misses 2-pt jump shot from 18 ft,76,76
294,3,2:52.0,Defensive rebound by J. Jack,,76,76
295,3,2:30.0,B. Lopez makes 2-pt layup from 1 ft (assist by J. Jack),,78,76
296,3,2:16.0,,Turnover by F. Kaminsky (bad pass; steal by B. Bogdanović),78,76
297,3,2:14.0,Shooting foul by N. Batum (drawn by B. Bogdanović),,78,76
298,3,2:14.0,Brooklyn full timeout,,78,76
299,3,2:14.0,,J. Lin enters the game for K. Walker,78,76
300,3,2:14.0,A. Bargnani enters the game for J. Johnson,,78,76
301,3,2:14.0,S. Larkin enters the game for B. Lopez,,78,76
302,3,2:14.0,W. Ellington enters the game for J. Jack,,78,76
303,3,2:14.0,B. Bogdanović makes free throw 1 of 2,,79,76
304,3,2:14.0,B. Bogdanović makes free throw 2 of 2,,80,76
305,3,2:03.0,,Shooting foul by A. Bargnani (drawn by N. Batum),80,76
306,3,2:03.0,,N. Batum makes free throw 1 of 2,80,77
307,3,2:03.0,,N. Batum makes free throw 2 of 2,80,78
308,3,1:53.0,,Violation by S. Hawes (def goaltending),80,78
309,3,1:53.0,T. Young makes 2-pt layup from 2 ft,,82,78
310,3,1:32.0,,J. Lamb makes 2-pt layup from 2 ft,82,80
311,3,1:13.0,A. Bargnani makes 2-pt jump shot from 13 ft (assist by S. Larkin),,84,80
312,3,1:00.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by J. Lin),84,83
313,3,0:47.0,A. Bargnani makes 2-pt jump shot from 18 ft (assist by S. Larkin),,86,83
314,3,0:33.0,,S. Hawes makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),86,86
315,3,0:18.0,A. Bargnani misses 2-pt jump shot from 17 ft,,86,86
316,3,0:17.0,,Defensive rebound by J. Lamb,86,86
317,3,0:03.0,,Turnover by F. Kaminsky (step out of bounds),86,86
318,3,0:00.0,S. Larkin misses 2-pt jump shot from 16 ft,,86,86
319,3,0:00.0,Offensive rebound by Team,,86,86
320,4,11:48.0,W. Ellington misses 2-pt jump shot from 20 ft,,86,86
321,4,11:46.0,,Defensive rebound by J. Lin,86,86
322,4,11:41.0,,N. Batum makes 2-pt layup from 1 ft,86,88
323,4,11:29.0,T. Young misses 3-pt jump shot from 25 ft,,86,88
324,4,11:28.0,,Defensive rebound by J. Lin,86,88
325,4,11:14.0,,Offensive foul by M. Williams (drawn by R. Hollis-Jefferson),86,88
326,4,11:14.0,,Turnover by M. Williams (offensive foul),86,88
327,4,11:14.0,J. Johnson enters the game for T. Young,,86,88
328,4,10:51.0,A. Bargnani misses 3-pt jump shot from 25 ft,,86,88
329,4,10:50.0,,Defensive rebound by M. Williams,86,88
330,4,10:39.0,,Shooting foul by S. Larkin (drawn by J. Lin),86,88
331,4,10:39.0,,J. Lin makes free throw 1 of 2,86,89
332,4,10:39.0,T. Robinson enters the game for A. Bargnani,,86,89
333,4,10:39.0,,J. Lin makes free throw 2 of 2,86,90
334,4,10:29.0,W. Ellington makes 2-pt jump shot from 19 ft (assist by S. Larkin),,88,90
335,4,10:12.0,,J. Lin makes 2-pt layup from 2 ft (assist by N. Batum),88,92
336,4,9:56.0,Turnover by J. Johnson (bad pass; steal by J. Lin),,88,92
337,4,9:51.0,,Turnover by J. Lin (lost ball; steal by S. Larkin),88,92
338,4,9:51.0,Turnover by S. Larkin (bad pass),,88,92
339,4,9:41.0,,J. Lin makes 2-pt layup from 2 ft,88,94
340,4,9:26.0,S. Larkin makes 2-pt jump shot from 8 ft,,90,94
341,4,9:15.0,,Shooting foul by R. Hollis-Jefferson (drawn by N. Batum),90,94
342,4,9:15.0,,N. Batum makes free throw 1 of 3,90,95
343,4,9:15.0,,N. Batum makes free throw 2 of 3,90,96
344,4,9:15.0,J. Jack enters the game for R. Hollis-Jefferson,,90,96
345,4,9:15.0,,N. Batum makes free throw 3 of 3,90,97
346,4,8:50.0,T. Robinson misses 2-pt jump shot from 6 ft,,90,97
347,4,8:49.0,,Defensive rebound by S. Hawes,90,97
348,4,8:40.0,,Shooting foul by W. Ellington (drawn by J. Lamb),90,97
349,4,8:40.0,Official timeout,,90,97
350,4,8:40.0,B. Lopez enters the game for T. Robinson,,90,97
351,4,8:40.0,M. Brown enters the game for W. Ellington,,90,97
352,4,8:40.0,,J. Lamb makes free throw 1 of 2,90,98
353,4,8:40.0,,J. Lamb makes free throw 2 of 2,90,99
354,4,8:29.0,J. Jack makes 2-pt jump shot from 19 ft,,92,99
355,4,8:05.0,,J. Lamb misses 2-pt jump shot from 17 ft,92,99
356,4,8:03.0,,Offensive rebound by M. Williams,92,99
357,4,7:59.0,,J. Lamb misses 3-pt jump shot from 24 ft,92,99
358,4,7:58.0,Defensive rebound by J. Johnson,,92,99
359,4,7:47.0,J. Jack makes 2-pt layup from 1 ft,,94,99
360,4,7:32.0,,Shooting foul by J. Jack (drawn by J. Lin),94,99
361,4,7:32.0,,J. Lin misses free throw 1 of 2,94,99
362,4,7:32.0,,Offensive rebound by Team,94,99
363,4,7:32.0,,J. Lin makes free throw 2 of 2,94,100
364,4,7:20.0,B. Lopez makes 2-pt jump shot from 20 ft (assist by J. Jack),,96,100
365,4,7:01.0,,A. Jefferson enters the game for S. Hawes,96,100
366,4,7:01.0,,K. Walker enters the game for J. Lamb,96,100
367,4,6:53.0,,N. Batum misses 3-pt jump shot from 26 ft,96,100
368,4,6:52.0,Defensive rebound by J. Jack,,96,100
369,4,6:48.0,M. Brown misses 2-pt layup from 1 ft (block by N. Batum),,96,100
370,4,6:45.0,,Defensive rebound by A. Jefferson,96,100
371,4,6:36.0,,A. Jefferson misses 2-pt hook shot from 7 ft,96,100
372,4,6:34.0,Defensive rebound by S. Larkin,,96,100
